Title: MORB_Gale2013_0

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1673.15 99.394566 50.7171 1.54938 15.0411 1.39148 8.87927 0.174054 7.73684 11.4191 2.77681 0.144877 0.170029
5000.00 1663.15 99.394683 50.717 1.54938 15.041 1.39264 8.87821 0.174054 7.73683 11.4191 2.77681 0.144877 0.170029
5000.00 1653.15 99.394815 50.7169 1.54938 15.041 1.39397 8.877 0.174053 7.73682 11.4191 2.7768 0.144877 0.170029
5000.00 1643.15 99.394964 50.7169 1.54937 15.041 1.39547 8.87564 0.174053 7.73681 11.4191 2.7768 0.144877 0.170029
5000.00 1633.15 99.395131 50.7168 1.54937 15.041 1.39714 8.87412 0.174053 7.7368 11.4191 2.7768 0.144876 0.170028
5000.00 1623.15 99.395315 50.7167 1.54937 15.041 1.39899 8.87244 0.174052 7.73678 11.419 2.77679 0.144876 0.170028
5000.00 1613.15 99.395518 50.7166 1.54937 15.0409 1.40102 8.87059 0.174052 7.73677 11.419 2.77679 0.144876 0.170028
5000.00 1603.15 99.395739 50.7165 1.54936 15.0409 1.40323 8.86857 0.174052 7.73675 11.419 2.77678 0.144875 0.170027
5000.00 1593.15 99.395979 50.7163 1.54936 15.0408 1.40564 8.86638 0.174051 7.73673 11.419 2.77677 0.144875 0.170027
5000.00 1583.15 99.396239 50.7162 1.54935 15.0408 1.40825 8.86401 0.174051 7.73671 11.4189 2.77677 0.144875 0.170027
5000.00 1573.15 99.396520 50.7161 1.54935 15.0408 1.41106 8.86145 0.17405 7.73669 11.4189 2.77676 0.144874 0.170026
5000.00 1563.15 99.396821 50.7159 1.54935 15.0407 1.41409 8.8587 0.17405 7.73667 11.4189 2.77675 0.144874 0.170026
5000.00 1553.15 99.397144 50.7157 1.54934 15.0407 1.41732 8.85575 0.174049 7.73664 11.4188 2.77674 0.144873 0.170025
5000.00 1543.15 99.397489 50.7156 1.54933 15.0406 1.42079 8.8526 0.174049 7.73661 11.4188 2.77673 0.144873 0.170024
5000.00 1533.15 99.397102 50.7158 1.54934 15.0407 1.4169 8.85614 0.174049 7.73664 11.4188 2.77674 0.144873 0.170025
5000.00 1523.15 95.073582 50.6739 1.60592 15.5093 1.42561 8.9514 0.181964 7.26351 11.1676 2.89154 0.151462 0.177757
5000.00 1513.15 89.681944 50.6456 1.67999 16.1285 1.42964 9.07734 0.192904 6.65345 10.7951 3.04853 0.160567 0.188444
5000.00 1503.15 82.485530 50.6269 1.79845 16.4714 1.43474 9.41897 0.209734 6.13022 10.3182 3.2127 0.173851 0.204884
5000.00 1493.15 69.246013 50.4566 2.10733 15.9532 1.5513 10.4133 0.249834 5.69789 9.74172 3.38202 0.202746 0.244057
5000.00 1483.15 58.474690 50.1626 2.46648 15.2788 1.69569 11.4323 0.295854 5.23345 9.39405 3.51736 0.234388 0.289014
5000.00 1473.15 50.412328 49.8051 2.83236 14.6015 1.83582 12.4489 0.34317 4.82294 9.0921 3.61739 0.265554 0.335235
5000.00 1463.15 44.132316 49.3856 3.20701 13.9174 1.97299 13.4725 0.392003 4.45695 8.83054 3.68579 0.296272 0.382939
5000.00 1453.15 39.081975 48.9032 3.59304 13.2219 2.1084 14.5126 0.442659 4.12835 8.60597 3.72492 0.326556 0.432424
5000.00 1443.15 34.916504 48.3549 3.99317 12.511 2.24294 15.5779 0.495468 3.83176 8.41637 3.7361 0.356365 0.484012
5000.00 1433.15 31.406908 47.7358 4.41067 11.7798 2.37738 16.6782 0.550834 3.56293 8.26097 3.71975 0.385601 0.538098
5000.00 1423.15 28.394444 47.0379 4.84969 11.0228 2.51245 17.8245 0.609274 3.31845 8.14033 3.6754 0.414089 0.595187
5000.00 1413.15 25.765081 46.2499 5.31559 10.2328 2.64891 19.0305 0.671451 3.09549 8.05637 3.60159 0.441524 0.655927
5000.00 1403.15 23.483959 45.2602 5.80313 9.38187 4.88212 18.3803 0.736673 2.88548 7.99582 3.48841 0.466394 0.71964
5000.00 1393.15 15.539455 53.0073 3.66259 9.92493 2.94036 14.6588 1.1133 1.67147 7.2077 4.43924 0.673867 0.700467
5000.00 1383.15 13.497962 55.1875 3.2038 9.57823 2.75658 13.7607 1.28167 1.32786 6.812 4.65548 0.755392 0.68077
5000.00 1373.15 12.017441 57.0705 2.83513 9.20278 2.61315 12.9766 1.43957 1.06387 6.47945 4.82071 0.828283 0.669952
5000.00 1363.15 10.885788 58.7414 2.52937 8.81948 2.49346 12.2692 1.58923 0.854365 6.19332 4.95062 0.894383 0.665171
5000.00 1353.15 9.984909 60.264 2.27003 8.43975 2.38763 11.6167 1.73261 0.684272 5.93537 5.0559 0.955162 0.658576
5000.00 1343.15 9.249873 61.6609 2.0471 8.06781 2.29108 11.005 1.8703 0.544763 5.70501 5.14179 1.01124 0.654967
5000.00 1333.15 8.635708 62.9648 1.85375 7.70775 2.05027 10.562 2.00331 0.429615 5.49773 5.21346 1.0634 0.653917
5000.00 1323.15 7.938186 64.6623 1.75288 7.27966 1.93633 9.62005 1.92236 0.291372 5.45157 5.30311 1.13002 0.650377
