Title: MORB_Gale2013_0

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 apatite 
5000.00 1673.15 100.138469 37.338980 37.338980 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1663.15 100.138585 37.309715 37.309715 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1653.15 100.138718 37.280468 37.280468 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1643.15 100.138867 37.251241 37.251241 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1633.15 100.139034 37.222033 37.222033 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1623.15 100.139218 37.192845 37.192845 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1613.15 100.139420 37.163678 37.163678 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1603.15 100.139641 37.134531 37.134531 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1593.15 100.139882 37.105407 37.105407 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1583.15 100.140142 37.076304 37.076304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1573.15 100.140422 37.047224 37.047224 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.140723 37.018168 37.018168 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.141046 36.989135 36.989135 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.141391 36.960127 36.960127 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.141759 36.931143 36.931143 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.142150 36.902186 36.902186 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.141679 36.629723 35.040531 0.000000 1.589191 0.000000 0.000000 0.000000 0.000000 
5000.00 1503.15 95.011936 34.780255 33.262759 0.000000 1.517496 0.000000 0.000000 0.000000 0.000000 
5000.00 1493.15 90.101963 33.028554 31.674889 0.000000 1.353665 0.000000 0.000000 0.000000 0.000000 
5000.00 1483.15 85.711299 31.463294 30.250963 0.000000 1.212331 0.000000 0.000000 0.000000 0.000000 
