Title: MORB_Gale2013_0

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
7000.00 1673.15 99.385338 50.7218 1.54952 15.0425 1.29892 8.96349 0.17407 7.73756 11.4202 2.77707 0.144891 0.170045
7000.00 1663.15 99.385414 50.7217 1.54952 15.0424 1.29969 8.96279 0.17407 7.73755 11.4202 2.77707 0.14489 0.170045
7000.00 1653.15 99.385506 50.7217 1.54952 15.0424 1.30061 8.96196 0.17407 7.73755 11.4202 2.77706 0.14489 0.170045
7000.00 1643.15 99.385613 50.7216 1.54952 15.0424 1.30169 8.96098 0.174069 7.73754 11.4202 2.77706 0.14489 0.170045
7000.00 1633.15 99.385736 50.7216 1.54952 15.0424 1.30292 8.95986 0.174069 7.73753 11.4202 2.77706 0.14489 0.170045
7000.00 1623.15 99.385875 50.7215 1.54952 15.0424 1.30431 8.95859 0.174069 7.73752 11.4201 2.77705 0.14489 0.170044
7000.00 1613.15 99.386031 50.7214 1.54951 15.0424 1.30587 8.95717 0.174069 7.73751 11.4201 2.77705 0.14489 0.170044
7000.00 1603.15 99.386203 50.7213 1.54951 15.0423 1.30761 8.95559 0.174068 7.73749 11.4201 2.77705 0.144889 0.170044
7000.00 1593.15 99.386394 50.7212 1.54951 15.0423 1.30952 8.95385 0.174068 7.73748 11.4201 2.77704 0.144889 0.170043
7000.00 1583.15 99.386602 50.7211 1.5495 15.0423 1.31161 8.95195 0.174068 7.73746 11.4201 2.77703 0.144889 0.170043
7000.00 1573.15 99.048517 50.7143 1.55421 15.0797 1.31418 8.95003 0.174662 7.68816 11.4229 2.78586 0.145383 0.170623
7000.00 1563.15 93.478745 50.6588 1.63 15.6837 1.32005 9.05166 0.185069 7.04219 11.1591 2.93469 0.154046 0.18079
7000.00 1553.15 88.285524 50.6325 1.70509 16.2842 1.32388 9.15836 0.195955 6.42571 10.8317 3.08813 0.163107 0.191424
7000.00 1543.15 83.634587 50.6344 1.7761 16.8568 1.32557 9.25633 0.206852 5.85186 10.4781 3.23975 0.172178 0.20207
7000.00 1533.15 79.480859 50.6624 1.84232 17.3984 1.32528 9.34141 0.217662 5.31853 10.1119 3.38829 0.181176 0.21263
7000.00 1523.15 70.200848 50.6135 2.05067 17.2298 1.39521 10.0135 0.246436 4.95202 9.5177 3.53794 0.202425 0.240738
7000.00 1513.15 59.841383 50.401 2.37524 16.6487 1.50751 10.965 0.289098 4.56924 9.06717 3.66248 0.232093 0.282413
7000.00 1503.15 51.386031 50.0767 2.74065 15.966 1.62847 11.9532 0.336667 4.1865 8.76863 3.7508 0.263598 0.328883
7000.00 1493.15 44.801004 49.6799 3.1194 15.2668 1.7486 12.9511 0.386152 3.84584 8.52562 3.80455 0.294842 0.377224
7000.00 1483.15 39.523884 49.2132 3.51283 14.5539 1.86824 13.965 0.43771 3.54066 8.32799 3.82712 0.325769 0.42759
7000.00 1473.15 35.189576 48.676 3.92327 13.8259 1.98792 15.0023 0.491623 3.2655 8.17023 3.82061 0.35634 0.480256
7000.00 1463.15 31.561645 48.0736 4.35026 13.0928 2.10686 16.0707 0.548134 3.01462 8.03238 3.78873 0.386514 0.53546
7000.00 1453.15 28.456710 47.3926 4.80067 12.3374 2.22692 17.1817 0.607941 2.78544 7.92811 3.72906 0.416237 0.593885
7000.00 1443.15 25.721899 46.6476 5.28592 11.5597 2.34816 18.3647 0.672579 2.57205 7.82988 3.64342 0.445837 0.630113
7000.00 1433.15 23.283853 45.8229 5.81342 10.7507 2.47106 19.6351 0.743004 2.37273 7.74176 3.52908 0.474972 0.645285
7000.00 1423.15 16.797201 50.7391 4.48671 10.7226 2.26621 16.764 1.02993 1.58793 7.17816 4.01203 0.625395 0.5879
7000.00 1413.15 14.276863 52.9743 3.9945 10.3622 2.19094 15.7467 1.21175 1.23718 6.82134 4.17717 0.712135 0.571768
7000.00 1403.15 12.490121 54.9439 3.58764 9.98169 2.1202 14.8467 1.38509 0.967577 6.5163 4.29758 0.790922 0.562472
7000.00 1393.15 11.153878 56.7106 3.24474 9.59665 2.05246 14.0314 1.55103 0.755614 6.25042 4.38596 0.863073 0.558027
7000.00 1383.15 10.113570 58.319 2.95116 9.21557 1.9865 13.2782 1.71057 0.586346 6.01485 4.45085 0.92965 0.557272
7000.00 1373.15 9.278305 59.8 2.69681 8.84299 1.92148 12.5719 1.86456 0.449947 5.80326 4.49805 0.99148 0.559511
7000.00 1363.15 8.589381 61.1855 2.47445 8.48225 1.8565 11.902 2.01411 0.339515 5.6049 4.53238 1.04941 0.55896
7000.00 1353.15 8.011650 62.4828 2.27905 8.13364 1.79151 11.2616 2.15936 0.250478 5.42179 4.55606 1.10373 0.560066
7000.00 1343.15 7.401299 64.0408 2.16263 7.74648 1.69976 10.3756 2.15198 0.160293 5.35289 4.5805 1.16812 0.560996
