Title: MORB_Gale2013_0

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
7000.00 1673.15 99.385338 1.0000000000000000 1.000000 282.340181 -1158858.646469 36.176213 -170.264603 2495.449576 148.764859 -6.318 0.000 2.747257 0.000000 1.648 0 0.000
7000.00 1663.15 99.385414 1.0000000000000000 1.000000 281.448570 -1160347.352764 36.151323 -170.409006 2495.487658 148.765253 -6.406 0.000 2.749150 0.000000 1.684 0 0.000
7000.00 1653.15 99.385506 1.0000000000000000 1.000000 280.551611 -1161836.274201 36.126445 -170.553682 2495.533174 148.765723 -6.495 0.000 2.751046 0.000000 1.720 0 0.000
7000.00 1643.15 99.385613 1.0000000000000000 1.000000 279.649240 -1163325.418439 36.101578 -170.698655 2495.586318 148.766273 -6.585 0.000 2.752944 0.000000 1.756 0 0.000
7000.00 1633.15 99.385736 1.0000000000000000 1.000000 278.741389 -1164814.793434 36.076724 -170.843950 2495.647287 148.766903 -6.676 0.000 2.754844 0.000000 1.793 0 0.000
7000.00 1623.15 99.385875 1.0000000000000000 1.000000 277.827990 -1166304.407448 36.051882 -170.989593 2495.716290 148.767616 -6.768 0.000 2.756746 0.000000 1.830 0 0.000
7000.00 1613.15 99.386031 1.0000000000000000 1.000000 276.908973 -1167794.269070 36.027051 -171.135612 2495.793541 148.768415 -6.862 0.000 2.758650 0.000000 1.868 0 0.000
7000.00 1603.15 99.386203 1.0000000000000000 1.000000 275.984267 -1169284.387228 36.002234 -171.282034 2495.879267 148.769301 -6.956 0.000 2.760557 0.000000 1.906 0 0.000
7000.00 1593.15 99.386394 1.0000000000000000 1.000000 275.053801 -1170774.771207 35.977428 -171.428890 2495.973701 148.770277 -7.052 0.000 2.762465 0.000000 1.945 0 0.000
7000.00 1583.15 99.386602 1.0000000000000000 1.000000 274.117499 -1172265.430666 35.952635 -171.576208 2496.077086 148.771346 -7.149 0.000 2.764376 0.000000 1.984 0 0.000
7000.00 1573.15 99.386717 0.9965971282483561 0.997083 273.086339 -1173894.309041 35.912947 -171.367042 2492.637274 148.648864 -7.247 0.000 2.766087 3.227843 2.027 0 0.000
7000.00 1563.15 99.048947 0.9437631447308922 0.951478 269.737153 -1173663.372540 35.529534 -165.747804 2434.173664 146.168323 -7.346 0.000 2.765188 3.231046 2.118 0 0.000
7000.00 1553.15 93.479655 0.9444356986450234 0.952192 253.735157 -1108082.336106 33.544384 -159.248603 2307.768866 137.494744 -7.447 0.000 2.764046 3.238845 2.213 0 0.000
7000.00 1543.15 88.286819 0.9473054735367840 0.954814 238.919945 -1046885.771358 31.705219 -153.419631 2191.529516 129.511573 -7.549 0.000 2.762716 3.247359 2.308 0 0.000
7000.00 1533.15 83.636193 0.9503165550078353 0.957550 225.658364 -992209.225857 30.060960 -148.249006 2087.246353 122.391035 -7.652 0.000 2.761202 3.256318 2.406 0 0.000
7000.00 1523.15 79.481438 0.8832357618770775 0.889004 212.569092 -945397.420695 28.520240 -134.984287 1909.611763 114.524967 -7.757 0.000 2.768761 2.931671 2.452 0 0.000
7000.00 1513.15 70.200960 0.8524296926583935 0.856489 186.656118 -830523.072997 25.109307 -116.650987 1659.893083 100.160528 -7.863 0.000 2.782563 2.874902 2.462 0 0.000
7000.00 1503.15 59.842306 0.8586906913872209 0.861332 158.557947 -700609.985273 21.315491 -99.902683 1426.850478 85.031385 -7.970 0.000 2.798848 2.860922 2.454 0 0.000
7000.00 1493.15 51.386244 0.8718481985286094 0.873339 135.685688 -594692.191817 18.212378 -86.427688 1241.728412 72.790149 -8.079 0.000 2.816686 2.854703 2.435 0 0.000
7000.00 1483.15 44.801435 0.8822012920335198 0.882687 117.837016 -512425.519898 15.788066 -75.534763 1095.588875 63.243528 -8.190 0.000 2.836116 2.849421 2.405 0 0.000
7000.00 1473.15 39.524473 0.8903237146714413 0.889890 103.515602 -446651.635451 13.839725 -66.503668 977.095459 54.301571 -8.302 0.000 2.857265 2.844610 2.365 0 0.000
7000.00 1463.15 35.191328 0.8968586005521220 0.895665 91.741456 -392766.414190 12.234948 -58.881181 879.009672 48.168261 -8.415 0.000 2.880130 2.843383 2.316 0 0.000
7000.00 1453.15 31.563475 0.9015708653240051 0.899521 81.875812 -347766.314414 10.889361 -52.299878 795.959958 43.038419 -8.530 0.000 2.905167 2.839417 2.255 0 0.000
7000.00 1443.15 28.458519 0.9038382801203353 0.900966 73.423286 -309344.604839 9.734224 -46.482928 724.066134 38.637364 -8.646 0.000 2.932875 2.838749 2.186 0 0.000
7000.00 1433.15 25.724669 0.9051176673756178 0.901322 65.988589 -275607.283787 8.716088 -41.262162 660.712584 34.765787 -8.765 0.000 2.963830 2.837870 2.106 0 0.000
7000.00 1423.15 23.319372 0.7203110431053340 0.754719 58.237167 -247805.739864 7.746685 -33.487287 491.684266 29.850471 -8.885 0.000 2.873001 3.432513 2.699 0 0.000
