Title: MORB_Gale2013-0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1573.15 100.155072 100.155072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.155234 100.155234 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.155402 100.155402 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.155576 100.155576 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.155756 100.155756 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.155942 100.155942 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.156267 98.292531 0.000000 1.863735 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.156869 95.047116 0.000000 5.109753 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.157681 91.955922 0.000000 8.201759 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.158692 89.005432 0.000000 11.153260 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.159891 86.183887 0.000000 13.976005 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.160749 80.892883 0.000000 17.161638 0.000000 0.000000 2.106229 0.000000 0.000000 
5000.00 1513.15 100.161209 74.570282 0.000000 20.315892 0.000000 0.000000 5.275034 0.000000 0.000000 
5000.00 1508.15 100.161565 68.749611 0.000000 23.166340 0.000000 0.000000 8.245613 0.000000 0.000000 
5000.00 1503.15 100.161865 63.353179 0.000000 25.765418 0.000000 0.000000 11.043267 0.000000 0.000000 
5000.00 1498.15 100.162155 58.328171 0.000000 28.152116 0.000000 0.000000 13.681867 0.000000 0.000000 
5000.00 1493.15 100.162475 53.638734 0.000000 30.355877 0.000000 0.000000 16.167864 0.000000 0.000000 
5000.00 1488.15 100.162862 49.259429 0.000000 32.399565 0.000000 0.000000 18.503867 0.000000 0.000000 
5000.00 1483.15 100.163346 45.170351 0.000000 34.301578 0.000000 0.000000 20.691417 0.000000 0.000000 
5000.00 1478.15 100.163953 41.353951 0.000000 36.077189 0.000000 0.000000 22.732813 0.000000 0.000000 
5000.00 1473.15 100.164700 37.792402 0.000000 37.739513 0.000000 0.000000 24.632785 0.000000 0.000000 
5000.00 1468.15 100.165601 34.470087 0.000000 39.299110 0.000000 0.000000 26.396405 0.000000 0.000000 
5000.00 1463.15 100.166665 31.372989 0.000000 40.764359 0.000000 0.000000 28.029316 0.000000 0.000000 
5000.00 1458.15 100.167897 28.488903 0.000000 42.141684 0.000000 0.000000 29.537310 0.000000 0.000000 
5000.00 1453.15 100.169301 25.808507 0.000000 43.435842 0.000000 0.000000 30.924952 0.000000 0.000000 
5000.00 1448.15 100.170887 23.327209 0.000000 44.650710 0.000000 0.000000 32.192968 0.000000 0.000000 
5000.00 1443.15 100.173061 20.913817 0.000000 44.607150 1.293808 0.000000 33.344153 0.000000 0.014133 
5000.00 1438.15 100.175626 18.649331 0.000000 44.504049 2.648489 0.000000 34.325072 0.000000 0.048684 
5000.00 1433.15 100.178593 16.634905 0.000000 44.456105 3.896716 0.000000 35.110957 0.000000 0.079910 
5000.00 1428.15 100.181970 14.864640 0.000000 44.457370 5.053177 0.000000 35.698415 0.000000 0.108369 
5000.00 1423.15 100.185705 13.316973 0.000000 44.501353 6.125938 0.000000 36.107009 0.000000 0.134432 
5000.00 1418.15 100.189697 11.963628 0.000000 44.581707 7.115366 0.000000 36.370774 0.000000 0.158222 
5000.00 1413.15 100.191943 9.653447 0.879168 44.933820 7.362698 0.000000 37.160325 0.000000 0.202486 
5000.00 1408.15 100.194280 7.107908 2.011754 45.379421 7.498337 0.000000 37.944273 0.000000 0.252586 
5000.00 1403.15 100.197112 4.603691 3.200258 45.888486 7.608103 0.000000 38.595083 0.000000 0.301491 
5000.00 1398.15 100.200150 2.184869 4.471976 46.488705 7.550071 0.000000 39.157909 0.000000 0.346620 
5000.00 1393.15 100.249073 0.000000 2.897265 50.045843 0.930914 0.000000 41.928999 4.061911 0.384141 
5000.00 1388.15 100.248255 0.000000 2.914413 49.665003 1.323299 0.000000 41.910966 4.050434 0.384141 
5000.00 1383.15 100.247437 0.000000 2.931702 49.303318 1.697389 0.000000 41.892433 4.038455 0.384141 
5000.00 1378.15 100.246617 0.000000 2.949139 48.959326 2.054665 0.000000 41.873387 4.025960 0.384141 
5000.00 1373.15 100.245795 0.000000 2.966731 48.631720 2.396455 0.000000 41.853815 4.012934 0.384141 
5000.00 1368.15 100.244972 0.000000 2.984485 48.319331 2.723947 0.000000 41.833703 3.999364 0.384141 
5000.00 1363.15 100.244147 0.000000 3.002411 48.021107 3.038215 0.000000 41.813039 3.985235 0.384141 
5000.00 1358.15 100.243321 0.000000 3.020516 47.736099 3.340226 0.000000 41.791808 3.970530 0.384141 
5000.00 1353.15 100.242491 0.000000 3.038811 47.463452 3.630856 0.000000 41.769997 3.955235 0.384141 
5000.00 1348.15 100.241660 0.000000 3.057304 47.202389 3.910901 0.000000 41.747592 3.939333 0.384141 
5000.00 1343.15 100.240825 0.000000 3.076008 46.952206 4.181084 0.000000 41.724578 3.922808 0.384141 
5000.00 1338.15 100.239988 0.000000 3.094934 46.712262 4.442067 0.000000 41.700943 3.905641 0.384141 
5000.00 1333.15 100.239147 0.000000 3.114095 46.481972 4.694451 0.000000 41.676671 3.887817 0.384141 
5000.00 1328.15 100.238302 0.000000 3.133505 46.260801 4.938789 0.000000 41.651749 3.869317 0.384141 
5000.00 1323.15 100.237453 0.000000 3.153177 46.048262 5.175586 0.000000 41.626163 3.850124 0.384141 
5000.00 1318.15 100.236599 0.000000 3.173128 45.843906 5.405307 0.000000 41.599899 3.830218 0.384141 
5000.00 1313.15 100.235740 0.000000 3.193373 45.647321 5.628378 0.000000 41.572945 3.809581 0.384141 
5000.00 1308.15 100.234876 0.000000 3.213932 45.458130 5.845191 0.000000 41.545286 3.788196 0.384141 
5000.00 1303.15 100.234006 0.000000 3.234826 45.275973 6.056094 0.000000 41.516925 3.766047 0.384141 
5000.00 1298.15 100.233129 0.000000 3.256079 45.100520 6.261408 0.000000 41.487861 3.743120 0.384141 
5000.00 1293.15 100.232245 0.000000 3.277713 44.931474 6.461438 0.000000 41.458082 3.719397 0.384141 
5000.00 1288.15 100.231353 0.000000 3.299750 44.768561 6.656462 0.000000 41.427580 3.694859 0.384141 
5000.00 1283.15 100.230452 0.000000 3.322213 44.611528 6.846736 0.000000 41.396346 3.669489 0.384141 
5000.00 1278.15 100.229542 0.000000 3.345129 44.460138 7.032492 0.000000 41.364372 3.643271 0.384141 
5000.00 1273.15 100.228622 0.000000 3.368523 44.314174 7.213946 0.000000 41.331651 3.616187 0.384141 
5000.00 1268.15 100.227692 0.000000 3.392423 44.173434 7.391288 0.000000 41.298181 3.588225 0.384141 
5000.00 1263.15 100.226749 0.000000 3.416858 44.037729 7.564696 0.000000 41.263957 3.559369 0.384141 
5000.00 1258.15 100.225794 0.000000 3.441856 43.906884 7.734326 0.000000 41.228978 3.529608 0.384141 
5000.00 1253.15 100.224825 0.000000 3.467450 43.780737 7.900319 0.000000 41.193247 3.498931 0.384141 
5000.00 1248.15 100.223841 0.000000 3.493670 43.659134 8.062799 0.000000 41.156767 3.467331 0.384141 
5000.00 1243.15 100.222841 0.000000 3.520548 43.541933 8.221873 0.000000 41.119544 3.434803 0.384141 
5000.00 1238.15 100.221737 0.000000 3.551710 43.401882 8.377397 0.034644 41.076526 3.395437 0.384141 
5000.00 1233.15 100.219548 0.000000 3.626330 42.957171 8.524038 0.465078 40.975299 3.287491 0.384141 
5000.00 1228.15 100.217282 0.000000 3.702617 42.533954 8.662351 0.875400 40.877004 3.181816 0.384141 
