Title: MORB_Gale2013-0

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1573.15 100.155072 36.363823 36.363823 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.155234 36.351435 36.351435 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.155402 36.339050 36.339050 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.155576 36.326670 36.326670 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.155756 36.314294 36.314294 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.155942 36.301923 36.301923 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.156267 36.199092 35.620542 0.000000 0.578550 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.156869 36.029435 34.445362 0.000000 1.584072 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.157681 35.867598 33.328407 0.000000 2.539191 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.158692 35.712927 32.264681 0.000000 3.448246 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.159891 35.564853 31.249831 0.000000 4.315021 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.160749 35.379222 29.297968 0.000000 5.291431 0.000000 0.000000 0.789822 0.000000 0.000000 
5000.00 1513.15 100.161209 35.184839 26.949101 0.000000 6.255409 0.000000 0.000000 1.980328 0.000000 0.000000 
5000.00 1508.15 100.161565 35.007025 24.785138 0.000000 7.122959 0.000000 0.000000 3.098927 0.000000 0.000000 
5000.00 1503.15 100.161865 34.843035 22.777792 0.000000 7.910455 0.000000 0.000000 4.154788 0.000000 0.000000 
5000.00 1498.15 100.162155 34.690879 20.907966 0.000000 8.630108 0.000000 0.000000 5.152806 0.000000 0.000000 
5000.00 1493.15 100.162475 34.549098 19.162802 0.000000 9.291190 0.000000 0.000000 6.095107 0.000000 0.000000 
5000.00 1488.15 100.162862 34.416582 17.533238 0.000000 9.900960 0.000000 0.000000 6.982384 0.000000 0.000000 
5000.00 1483.15 100.163346 34.292444 16.012186 0.000000 10.465311 0.000000 0.000000 7.814947 0.000000 0.000000 
5000.00 1478.15 100.163953 34.175939 14.593346 0.000000 10.989178 0.000000 0.000000 8.593415 0.000000 0.000000 
5000.00 1473.15 100.164700 34.066398 13.270215 0.000000 11.476830 0.000000 0.000000 9.319353 0.000000 0.000000 
5000.00 1468.15 100.165601 33.963268 12.037039 0.000000 11.931751 0.000000 0.000000 9.994478 0.000000 0.000000 
