Title: MORB_Gale2013-1

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1573.15 100.132850 275.056512 -1198127.624583 36.937329 148.873886 2.309 53.1214 1.52546 14.3233 1.32423 8.02728 0.178973 6.6016 11.9504 2.65097 0.126984 0.169391 59.4
5000.00 1568.15 100.132990 274.582881 -1198873.972219 36.925416 148.874601 2.330 53.1214 1.52546 14.3233 1.32562 8.02602 0.178973 6.60159 11.9504 2.65097 0.126983 0.169391 59.5
5000.00 1563.15 100.133134 274.107743 -1199620.397994 36.913506 148.875341 2.352 53.1213 1.52545 14.3233 1.32705 8.02471 0.178973 6.60158 11.9503 2.65097 0.126983 0.169391 59.5
5000.00 1558.15 100.133283 273.631088 -1200366.903333 36.901601 148.876107 2.373 53.1212 1.52545 14.3232 1.32854 8.02336 0.178973 6.60157 11.9503 2.65096 0.126983 0.16939 59.5
5000.00 1553.15 100.133438 273.152905 -1201113.489690 36.889698 148.876900 2.395 53.1211 1.52545 14.3232 1.33008 8.02196 0.178972 6.60156 11.9503 2.65096 0.126983 0.16939 59.5
5000.00 1548.15 100.133598 272.673185 -1201860.158550 36.877800 148.877719 2.417 53.121 1.52545 14.3232 1.33167 8.02052 0.178972 6.60155 11.9503 2.65095 0.126983 0.16939 59.5
5000.00 1543.15 100.133763 272.191917 -1202606.911429 36.865905 148.878566 2.439 53.1209 1.52544 14.3232 1.33331 8.01903 0.178972 6.60154 11.9503 2.65095 0.126982 0.169389 59.5
5000.00 1538.15 100.133933 271.709091 -1203353.749874 36.854014 148.879440 2.461 53.1209 1.52544 14.3232 1.33501 8.01748 0.178972 6.60153 11.9502 2.65094 0.126982 0.169389 59.5
5000.00 1533.15 97.425740 263.916341 -1171228.460218 35.872652 144.610623 2.516 53.1612 1.55971 14.5998 1.33638 8.06652 0.183947 6.30998 11.7601 2.71772 0.130512 0.174098 58.2
5000.00 1528.15 94.791133 256.348988 -1140057.767360 34.919828 140.468934 2.573 53.2134 1.59344 14.8737 1.33649 8.10874 0.189059 6.02459 11.5617 2.78572 0.134139 0.178937 57.0
5000.00 1523.15 92.278252 249.135168 -1110424.893735 34.012699 136.529389 2.631 53.277 1.62577 15.139 1.33534 8.14245 0.194207 5.75091 11.3601 2.85355 0.137792 0.183809 55.7
5000.00 1518.15 89.877162 242.246249 -1082207.218612 33.147612 132.775486 2.690 53.352 1.65662 15.396 1.33294 8.16724 0.199396 5.48829 11.1561 2.92123 0.141473 0.18872 54.5
