Title: MORB_Gale2013-1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.132850 36.937329 36.937329 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.132990 36.925416 36.925416 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.133134 36.913506 36.913506 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.133283 36.901601 36.901601 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.133438 36.889698 36.889698 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.133598 36.877800 36.877800 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.133763 36.865905 36.865905 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.133933 36.854014 36.854014 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.133609 36.712275 35.872652 0.000000 0.839623 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.133431 36.574232 34.919828 0.000000 1.654404 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.133399 36.442217 34.012699 0.000000 2.429518 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.133504 36.315767 33.147612 0.000000 3.168155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.133737 36.194464 32.321294 0.000000 3.873169 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.133320 36.031143 30.502812 0.000000 4.709681 0.000000 0.000000 0.818650 0.000000 0.000000 0.000000 
5000.00 1503.15 100.132380 35.857157 28.303607 0.000000 5.552314 0.000000 0.000000 2.001236 0.000000 0.000000 0.000000 
5000.00 1498.15 100.131288 35.696510 26.256269 0.000000 6.318862 0.000000 0.000000 3.121378 0.000000 0.000000 0.000000 
5000.00 1493.15 100.130080 35.547863 24.351423 0.000000 7.018348 0.000000 0.000000 4.178092 0.000000 0.000000 0.000000 
5000.00 1488.15 100.128787 35.410150 22.582725 0.000000 7.658212 0.000000 0.000000 5.169213 0.000000 0.000000 0.000000 
5000.00 1483.15 100.127435 35.282429 20.944197 0.000000 8.245024 0.000000 0.000000 6.093208 0.000000 0.000000 0.000000 
5000.00 1478.15 100.126044 35.163818 19.429017 0.000000 8.784738 0.000000 0.000000 6.950063 0.000000 0.000000 0.000000 
5000.00 1473.15 100.124623 35.053469 18.029011 0.000000 9.282789 0.000000 0.000000 7.741670 0.000000 0.000000 0.000000 
5000.00 1468.15 100.123179 34.950649 16.736311 0.000000 9.743760 0.000000 0.000000 8.470578 0.000000 0.000000 0.000000 
5000.00 1463.15 100.121711 34.854738 15.543492 0.000000 10.171434 0.000000 0.000000 9.139812 0.000000 0.000000 0.000000 
5000.00 1458.15 100.120219 34.765218 14.443727 0.000000 10.568849 0.000000 0.000000 9.752642 0.000000 0.000000 0.000000 
5000.00 1453.15 100.118735 34.681199 13.414045 0.000000 10.487911 0.454732 0.000000 10.324511 0.000000 0.000000 0.000000 
5000.00 1448.15 100.117235 34.602802 12.468503 0.000000 10.396978 0.893900 0.000000 10.843423 0.000000 0.000000 0.000000 
5000.00 1443.15 100.115710 34.529760 11.602432 0.000000 10.318200 1.296553 0.000000 11.312575 0.000000 0.000000 0.000000 
5000.00 1438.15 100.114157 34.461838 10.811068 0.000000 10.249820 1.665471 0.000000 11.735479 0.000000 0.000000 0.000000 
5000.00 1433.15 100.112573 34.398833 10.090145 0.000000 10.190173 2.003118 0.000000 12.115397 0.000000 0.000000 0.000000 
5000.00 1428.15 100.110960 34.340547 9.435595 0.000000 10.137761 2.311730 0.000000 12.455461 0.000000 0.000000 0.000000 
5000.00 1423.15 100.109321 34.286765 8.843325 0.000000 10.091292 2.593392 0.000000 12.758756 0.000000 0.000000 0.000000 
5000.00 1418.15 100.107660 34.237246 8.309087 0.000000 10.049689 2.850111 0.000000 13.028358 0.000000 0.000000 0.000000 
5000.00 1413.15 100.105985 34.191719 7.828452 0.000000 10.012087 3.083853 0.000000 13.267327 0.000000 0.000000 0.000000 
5000.00 1408.15 100.104304 34.149889 7.396862 0.000000 9.977805 3.296551 0.000000 13.478671 0.000000 0.000000 0.000000 
5000.00 1403.15 100.102623 34.111443 7.009732 0.000000 9.946321 3.490097 0.000000 13.665294 0.000000 0.000000 0.000000 
5000.00 1398.15 100.100906 34.075037 6.652817 0.000000 9.918005 3.669058 0.000000 13.830389 0.000000 0.000000 0.004767 
5000.00 1393.15 100.099213 34.041600 6.333806 0.000000 9.891641 3.831775 0.000000 13.975545 0.000000 0.000000 0.008833 
5000.00 1388.15 100.097547 34.010753 6.047804 0.000000 9.867068 3.980096 0.000000 14.103265 0.000000 0.000000 0.012520 
5000.00 1383.15 100.095911 33.982201 5.790878 0.000000 9.844131 4.115561 0.000000 14.215755 0.000000 0.000000 0.015876 
5000.00 1378.15 100.093866 33.955941 5.495551 0.000000 9.882380 4.164876 0.000000 14.363247 0.000000 0.028610 0.021276 
5000.00 1373.15 100.091584 33.933046 5.203547 0.000000 9.943352 4.166035 0.000000 14.523476 0.000000 0.069474 0.027161 
5000.00 1368.15 100.089359 33.912869 4.950504 0.000000 9.989232 4.168954 0.000000 14.667177 0.000000 0.104473 0.032530 
5000.00 1363.15 100.087204 33.894874 4.729382 0.000000 10.023232 4.173523 0.000000 14.796794 0.000000 0.134783 0.037160 
5000.00 1358.15 100.085122 33.878613 4.534172 0.000000 10.047924 4.179505 0.000000 14.914466 0.000000 0.161353 0.041193 
5000.00 1353.15 100.083112 33.863754 4.360297 0.000000 10.065209 4.186703 0.000000 15.021913 0.000000 0.184886 0.044746 
5000.00 1348.15 100.081174 33.850043 4.204228 0.000000 10.076521 4.194951 0.000000 15.120531 0.000000 0.205910 0.047902 
5000.00 1343.15 100.079303 33.837285 4.063192 0.000000 10.082966 4.204105 0.000000 15.211461 0.000000 0.224832 0.050729 
5000.00 1338.15 100.077498 33.825327 3.934983 0.000000 10.085408 4.214042 0.000000 15.295645 0.000000 0.241971 0.053276 
5000.00 1333.15 100.075754 33.814046 3.817819 0.000000 10.084534 4.224652 0.000000 15.373872 0.000000 0.257582 0.055586 
5000.00 1328.15 100.074069 33.803345 3.710247 0.000000 10.080897 4.235839 0.000000 15.446803 0.000000 0.271870 0.057689 
5000.00 1323.15 100.072440 33.793143 3.611064 0.000000 10.074947 4.247517 0.000000 15.514998 0.000000 0.285003 0.059613 
5000.00 1318.15 100.070863 33.783375 3.519272 0.000000 10.067055 4.259611 0.000000 15.578937 0.000000 0.297121 0.061379 
5000.00 1313.15 100.069335 33.773987 3.434027 0.000000 10.057527 4.272053 0.000000 15.639032 0.000000 0.308341 0.063006 
5000.00 1308.15 100.068197 33.739468 2.972770 0.000000 10.085887 4.268891 0.000000 15.813542 0.195386 0.333195 0.069796 
5000.00 1303.15 100.067613 33.680558 2.145003 0.000000 10.145328 4.254077 0.000000 16.097832 0.585697 0.370900 0.081722 
5000.00 1298.15 100.067017 33.637510 1.554333 0.000000 10.175099 4.252208 0.000000 16.305757 0.860816 0.398844 0.090452 
5000.00 1293.15 100.066416 33.604408 1.113153 0.000000 10.186976 4.258191 0.000000 16.465017 1.063244 0.420640 0.097187 
5000.00 1288.15 100.065816 33.577983 0.773037 0.000000 10.187411 4.269257 0.000000 16.590874 1.216526 0.438283 0.102596 
5000.00 1283.15 100.065217 33.556284 0.505113 0.000000 10.180239 4.283769 0.000000 16.692394 1.334736 0.452960 0.107075 
5000.00 1278.15 100.064225 33.523142 0.000000 0.064795 10.178013 4.236326 0.000000 16.872821 1.585763 0.468773 0.116651 
5000.00 1273.15 100.063631 33.516772 0.000000 0.066198 10.152342 4.261938 0.000000 16.866049 1.585766 0.467827 0.116651 
5000.00 1268.15 100.063039 33.510398 0.000000 0.067603 10.127515 4.286776 0.000000 16.859199 1.585793 0.466861 0.116651 
5000.00 1263.15 100.062447 33.504019 0.000000 0.069009 10.103492 4.310881 0.000000 16.852268 1.585845 0.465874 0.116651 
5000.00 1258.15 100.061857 33.497635 0.000000 0.070417 10.080238 4.334290 0.000000 16.845253 1.585920 0.464866 0.116651 
5000.00 1253.15 100.061268 33.491246 0.000000 0.071826 10.057720 4.357038 0.000000 16.838154 1.586021 0.463836 0.116651 
5000.00 1248.15 100.060680 33.484851 0.000000 0.073238 10.035906 4.379157 0.000000 16.830967 1.586148 0.462784 0.116651 
5000.00 1243.15 100.060094 33.478450 0.000000 0.074651 10.014768 4.400681 0.000000 16.823691 1.586301 0.461708 0.116651 
5000.00 1238.15 100.059508 33.472043 0.000000 0.076066 9.994279 4.421636 0.000000 16.816322 1.586481 0.460608 0.116651 
5000.00 1233.15 100.058924 33.465629 0.000000 0.077483 9.974413 4.442052 0.000000 16.808858 1.586689 0.459483 0.116651 
5000.00 1228.15 100.058341 33.459208 0.000000 0.078902 9.955146 4.461954 0.000000 16.801297 1.586926 0.458332 0.116651 
5000.00 1223.15 100.057760 33.452779 0.000000 0.080323 9.936457 4.481367 0.000000 16.793635 1.587192 0.457155 0.116651 
5000.00 1218.15 100.057180 33.446343 0.000000 0.081747 9.918325 4.500314 0.000000 16.785870 1.587487 0.455950 0.116651 
5000.00 1213.15 100.056601 33.439898 0.000000 0.083172 9.900729 4.518818 0.000000 16.777998 1.587814 0.454716 0.116651 
5000.00 1208.15 100.056023 33.433444 0.000000 0.084600 9.883652 4.536901 0.000000 16.770016 1.588172 0.453453 0.116651 
5000.00 1203.15 100.055447 33.426980 0.000000 0.086030 9.867077 4.554581 0.000000 16.761921 1.588563 0.452158 0.116651 
5000.00 1198.15 100.054872 33.420507 0.000000 0.087463 9.850987 4.571878 0.000000 16.753709 1.588987 0.450832 0.116651 
5000.00 1193.15 100.054299 33.414022 0.000000 0.088898 9.835368 4.588812 0.000000 16.745376 1.589446 0.449472 0.116651 
5000.00 1188.15 100.053727 33.407527 0.000000 0.090336 9.820204 4.605400 0.000000 16.736919 1.589940 0.448077 0.116651 
5000.00 1183.15 100.053157 33.401020 0.000000 0.091777 9.805483 4.621658 0.000000 16.728332 1.590472 0.446646 0.116651 
5000.00 1178.15 100.052588 33.394500 0.000000 0.093222 9.791193 4.637604 0.000000 16.719613 1.591041 0.445178 0.116651 
5000.00 1173.15 100.052020 33.387967 0.000000 0.094670 9.777321 4.653253 0.000000 16.710754 1.591649 0.443670 0.116651 
5000.00 1168.15 100.051454 33.381420 0.000000 0.096121 9.763857 4.668621 0.000000 16.701753 1.592298 0.442120 0.116651 
