Title: MORB_Gale2013-0

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.155072 1.0000000000000000 1.000000 275.735541 -1180413.549654 36.363823 -177.615054 2504.548191 149.873827 -7.247 0.000 2.754250 0.000000 1.893 0 0.000
5000.00 1568.15 100.155234 1.0000000000000000 1.000000 275.258789 -1181165.228613 36.351435 -177.636648 2504.615148 149.874660 -7.296 0.000 2.755193 0.000000 1.913 0 0.000
5000.00 1563.15 100.155402 1.0000000000000000 1.000000 274.780521 -1181916.998775 36.339050 -177.658408 2504.684506 149.875522 -7.346 0.000 2.756137 0.000000 1.932 0 0.000
5000.00 1558.15 100.155576 1.0000000000000000 1.000000 274.300726 -1182668.861801 36.326670 -177.680339 2504.756297 149.876415 -7.396 0.000 2.757081 0.000000 1.952 0 0.000
5000.00 1553.15 100.155756 1.0000000000000000 1.000000 273.819395 -1183420.819386 36.314294 -177.702446 2504.830559 149.877339 -7.447 0.000 2.758026 0.000000 1.972 0 0.000
5000.00 1548.15 100.155942 1.0000000000000000 1.000000 273.336518 -1184172.873260 36.301923 -177.724734 2504.907327 149.878293 -7.498 0.000 2.758971 0.000000 1.992 0 0.000
5000.00 1543.15 100.156267 0.9813917246440940 0.984018 272.299377 -1185781.097441 36.199092 -175.790167 2486.523104 149.171844 -7.549 0.000 2.759434 3.221392 2.024 0 0.000
5000.00 1538.15 100.156869 0.9489824995510698 0.956034 270.856267 -1188015.275506 36.029435 -172.400722 2453.851741 147.942783 -7.600 0.000 2.759359 3.225707 2.065 0 0.000
5000.00 1533.15 100.157681 0.9181115296928905 0.929207 269.464121 -1190167.770601 35.867598 -169.167925 2421.971226 146.774756 -7.652 0.000 2.759085 3.230068 2.108 0 0.000
5000.00 1528.15 100.158692 0.8886441098657235 0.903445 268.118634 -1192245.478500 35.712927 -166.076932 2390.781764 145.662538 -7.704 0.000 2.758603 3.234474 2.152 0 0.000
5000.00 1523.15 100.159891 0.8604630616456706 0.878672 266.816033 -1194254.415054 35.564853 -163.114851 2360.199810 144.601579 -7.757 0.000 2.757899 3.238919 2.197 0 0.000
5000.00 1518.15 100.160749 0.8076305697266234 0.828112 264.954711 -1197099.730958 35.379222 -156.163521 2294.431866 142.853846 -7.810 0.000 2.761041 3.168404 2.219 0 0.000
5000.00 1513.15 100.161209 0.7445026203805401 0.765929 262.889429 -1200238.287309 35.184839 -147.339662 2213.290124 140.850575 -7.863 0.000 2.767079 3.107302 2.222 0 0.000
5000.00 1508.15 100.161565 0.6863871560537710 0.708005 260.973990 -1203138.276341 35.007025 -139.077184 2138.111093 139.025865 -7.917 0.000 2.773824 3.073009 2.221 0 0.000
5000.00 1503.15 100.161865 0.6325079851605060 0.653726 259.184695 -1205837.756880 34.843035 -131.289186 2067.981332 137.351781 -7.970 0.000 2.781357 3.050804 2.215 0 0.000
5000.00 1498.15 100.162155 0.5823374206786677 0.602693 257.504387 -1208364.550898 34.690879 -123.922193 2002.287212 135.808433 -8.025 0.000 2.789758 3.035206 2.203 0 0.000
5000.00 1493.15 100.162475 0.5355172592834657 0.554654 255.920443 -1210739.369218 34.549098 -116.945382 1940.616195 134.381432 -8.079 0.000 2.799107 3.023713 2.185 0 0.000
5000.00 1488.15 100.162862 0.4917933463859598 0.509442 254.423203 -1212978.230322 34.416582 -110.341138 1882.674166 133.059858 -8.134 0.000 2.809488 3.015009 2.161 0 0.000
5000.00 1483.15 100.163346 0.4509668730307904 0.466930 253.004831 -1215094.191781 34.292444 -104.097725 1828.224235 131.834804 -8.190 0.000 2.820998 3.008327 2.129 0 0.000
5000.00 1478.15 100.163953 0.4128626120320418 0.427006 251.660223 -1217096.042979 34.175939 -98.204371 1777.048123 129.379622 -8.245 0.000 2.833754 3.003177 2.090 0 0.000
5000.00 1473.15 100.164700 0.3773026027185309 0.389540 250.383589 -1218993.380998 34.066398 -92.646956 1728.915679 128.464346 -8.302 0.000 2.847912 2.999219 2.043 0 0.000
5000.00 1468.15 100.165601 0.3441309837940287 0.354413 249.166501 -1220799.519717 33.963268 -87.412486 1683.619872 127.616264 -8.358 0.000 2.863668 2.996207 1.988 0 0.000
5000.00 1463.15 100.166665 0.3132078870228980 0.321519 248.004352 -1222521.964119 33.866091 -82.488341 1640.971860 126.829702 -8.415 0.000 2.881272 2.993958 1.922 0 0.000
5000.00 1458.15 100.167897 0.2844115094027302 0.290759 246.893195 -1224167.122513 33.774499 -77.862978 1600.805753 126.099776 -8.472 0.000 2.901035 2.992329 1.846 0 0.000
5000.00 1453.15 100.169301 0.2576488678603284 0.262064 245.829896 -1225740.139704 33.688217 -73.528464 1562.992463 125.422504 -8.530 0.000 2.923326 2.991213 1.758 0 0.000
5000.00 1448.15 100.170887 0.2328741340450752 0.235413 244.812475 -1227244.514599 33.607072 -69.485099 1527.459876 124.794965 -8.588 0.000 2.948502 2.990547 1.657 0 0.000
5000.00 1443.15 100.173061 0.2087768625202764 0.209616 243.801456 -1228745.022104 33.526926 -65.607866 1491.811024 124.164953 -8.646 0.000 2.975873 2.991012 1.550 0 0.000
5000.00 1438.15 100.175626 0.1861663569200421 0.185528 242.824725 -1230198.034078 33.448804 -62.041203 1457.577302 123.548526 -8.705 0.000 3.005192 2.992548 1.443 0 0.000
5000.00 1433.15 100.178593 0.1660524891552381 0.164216 241.903597 -1231573.485544 33.376155 -58.907550 1426.202020 122.991791 -8.765 0.000 3.035076 2.994905 1.337 0 0.000
5000.00 1428.15 100.181970 0.1483763952490038 0.145658 241.038060 -1232872.064377 33.308760 -56.212871 1397.435692 122.480240 -8.824 0.000 3.063812 2.998106 1.239 0 0.000
5000.00 1423.15 100.185705 0.1329228902466987 0.129624 240.224520 -1234098.487658 33.246279 -53.922895 1371.284941 122.015120 -8.885 0.000 3.090139 3.002019 1.154 0 0.000
5000.00 1418.15 100.189697 0.1194097653463382 0.115775 239.457561 -1235259.191220 33.188392 -51.979975 1347.590143 121.592489 -8.945 0.000 3.113607 3.006406 1.081 0 0.000
5000.00 1413.15 100.191943 0.0963495334615220 0.092755 238.424352 -1236761.768977 33.126858 -49.140331 1307.256349 120.860295 -9.006 0.000 3.141695 3.012510 1.015 0 0.000
