Title: MORB_Gale2013-1

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 0.000000 ---
5000.00 1568.15 0.000000 ---
5000.00 1563.15 0.000000 ---
5000.00 1558.15 0.000000 ---
5000.00 1553.15 0.000000 ---
5000.00 1548.15 0.000000 ---
5000.00 1543.15 0.000000 ---
5000.00 1538.15 0.000000 ---
5000.00 1533.15 2.707869 51.6772 0.292633 4.37041 1.16644 6.36161 0 17.0919 18.7912 0.24862 0 0
5000.00 1528.15 5.342298 51.4832 0.31914 4.55533 1.21496 6.48355 0 16.839 18.8451 0.25973 0 0
5000.00 1523.15 7.855147 51.2899 0.346903 4.73946 1.2633 6.61106 0 16.5946 18.8838 0.271028 0 0
5000.00 1518.15 10.256342 51.0971 0.375942 4.92273 1.31144 6.74308 0 16.3572 18.91 0.28253 0 0
5000.00 1513.15 12.554744 50.9049 0.406261 5.10504 1.35933 6.8788 0 16.1256 18.9258 0.294248 0 0
5000.00 1508.15 17.465866 50.9052 0.376541 8.3542 1.21512 6.3141 0 14.0624 18.0276 0.741385 0.00345871 0
5000.00 1503.15 23.370203 51.0345 0.347694 10.9125 1.08771 5.91932 0 12.4194 17.1239 1.14792 0.00700004 0
5000.00 1498.15 28.865426 51.1732 0.335095 12.3299 1.0188 5.7926 0 11.4573 16.4642 1.41922 0.00976315 0
5000.00 1493.15 33.978314 51.3095 0.330338 13.2132 0.977767 5.79037 0 10.809 15.9332 1.62445 0.012222 0
5000.00 1488.15 38.727253 51.4381 0.330221 13.8008 0.952532 5.85518 0 10.3312 15.487 1.79043 0.0145537 0
5000.00 1483.15 43.129376 51.5566 0.333256 14.2062 0.937256 5.95921 0 9.95657 15.1042 1.92979 0.0168333 0
5000.00 1478.15 47.203798 51.6642 0.338629 14.4912 0.928643 6.08737 0 9.6496 14.7719 2.04943 0.0190934 0
5000.00 1473.15 50.972967 51.7608 0.345826 14.6925 0.924593 6.2308 0 9.38977 14.4807 2.15361 0.0213473 0
5000.00 1468.15 54.458276 51.8466 0.354498 14.8339 0.923675 6.38391 0 9.16469 14.2241 2.2451 0.0235962 0
5000.00 1463.15 57.679722 51.9221 0.364395 14.931 0.924843 6.54287 0 8.96647 13.9967 2.3258 0.0258341 0
5000.00 1458.15 60.655481 51.988 0.375316 14.9951 0.927287 6.70483 0 8.78989 13.7944 2.39712 0.0280508 0
5000.00 1453.15 63.450580 52.0391 0.390444 15.0396 0.931488 6.87551 0 8.63134 13.6024 2.45985 0.0302678 0
