Title: Gale2013MORB

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 99.396520 50.7161 1.54935 15.0408 1.41106 8.86145 0.17405 7.73669 11.4189 2.77676 0.144874 0.170026
5000.00 1563.15 99.396821 50.7159 1.54935 15.0407 1.41409 8.8587 0.17405 7.73667 11.4189 2.77675 0.144874 0.170026
5000.00 1553.15 99.397144 50.7157 1.54934 15.0407 1.41732 8.85575 0.174049 7.73664 11.4188 2.77674 0.144873 0.170025
5000.00 1543.15 99.397489 50.7156 1.54933 15.0406 1.42079 8.8526 0.174049 7.73661 11.4188 2.77673 0.144873 0.170024
5000.00 1533.15 99.397102 50.7158 1.54934 15.0407 1.4169 8.85614 0.174049 7.73664 11.4188 2.77674 0.144873 0.170025
5000.00 1523.15 95.073582 50.6739 1.60592 15.5093 1.42561 8.9514 0.181964 7.26351 11.1676 2.89154 0.151462 0.177757
5000.00 1513.15 89.681944 50.6456 1.67999 16.1285 1.42964 9.07734 0.192904 6.65345 10.7951 3.04853 0.160567 0.188444
5000.00 1503.15 82.485530 50.6269 1.79845 16.4714 1.43474 9.41897 0.209734 6.13022 10.3182 3.2127 0.173851 0.204884
5000.00 1493.15 69.246013 50.4566 2.10733 15.9532 1.5513 10.4133 0.249834 5.69789 9.74172 3.38202 0.202746 0.244057
5000.00 1483.15 58.474690 50.1626 2.46648 15.2788 1.69569 11.4323 0.295854 5.23345 9.39405 3.51736 0.234388 0.289014
5000.00 1473.15 50.412328 49.8051 2.83236 14.6015 1.83582 12.4489 0.34317 4.82294 9.0921 3.61739 0.265554 0.335235
5000.00 1463.15 44.132316 49.3856 3.20701 13.9174 1.97299 13.4725 0.392003 4.45695 8.83054 3.68579 0.296272 0.382939
5000.00 1453.15 39.081975 48.9032 3.59304 13.2219 2.1084 14.5126 0.442659 4.12835 8.60597 3.72492 0.326556 0.432424
5000.00 1443.15 34.916504 48.3549 3.99317 12.511 2.24294 15.5779 0.495468 3.83176 8.41637 3.7361 0.356365 0.484012
