Title: Gale2013MORB

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 99.396520 1.0000000000000000 1.000000 273.693093 -1180334.225519 36.288896 -181.435944 2471.388295 148.822221 -7.247 0.000 2.739034 0.000000 2.024 0 0.000
5000.00 1563.15 99.396821 1.0000000000000000 1.000000 272.744710 -1181826.757314 36.264431 -181.589073 2471.512605 148.823767 -7.346 0.000 2.740890 0.000000 2.064 0 0.000
5000.00 1553.15 99.397144 1.0000000000000000 1.000000 271.790261 -1183319.629000 36.239981 -181.742827 2471.645801 148.825423 -7.447 0.000 2.742748 0.000000 2.105 0 0.000
5000.00 1543.15 99.397489 1.0000000000000000 1.000000 270.829668 -1184812.853136 36.215546 -181.897243 2471.788146 148.827193 -7.549 0.000 2.744608 0.000000 2.146 0 0.000
5000.00 1533.15 99.397102 0.9564945144151880 0.962758 268.650073 -1188156.569984 35.985293 -177.396606 2427.021948 147.206928 -7.652 0.000 2.744188 3.226747 2.227 0 0.000
5000.00 1523.15 95.073582 0.9432827858116558 0.951496 255.739549 -1137564.432527 34.365297 -170.685978 2311.753132 139.968377 -7.757 0.000 2.742676 3.235048 2.324 0 0.000
5000.00 1513.15 89.681944 0.9197614209625269 0.927677 239.970576 -1074129.482583 32.404389 -160.554913 2154.939089 131.006541 -7.863 0.000 2.743971 3.070500 2.405 0 0.000
5000.00 1503.15 82.485530 0.8394909746829238 0.846181 218.541336 -988181.675918 29.686995 -139.038097 1895.070118 118.223831 -7.970 0.000 2.756541 2.899349 2.424 0 0.000
5000.00 1493.15 69.246013 0.8444381529170280 0.849466 182.871632 -820835.482246 24.833008 -117.448695 1606.142125 98.800859 -8.079 0.000 2.771963 2.881597 2.423 0 0.000
5000.00 1483.15 58.474690 0.8621035947404915 0.865770 153.980117 -684812.409301 20.879563 -100.608320 1381.914449 83.210167 -8.190 0.000 2.788710 2.877072 2.412 0 0.000
5000.00 1473.15 50.412328 0.8754004262381198 0.877896 132.296483 -583300.468766 17.909308 -87.428433 1210.992132 69.899892 -8.302 0.000 2.806866 2.872397 2.390 0 0.000
5000.00 1463.15 44.132316 0.8855292499489290 0.886978 115.368595 -504443.502069 15.587839 -76.750591 1075.883078 60.968735 -8.415 0.000 2.826577 2.867494 2.360 0 0.000
5000.00 1453.15 39.081975 0.8933751342872012 0.893854 101.730349 -441184.369599 13.715136 -67.858557 965.958974 53.787451 -8.530 0.000 2.848025 2.862402 2.319 0 0.000
5000.00 1443.15 34.916504 0.8994368750664158 0.898982 90.465890 -389127.562843 12.166028 -60.282794 874.407548 47.868846 -8.646 0.000 2.871453 2.857074 2.267 0 0.000
5000.00 1433.15 31.406908 0.9040268066522806 0.902636 80.965257 -345359.992988 10.857156 -53.699194 796.626425 42.888451 -8.765 0.000 2.897194 2.851429 2.204 0 0.000
5000.00 1423.15 28.394444 0.9073365390638760 0.904969 72.804602 -307866.269671 9.730573 -47.874885 729.363285 38.620157 -8.885 0.000 2.925698 2.845378 2.129 0 0.000
5000.00 1413.15 25.765081 0.9094789964412107 0.906050 65.678810 -275201.665844 8.744527 -42.637154 670.269232 34.901900 -9.006 0.000 2.957573 2.838897 2.039 0 0.000
5000.00 1403.15 23.483959 0.6611827202651095 0.712752 57.821694 -249361.662550 7.776551 -33.734423 456.535686 29.551940 -9.129 0.000 2.801351 3.561988 2.970 0 0.000
5000.00 1393.15 15.539455 0.8679896944355053 0.885438 39.301784 -173474.941488 5.502061 -29.317616 345.789713 20.455198 -9.254 0.000 2.768642 3.254449 3.238 0 0.000
5000.00 1383.15 13.497962 0.8896898837434407 0.904451 34.113564 -152241.596056 4.842597 -26.755962 297.727661 17.762814 -9.381 0.000 2.741848 3.217949 3.468 0 0.000
5000.00 1373.15 12.017441 0.9052079173519020 0.918066 30.318017 -136743.454674 4.357826 -24.769197 262.123760 15.796242 -9.510 0.000 2.719047 3.190425 3.671 0 0.000
5000.00 1363.15 10.885788 0.9166133808403384 0.928099 27.395245 -124845.733320 3.983302 -23.171947 234.515244 14.290304 -9.640 0.000 2.699034 3.169417 3.855 0 0.000
5000.00 1353.15 9.984909 0.9257472054406436 0.936140 25.056014 -115342.988611 3.682722 -21.855723 212.414579 13.082904 -9.773 0.000 2.681186 3.152517 4.022 0 0.000
5000.00 1343.15 9.249873 0.9330943499730016 0.942618 23.137394 -107573.655879 3.435769 -20.749932 194.294615 12.096056 -9.907 0.000 2.665028 3.139041 4.175 0 0.000
5000.00 1333.15 8.635708 0.9185786989702723 0.931032 21.480221 -101131.596219 3.226202 -19.582123 176.609256 11.231142 -10.044 0.000 2.640937 3.160076 4.410 0 0.000
5000.00 1323.15 7.938186 0.9310321341421081 0.941970 19.692248 -93956.376764 2.994103 -18.579223 160.682865 10.319396 -10.183 0.000 2.620488 3.151004 4.618 0 0.000
