Title: Gale2013MORB

Phase Masses:
Pressure Temperature mass liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
5000.00 1573.15 99.399075 99.399075 0.000000 0.000000 0.000000 
5000.00 1563.15 99.399374 99.399374 0.000000 0.000000 0.000000 
5000.00 1553.15 99.399695 99.399695 0.000000 0.000000 0.000000 
5000.00 1543.15 99.400037 99.400037 0.000000 0.000000 0.000000 
5000.00 1533.15 99.400402 99.400402 0.000000 0.000000 0.000000 
5000.00 1523.15 99.400791 99.400791 0.000000 0.000000 0.000000 
5000.00 1513.15 99.400328 94.353936 5.046392 0.000000 0.000000 
5000.00 1503.15 94.354770 89.476840 4.877930 0.000000 0.000000 
5000.00 1493.15 89.477986 85.115578 4.362408 0.000000 0.000000 
5000.00 1483.15 85.116992 81.199697 3.917296 0.000000 0.000000 
5000.00 1473.15 81.201281 77.438865 3.540026 0.000000 0.222390 
5000.00 1463.15 77.440625 71.071572 3.218715 0.000000 3.150338 
5000.00 1453.15 71.072387 64.814779 1.630539 1.194687 3.432382 
