Title: Gale2013MORB

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
5000.00 1573.15 99.399075 36.775398 36.775398 0.000000 0.000000 0.000000 
5000.00 1563.15 99.399374 36.746535 36.746535 0.000000 0.000000 0.000000 
5000.00 1553.15 99.399695 36.717695 36.717695 0.000000 0.000000 0.000000 
5000.00 1543.15 99.400037 36.688880 36.688880 0.000000 0.000000 0.000000 
5000.00 1533.15 99.400402 36.660089 36.660089 0.000000 0.000000 0.000000 
5000.00 1523.15 99.400791 36.631325 36.631325 0.000000 0.000000 0.000000 
5000.00 1513.15 99.400328 36.363052 34.799906 1.563146 0.000000 0.000000 
5000.00 1503.15 94.354770 34.541379 33.034106 1.507273 0.000000 0.000000 
5000.00 1493.15 89.477986 32.801474 31.456924 1.344549 0.000000 0.000000 
5000.00 1483.15 85.116992 31.246748 30.042578 1.204170 0.000000 0.000000 
5000.00 1473.15 81.201281 29.849512 28.681034 1.085216 0.000000 0.083263 
5000.00 1463.15 77.440625 28.477980 26.313411 0.983759 0.000000 1.180810 
5000.00 1453.15 71.072387 26.132779 23.986834 0.494134 0.364076 1.287734 
