Title: Gale2013MORB

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 apatite 
5000.00 1573.15 99.399075 99.399075 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 99.399374 99.399374 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 99.399695 99.399695 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 99.400037 99.400037 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 99.400402 99.400402 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 99.400791 99.400791 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 99.400328 94.353936 0.000000 5.046392 0.000000 0.000000 0.000000 0.000000 
5000.00 1503.15 94.354770 89.476840 0.000000 4.877930 0.000000 0.000000 0.000000 0.000000 
5000.00 1493.15 89.477986 85.115578 0.000000 4.362408 0.000000 0.000000 0.000000 0.000000 
5000.00 1483.15 85.116992 81.199697 0.000000 3.917296 0.000000 0.000000 0.000000 0.000000 
5000.00 1473.15 81.201281 77.438865 0.000000 3.540026 0.000000 0.222390 0.000000 0.000000 
5000.00 1463.15 77.440625 71.071572 0.000000 3.218715 0.000000 3.150338 0.000000 0.000000 
5000.00 1453.15 71.072387 64.814779 0.000000 1.630539 1.194687 3.432382 0.000000 0.000000 
5000.00 1443.15 64.816566 59.382509 0.000000 1.715252 0.653983 3.064821 0.000000 0.000000 
5000.00 1433.15 59.384508 54.778372 0.000000 1.423080 0.574776 2.608281 0.000000 0.000000 
5000.00 1423.15 54.780558 50.822616 0.000000 1.193416 0.519175 2.245351 0.000000 0.000000 
5000.00 1413.15 50.824978 47.383020 0.000000 1.009119 0.484419 1.948420 0.000000 0.000000 
5000.00 1403.15 47.385578 44.357740 0.000000 0.859117 0.474230 1.694491 0.000000 0.000000 
5000.00 1393.15 44.370234 40.173646 0.000000 0.760281 0.692169 2.054549 0.689589 0.000000 
5000.00 1383.15 40.190983 35.880786 0.000000 0.639009 0.611577 2.112559 0.947053 0.000000 
5000.00 1373.15 35.894973 32.470774 0.000000 0.517809 0.413391 1.775586 0.717413 0.000000 
5000.00 1363.15 32.482802 29.689907 0.000000 0.430315 0.285197 1.518781 0.558602 0.000000 
5000.00 1353.15 29.700405 27.373046 0.000000 0.364094 0.200198 1.318051 0.445015 0.000000 
5000.00 1343.15 27.382423 25.408525 0.000000 0.312306 0.142540 1.157710 0.361342 0.000000 
5000.00 1333.15 25.417038 23.675640 0.000000 0.281649 0.097306 1.038497 0.301622 0.022324 
5000.00 1323.15 23.684467 22.135383 0.000000 0.254216 0.064432 0.936076 0.253946 0.040415 
5000.00 1313.15 22.143689 20.791260 0.000000 0.221029 0.045671 0.839197 0.213203 0.033329 
5000.00 1303.15 20.799157 19.605847 0.000000 0.193873 0.032538 0.757953 0.181089 0.027857 
5000.00 1293.15 19.613415 18.550790 0.000000 0.171389 0.023220 0.689105 0.155364 0.023547 
5000.00 1283.15 18.558090 17.604414 0.000000 0.152514 0.016630 0.629987 0.134451 0.020094 
5000.00 1273.15 17.611491 16.749772 0.000000 0.136506 0.011990 0.578706 0.117234 0.017283 
5000.00 1263.15 16.756661 15.973390 0.000000 0.122812 0.008761 0.533836 0.102898 0.014965 
5000.00 1253.15 15.980117 15.264413 0.000000 0.111008 0.006565 0.494268 0.090838 0.013027 
5000.00 1243.15 15.270999 14.613993 0.000000 0.100762 0.005135 0.459126 0.080594 0.011389 
5000.00 1233.15 14.620455 14.014845 0.000000 0.091810 0.004284 0.427713 0.071814 0.009989 
5000.00 1223.15 14.021195 13.460913 0.000000 0.083939 0.003877 0.399465 0.064223 0.008778 
5000.00 1213.15 13.467160 12.947120 0.000000 0.076976 0.003816 0.373922 0.057605 0.007721 
5000.00 1203.15 12.953272 12.469179 0.000000 0.070774 0.004033 0.350709 0.051791 0.006786 
5000.00 1193.15 12.473913 11.956795 0.118966 0.000000 0.000000 0.362613 0.028172 0.007367 
5000.00 1183.15 11.960727 11.501620 0.092846 0.000000 0.000000 0.332280 0.027794 0.006187 
5000.00 1173.15 11.505496 11.080960 0.084740 0.000000 0.000000 0.310355 0.024015 0.005425 
5000.00 1163.15 11.084793 10.691446 0.077387 0.000000 0.000000 0.290433 0.020785 0.004742 
5000.00 1153.15 10.695244 10.330141 0.070706 0.000000 0.000000 0.272254 0.018018 0.004125 
5000.00 1143.15 10.333914 9.994481 0.064627 0.000000 0.000000 0.255600 0.015646 0.003560 
5000.00 1133.15 9.998236 9.682215 0.059089 0.000000 0.000000 0.240285 0.013609 0.003037 
5000.00 1123.15 9.685957 9.391364 0.054041 0.000000 0.000000 0.226147 0.011858 0.002547 
