,experiment,step,pressure,temperature,mass,entropy,enthalpy,volume,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#,phaseID,phase,formula,structure,mass%,volume%,H2O
"(5000, 1300)",363f3d0a0b,0,5000.0,1300.0,99.39652,273.69309300000003,-1180334.225519,36.288896,148.82222099999998,2.024,50.7161,1.54935,15.0408,1.41106,8.86145,0.17405,7.736689999999999,11.4189,2.77676,0.144874,0.170026,0.6088082633181799,liquid_0,liquid,,,100.0,100.0,
"(5000, 1290)",363f3d0a0b,1,5000.0,1290.0,99.396821,272.74471,-1181826.757314,36.264431,148.823767,2.064,50.7159,1.54935,15.0407,1.41409,8.8587,0.17405,7.736669999999999,11.4189,2.77675,0.144874,0.170026,0.6088815658006196,liquid_0,liquid,,,100.00030282750343,99.93258268314362,
"(5000, 1280)",363f3d0a0b,2,5000.0,1280.0,99.397144,271.790261,-1183319.629,36.239981,148.825423,2.105,50.7157,1.54934,15.0407,1.4173200000000001,8.85575,0.174049,7.7366399999999995,11.4188,2.77674,0.144873,0.170025,0.6089599563985256,liquid_0,liquid,,,100.00062778857853,99.86520670124547,
"(5000, 1270)",363f3d0a0b,3,5000.0,1270.0,99.39748900000001,270.829668,-1184812.853136,36.215546,148.827193,2.146,50.7156,1.5493299999999999,15.0406,1.42079,8.8526,0.174049,7.736610000000001,11.4188,2.77673,0.144873,0.170024,0.6090437471689056,liquid_0,liquid,,,100.0009748832253,99.79787205430554,
"(5000, 1260)",363f3d0a0b,4,5000.0,1260.0,95.072783,258.18284900000003,-1133818.144966,34.645144,141.986583,2.227,50.6738,1.6059299999999999,15.5094,1.42771,8.94951,0.18196600000000002,7.263380000000001,11.1675,2.8915599999999997,0.15146300000000001,0.177759,0.5912870505944161,liquid_0,liquid,,,95.65001169055014,95.47037198376054,
"(5000, 1250)",363f3d0a0b,5,5000.0,1250.0,89.681273,242.74933,-1069902.798023,32.698457,133.484714,2.324,50.6454,1.67999,16.1285,1.4333,9.07403,0.192905,6.6533,10.795,3.04855,0.16056900000000002,0.188445,0.5665376284513407,liquid_0,liquid,,,90.22576746147652,90.10595692963489,
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,82.48599200000001,222.517522,-982196.0292280001,30.060813,122.30428400000001,2.405,50.6254,1.79844,16.4708,1.46451,9.39202,0.209733,6.12997,10.3178,3.21263,0.173849,0.20488299999999998,0.5377707784964618,liquid_0,liquid,,,82.98680074513676,82.83749662706741,
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,69.245858,186.04632800000002,-816081.031553,25.120566,102.037133,2.424,50.4545,2.10732,15.9526,1.59227,10.3762,0.24983400000000003,5.6973400000000005,9.74121,3.38196,0.202746,0.244058,0.4946318818625527,liquid_0,liquid,,,69.66628006694802,69.22383640439213,
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,58.473975,156.411296,-681186.436538,21.094789000000002,85.60905100000001,2.423,50.1606,2.4664900000000003,15.2783,1.7346599999999999,11.3969,0.295858,5.23287,9.39354,3.51732,0.23439000000000002,0.289017,0.4500819775150963,liquid_0,liquid,,,58.82899622642724,58.130148131263084,
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,50.411241,134.223075,-580438.2274399999,18.076905,73.355284,2.412,49.8031,2.8324,14.600999999999999,1.8736599999999999,12.4146,0.343177,4.8223199999999995,9.09158,3.6173599999999997,0.265559,0.33524299999999996,0.4091268667801166,liquid_0,liquid,,,50.71730982130964,49.81387419446433,
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,44.130974,116.945171,-502110.092861,15.722509,62.238059,2.39,49.3836,3.20708,13.9169,2.01048,13.4386,0.392015,4.45629,8.830010000000001,3.6857800000000003,0.296279,0.38295100000000004,0.371503410647735,liquid_0,liquid,,,44.398912557502015,43.325950174951586,
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,39.080456,103.053789,-439232.894123,13.826070999999999,54.818334,2.36,48.9011,3.59315,13.2215,2.14623,14.4784,0.442676,4.12764,8.605410000000001,3.72491,0.326567,0.43244099999999996,0.33695129745769414,liquid_0,liquid,,,39.31773064087153,38.10000447519814,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,34.914865,91.59852099999999,-387463.696863,12.259327,48.723625,2.319,48.3527,3.9933099999999997,12.5105,2.28183,15.5429,0.49549099999999996,3.8310000000000004,8.41578,3.7360900000000004,0.35637800000000003,0.48403500000000005,0.30524679852886966,liquid_0,liquid,,,35.12684850536015,33.782584623131,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,31.405191,81.950696,-343917.970199,10.937038000000001,43.609693,2.267,47.7334,4.41086,11.7793,2.41817,16.6414,0.550864,3.5621199999999997,8.26035,3.71973,0.385617,0.5381279999999999,0.2761788500707922,liquid_0,liquid,,,31.595865730510486,30.13880058517074,
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,1.865743,4.654739,-25291.762826,0.7007760000000001,2.308507,,51.1036,0.0,31.314,0.0,0.0,0.0,0.0,13.9101,3.64025,0.03209,0.0,,feldspar_0,feldspar,K0Na0.32Ca0.68Al1.68Si2.32O8,,1.8770707465412269,1.9311031120924704,
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,7.261446,18.09883,-98466.418607,2.733386,8.981122000000001,,51.9382,0.0,30.7497,0.0,0.0,0.0,0.0,13.2498,4.0208699999999995,0.0414281,0.0,,feldspar_0,feldspar,K0Na0.35Ca0.64Al1.64Si2.36O8,,7.3055334331624495,7.532293073892355,
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,6.2793589999999995,15.632558,-85178.835878,2.36849,7.763078,,52.7198,0.0,30.2206,0.0,0.0,0.0,0.0,12.6309,4.37552,0.0531384,0.0,,feldspar_0,feldspar,K0Na0.38Ca0.61Al1.61Si2.39O8,,6.317483750940174,6.5267623462560005,
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,4.7673879999999995,11.853021,-64692.263695,1.8017150000000002,5.891182,,53.4818,0.0,29.7043,0.0,0.0,0.0,0.0,12.0271,4.71995,0.0668289,0.0,,feldspar_0,feldspar,K0Na0.41Ca0.58Al1.58Si2.42O8,,4.796332909844328,4.964920949923635,
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,3.765793,9.349563,-51119.421033,1.4258959999999998,4.6512970000000005,,54.2279,0.0,29.1982,0.0,0.0,0.0,0.0,11.4354,5.055630000000001,0.08288739999999999,0.0,,feldspar_0,feldspar,K0Na0.44Ca0.55Al1.55Si2.45O8,,3.788656785971984,3.929290105711675,
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,3.071169,7.613484,-41705.241767,1.1650459999999998,3.7914849999999998,,54.9624,0.0,28.6992,0.0,0.0,0.0,0.0,10.8524,5.38422,0.101849,0.0,,feldspar_0,feldspar,K0.01Na0.47Ca0.52Al1.52Si2.48O8,,3.0898154180850597,3.2104751822706312,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,2.568605,6.3574839999999995,-34893.087635,0.976184,3.169445,,55.6888,0.0,28.2048,0.0,0.0,0.0,0.0,10.2751,5.70694,0.124418,0.0,,feldspar_0,feldspar,K0.01Na0.5Ca0.5Al1.5Si2.5O8,,2.5842001309502587,2.6900349903176997,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,2.19456,5.42265,-29822.179364999996,0.8355459999999999,2.706483,,56.4111,0.0,27.7122,0.0,0.0,0.0,0.0,9.7001,6.0250699999999995,0.151572,0.0,,feldspar_0,feldspar,K0.01Na0.52Ca0.47Al1.47Si2.53O8,,2.207884139203264,2.302483933377306,
"(5000, 1260)",363f3d0a0b,4,5000.0,1260.0,4.324319,10.467224,-54338.425017999994,1.340148,5.220345,,51.6378,0.305222,4.73634,1.17925,6.80319,0.0,18.1416,16.9442,0.252409,0.0,0.0,0.8261894293797925,clinopyroxene_0,clinopyroxene,Na0.02Ca0.66Fe{2+}0.21Mg0.99Fe{3+}0.03Ti0.01Al0.2Si1.88O6,cpx,4.350573843027905,3.692997439216668,
"(5000, 1250)",363f3d0a0b,5,5000.0,1250.0,5.392309,12.990219,-67661.634504,1.666841,6.483663,,51.1486,0.37395300000000004,5.21028,1.29764,6.9119,0.0,17.412,17.3654,0.280237,0.0,0.0,0.8178661870932357,clinopyroxene_0,clinopyroxene,Na0.02Ca0.68Fe{2+}0.21Mg0.95Fe{3+}0.04Ti0.01Al0.22Si1.87O6,cpx,5.425048080154114,4.593253539595142,
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,5.330209,12.798314,-66641.690529,1.6428009999999997,6.39375,,50.7984,0.434933,5.5149099999999995,1.3904,7.38505,0.0,17.0832,17.0912,0.301861,0.0,0.0,0.804817395989972,clinopyroxene_0,clinopyroxene,Na0.02Ca0.67Fe{2+}0.23Mg0.93Fe{3+}0.04Ti0.01Al0.24Si1.86O6,cpx,5.3625710437347305,4.527007379888326,
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,4.395479,10.553881,-54375.33674199999,1.3489010000000001,5.2782849999999994,,50.8275,0.44799700000000003,5.30422,1.40935,8.96607,0.0,17.7072,15.0398,0.297844,0.0,0.0,0.7787791381757065,clinopyroxene_0,clinopyroxene,Na0.02Ca0.59Fe{2+}0.28Mg0.97Fe{3+}0.04Ti0.01Al0.23Si1.86O6,cpx,4.422165886693015,3.7171177651698195,
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,3.5047639999999998,8.467561,-42310.484966,1.067583,4.24795,,51.326,0.330297,4.641830000000001,1.2770700000000001,12.9277,0.0,20.4626,8.82841,0.20615300000000003,0.0,0.0,0.7383226289285455,clinopyroxene_0,clinopyroxene,Na0.01Ca0.35Fe{2+}0.4Mg1.12Fe{3+}0.04Ti0.01Al0.2Si1.88O6,cpx,3.526042964079628,2.941899913406018,
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,2.521194,6.062263,-30189.887801,0.764746,3.041972,,51.0697,0.369508,4.59788,1.35457,13.8757,0.0,19.9189,8.59791,0.215896,0.0,0.0,0.7190131844222679,clinopyroxene_0,clinopyroxene,Na0.02Ca0.34Fe{2+}0.43Mg1.09Fe{3+}0.04Ti0.01Al0.2Si1.88O6,cpx,2.536501277911943,2.107382930580197,
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,1.885603,4.512219,-22389.486355,0.569513,2.2647939999999998,,50.824,0.403648,4.54049,1.42842,14.8582,0.0,19.3918,8.32928,0.22412100000000001,0.0,0.0,0.6993785704248064,clinopyroxene_0,clinopyroxene,Na0.02Ca0.33Fe{2+}0.46Mg1.07Fe{3+}0.04Ti0.01Al0.2Si1.88O6,cpx,1.897051325338151,1.5693864040394065,
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,1.458919,3.474122,-17171.863191,0.43872700000000003,1.7442540000000002,,50.5871,0.43206999999999995,4.46893,1.49892,15.8764,0.0,18.8672,8.03832,0.23104499999999997,0.0,0.0,0.6793166677054056,clinopyroxene_0,clinopyroxene,Na0.02Ca0.32Fe{2+}0.49Mg1.04Fe{3+}0.04Ti0.01Al0.2Si1.88O6,cpx,1.467776739064909,1.2089841476577299,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,1.160827,2.750443,-13538.942371000001,0.347537,1.381321,,50.3581,0.454196,4.38221,1.56615,16.930999999999997,0.0,18.3351,7.736339999999999,0.23683,0.0,0.0,0.6587464630700417,clinopyroxene_0,clinopyroxene,Na0.02Ca0.31Fe{2+}0.53Mg1.02Fe{3+}0.04Ti0.01Al0.19Si1.88O6,cpx,1.1678748913945882,0.9576951583206058,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,0.9468260000000001,2.231831,-10938.122505,0.282183,1.121183,,50.1368,0.469525,4.278919999999999,1.6299700000000001,18.0233,0.0,17.7881,7.43182,0.24160900000000002,0.0,0.0,0.6375870142133846,clinopyroxene_0,clinopyroxene,Na0.02Ca0.3Fe{2+}0.56Mg0.99Fe{3+}0.05Ti0.01Al0.19Si1.88O6,cpx,0.9525745971790563,0.7776015010211388,
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,1.582747,3.8422970000000003,-19258.889015,0.48414300000000005,1.927291,,51.5965,0.286777,4.67235,1.19534,12.0127,0.0,21.0425,8.99915,0.194633,0.0,0.0,0.7574265106724526,clinopyroxene_1,clinopyroxene,Na0.01Ca0.35Fe{2+}0.37Mg1.14Fe{3+}0.03Ti0.01Al0.2Si1.88O6,cpx,1.592356553328024,1.3341353784915364,
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,0.987915,2.360218,-12159.724863,0.302145,1.18078,,50.5087,0.547487,5.33785,1.53152,9.46388,0.0,17.0589,15.2264,0.32529,0.0,0.0,0.7626442571536628,clinopyroxene_1,clinopyroxene,Na0.02Ca0.6Fe{2+}0.29Mg0.94Fe{3+}0.04Ti0.02Al0.23Si1.86O6,cpx,0.9939130665741617,0.8326100634199508,
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,0.774868,1.8417580000000002,-9492.030365,0.236197,0.9217299999999999,,50.18,0.6585840000000001,5.376180000000001,1.6594900000000001,9.91089,0.0,16.3976,15.4627,0.354574,0.0,0.0,0.7467858433211257,clinopyroxene_1,clinopyroxene,Na0.03Ca0.61Fe{2+}0.31Mg0.9Fe{3+}0.05Ti0.02Al0.23Si1.85O6,cpx,0.779572564512319,0.6508795417749825,
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,0.629959,1.489529,-7681.468517,0.19139,0.745742,,49.841,0.782675,5.41637,1.79407,10.3212,0.0,15.7311,15.7279,0.385706,0.0,0.0,0.7309566501771538,clinopyroxene_1,clinopyroxene,Na0.03Ca0.63Fe{2+}0.32Mg0.87Fe{3+}0.05Ti0.02Al0.24Si1.85O6,cpx,0.633783758224131,0.5274065102448969,
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,0.521771,1.2272,-6333.502988,0.157996,0.614662,,49.4914,0.920883,5.45561,1.93583,10.7071,0.0,15.0634,16.0071,0.41869399999999996,0.0,0.0,0.7149204294665616,clinopyroxene_1,clinopyroxene,Na0.03Ca0.64Fe{2+}0.33Mg0.84Fe{3+}0.05Ti0.03Al0.24Si1.84O6,cpx,0.5249389012814534,0.43538387059226047,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,0.43767799999999996,1.023901,-5288.64273,0.132088,0.513061,,49.1312,1.07384,5.491169999999999,2.08514,11.079,0.0,14.3969,16.2892,0.45353000000000004,0.0,0.0,0.6984659544672775,clinopyroxene_1,clinopyroxene,Na0.03Ca0.65Fe{2+}0.35Mg0.8Fe{3+}0.06Ti0.03Al0.24Si1.84O6,cpx,0.44033533568378447,0.3639901307551489,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,0.369927,0.860714,-4449.290773,0.11126,0.431487,,48.7615,1.24119,5.51963,2.24199,11.4471,0.0,13.7329,16.5655,0.490188,0.0,0.0,0.6813754479903624,clinopyroxene_1,clinopyroxene,Na0.04Ca0.67Fe{2+}0.36Mg0.77Fe{3+}0.06Ti0.04Al0.24Si1.83O6,cpx,0.37217298955738093,0.306595163435118,
"(5000, 1300)",363f3d0a0b,0,5000.0,1300.0,99.39652,,,,,,50.7161,1.54935,15.0408,1.41106,8.86145,0.17405,7.736689999999999,11.4189,2.77676,0.144874,0.170026,0.6088082633181799,,bulk,,,100.0,,
"(5000, 1290)",363f3d0a0b,1,5000.0,1290.0,99.396821,,,,,,50.7159,1.54935,15.0407,1.41409,8.8587,0.17405,7.736669999999999,11.4189,2.77675,0.144874,0.170026,0.6088815658006196,,bulk,,,100.00030282750343,,
"(5000, 1280)",363f3d0a0b,2,5000.0,1280.0,99.397144,,,,,,50.7157,1.54934,15.0407,1.4173200000000001,8.85575,0.174049,7.7366399999999995,11.4188,2.77674,0.144873,0.170025,0.6089599563985256,,bulk,,,100.00062778857853,,
"(5000, 1270)",363f3d0a0b,3,5000.0,1270.0,99.39748900000001,,,,,,50.7156,1.5493299999999999,15.0406,1.42079,8.8526,0.174049,7.736610000000001,11.4188,2.77673,0.144873,0.170024,0.6090437471689056,,bulk,,,100.0009748832253,,
"(5000, 1260)",363f3d0a0b,4,5000.0,1260.0,99.397102,,,,,,50.7158,1.54934,15.0407,1.4169,8.85614,0.174049,7.7366399999999995,11.4188,2.77674,0.144873,0.170025,0.6089494696283944,,bulk,,,100.00058553357805,,
"(5000, 1250)",363f3d0a0b,5,5000.0,1250.0,95.073582,,,,,,50.6739,1.60592,15.5093,1.42561,8.9514,0.18196400000000001,7.263510000000001,11.1676,2.89154,0.15146199999999999,0.177757,0.5912403441557307,,bulk,,,95.65081554163064,,
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,89.681944,,,,,,50.6456,1.67999,16.1285,1.42964,9.07734,0.192904,6.65345,10.7951,3.04853,0.16056700000000002,0.188444,0.56645359994028,,bulk,,,90.22644253541272,,
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,82.48553000000001,,,,,,50.6269,1.79845,16.4714,1.43474,9.41897,0.209734,6.13022,10.3182,3.2127,0.173851,0.204884,0.5370685922083681,,bulk,,,82.98633594013151,,
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,69.246013,,,,,,50.4566,2.10733,15.9532,1.5513,10.4133,0.24983400000000003,5.69789,9.741719999999999,3.38202,0.202746,0.24405700000000002,0.4937638535902733,,bulk,,,69.66643600802122,,
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,58.47469,,,,,,50.1626,2.46648,15.2788,1.6956900000000001,11.4323,0.295854,5.23345,9.39405,3.51736,0.234388,0.289014,0.4493419246710412,,bulk,,,58.82971556750679,,
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,50.412328,,,,,,49.8051,2.83236,14.6015,1.83582,12.4489,0.34317,4.82294,9.0921,3.6173900000000003,0.265554,0.335235,0.4084911152191551,,bulk,,,50.71840342096484,,
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,44.132315999999996,,,,,,49.3856,3.20701,13.9174,1.9729900000000002,13.4725,0.39200300000000005,4.45695,8.83054,3.6857900000000003,0.296272,0.382939,0.3709499048250156,,bulk,,,44.400262705374395,,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,39.081975,,,,,,48.9032,3.5930400000000002,13.2219,2.1084,14.5126,0.442659,4.12835,8.60597,3.7249199999999996,0.326556,0.432424,0.336462783102715,,bulk,,,39.319258863388775,,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,34.916503999999996,,,,,,48.3549,3.9931699999999997,12.511,2.24294,15.5779,0.495468,3.83176,8.41637,3.7361,0.356365,0.484012,0.3048120273703963,,bulk,,,35.128497456450184,,
"(5000, 1260)",363f3d0a0b,4,5000.0,1260.0,4.324319,,,,,,51.6378,0.305222,4.73634,1.17925,6.80319,0.0,18.1416,16.9442,0.252409,0.0,0.0,0.8261894293797925,,solid,,,4.350573843027905,,
"(5000, 1250)",363f3d0a0b,5,5000.0,1250.0,5.392309,,,,,,51.1486,0.37395300000000004,5.21028,1.29764,6.9119,0.0,17.412,17.3654,0.280237,0.0,0.0,0.8178661870932357,,solid,,,5.425048080154114,,
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,7.195952,,,,,,50.8775,0.32216500000000003,12.204,1.0299,5.470280000000001,0.0,12.654000000000002,16.2664,1.16743,0.00832018,0.0,0.8048182959832999,,solid,,,7.239641790275958,,
