,experiment,step,pressure,temperature,mass,F,phi,entropy,enthalpy,volume,dVdP*10^6,dVdT*10^6,Cp,logfO2(absolute),logfO2-QFM,rhol,rhos,viscosity,aH2O,chisqr,mass%,volume%
"(5000, 1300)",363f3d0a0b,0,5000.0,1300.0,99.39652,1.0,1.0,273.69309300000003,-1180334.225519,36.288896,-181.435944,2471.3882949999997,148.82222099999998,-7.247000000000001,0.0,2.739034,0.0,2.024,0.0,0.0,1.0,1.0
"(5000, 1290)",363f3d0a0b,1,5000.0,1290.0,99.396821,1.0,1.0,272.74471,-1181826.757314,36.264431,-181.58907299999998,2471.512605,148.823767,-7.346,0.0,2.7408900000000003,0.0,2.064,0.0,0.0,1.0000030282750343,0.9993258268314362
"(5000, 1280)",363f3d0a0b,2,5000.0,1280.0,99.397144,1.0,1.0,271.790261,-1183319.629,36.239981,-181.742827,2471.645801,148.825423,-7.447,0.0,2.7427479999999997,0.0,2.105,0.0,0.0,1.0000062778857852,0.9986520670124547
"(5000, 1270)",363f3d0a0b,3,5000.0,1270.0,99.39748900000001,1.0,1.0,270.829668,-1184812.853136,36.215546,-181.897243,2471.788146,148.827193,-7.5489999999999995,0.0,2.7446080000000004,0.0,2.146,0.0,0.0,1.000009748832253,0.9979787205430555
"(5000, 1260)",363f3d0a0b,4,5000.0,1260.0,99.397102,0.956494514415188,0.962758,268.650073,-1188156.569984,35.985293,-177.39660600000002,2427.021948,147.206928,-7.652,0.0,2.7441880000000003,3.226747,2.227,0.0,0.0,1.0000058553357805,0.9916337217864108
"(5000, 1250)",363f3d0a0b,5,5000.0,1250.0,95.073582,0.9432827858116558,0.9514959999999999,255.739549,-1137564.432527,34.365297,-170.685978,2311.753132,139.968377,-7.757000000000001,0.0,2.742676,3.235048,2.324,0.0,0.0,0.9565081554163064,0.9469920771356615
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,89.681944,0.9197614209625268,0.9276770000000001,239.97057599999997,-1074129.482583,32.404389,-160.554913,2154.939089,131.006541,-7.8629999999999995,0.0,2.7439709999999997,3.0705,2.405,0.0,0.0,0.9022644253541271,0.8929560436338433
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,82.48553000000001,0.8394909746829238,0.846181,218.541336,-988181.675918,29.686995,-139.038097,1895.0701179999999,118.223831,-7.97,0.0,2.756541,2.899349,2.424,0.0,0.0,0.8298633594013152,0.8180737986628196
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,69.246013,0.844438152917028,0.8494659999999999,182.871632,-820835.482246,24.833008,-117.448695,1606.142125,98.800859,-8.079,0.0,2.771963,2.881597,2.423,0.0,0.0,0.6966643600802122,0.6843142321000892
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,58.47469,0.8621035947404915,0.86577,153.98011699999998,-684812.4093010001,20.879563,-100.60831999999999,1381.914449,83.210167,-8.19,0.0,2.78871,2.877072,2.412,0.0,0.0,0.5882971556750679,0.5753705761674315
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,50.412328,0.8754004262381198,0.8778959999999999,132.296483,-583300.468766,17.909308,-87.428433,1210.992132,69.89989200000001,-8.302,0.0,2.806866,2.8723970000000003,2.39,0.0,0.0,0.5071840342096484,0.49352033194947564
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,44.132315999999996,0.885529249948929,0.886978,115.368595,-504443.502069,15.587839,-76.750591,1075.8830779999998,60.968734999999995,-8.415,0.0,2.826577,2.8674939999999998,2.36,0.0,0.0,0.44400262705374394,0.42954844920054885
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,39.081975,0.8933751342872012,0.893854,101.730349,-441184.36959899997,13.715136,-67.85855699999999,965.958974,53.787451000000004,-8.53,0.0,2.848025,2.862402,2.319,0.0,0.0,0.3931925886338878,0.3779430490252445
