Title: Gale2013MORB-4

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.138889 100.138889 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.139036 100.139036 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.139187 100.139187 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.139345 100.139345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.139507 100.139507 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.139675 100.139675 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.139848 100.139848 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.140028 100.140028 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.139797 98.318165 0.000000 1.821633 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.139529 95.517652 0.000000 4.621877 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.139463 92.819975 0.000000 7.319489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.139576 90.225950 0.000000 9.913627 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.138954 84.704533 0.000000 13.126701 0.000000 0.000000 2.307720 0.000000 0.000000 0.000000 
5000.00 1508.15 100.137377 76.955337 0.000000 16.670202 0.000000 0.000000 6.511837 0.000000 0.000000 0.000000 
5000.00 1503.15 100.135668 69.784464 0.000000 19.854740 0.000000 0.000000 10.496463 0.000000 0.000000 0.000000 
5000.00 1498.15 100.133992 63.235763 0.000000 21.206340 1.491765 0.000000 14.200124 0.000000 0.000000 0.000000 
5000.00 1493.15 100.132445 57.349013 0.000000 21.384004 3.854377 0.000000 17.545051 0.000000 0.000000 0.000000 
5000.00 1488.15 100.131013 52.058345 0.000000 21.558321 5.970232 0.000000 20.544115 0.000000 0.000000 0.000000 
5000.00 1483.15 100.129684 47.265615 0.000000 21.743894 7.871547 0.000000 23.248629 0.000000 0.000000 0.000000 
5000.00 1478.15 100.128445 42.894349 0.000000 21.946284 9.588774 0.000000 25.699038 0.000000 0.000000 0.000000 
5000.00 1473.15 100.127283 38.882847 0.000000 22.165210 11.150438 0.000000 27.928789 0.000000 0.000000 0.000000 
5000.00 1468.15 100.126184 35.183772 0.000000 22.397426 12.581107 0.000000 29.963878 0.000000 0.000000 0.000000 
5000.00 1463.15 100.125130 31.760379 0.000000 22.637936 13.901745 0.000000 31.825070 0.000000 0.000000 0.000000 
