Title: Gale2013MORB-4

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 0.000000 ---
5000.00 1568.15 0.000000 ---
5000.00 1563.15 0.000000 ---
5000.00 1558.15 0.000000 ---
5000.00 1553.15 0.000000 ---
5000.00 1548.15 0.000000 ---
5000.00 1543.15 0.000000 ---
5000.00 1538.15 0.000000 ---
5000.00 1533.15 1.821633 51.784 0.264029 4.5809 1.13867 7.1804 0 18.4855 16.3275 0.238956 0 0
5000.00 1528.15 4.621877 51.5275 0.29574 4.82284 1.20003 7.16188 0 18.0213 16.7168 0.253854 0 0
5000.00 1523.15 7.319489 51.2903 0.326744 5.05159 1.25715 7.21138 0 17.6507 16.9446 0.267545 0 0
5000.00 1518.15 9.913627 51.0622 0.358122 5.27372 1.31219 7.29469 0 17.3267 17.0915 0.280824 0 0
5000.00 1513.15 15.434420 50.9824 0.322794 9.21003 1.14273 6.55744 0 14.732 16.2598 0.788377 0.00454215 0
5000.00 1508.15 23.182039 51.1089 0.282723 12.4819 0.97765 6.04483 0 12.6019 15.2101 1.2823 0.00974111 0
5000.00 1503.15 30.351203 51.2572 0.268255 14.0152 0.903763 5.9317 0 11.5365 14.4986 1.57513 0.0136713 0
5000.00 1498.15 36.898229 51.3999 0.266633 14.8793 0.867666 5.95583 0 10.8703 13.9569 1.78616 0.017294 0
5000.00 1493.15 42.783432 51.5287 0.27288 15.3966 0.852451 6.03407 0 10.3956 13.5474 1.95149 0.0208536 0
5000.00 1488.15 48.072669 51.6449 0.28348 15.7165 0.849012 6.13909 0 10.0265 13.2275 2.08862 0.0244734 0
5000.00 1483.15 52.864069 51.7497 0.297151 15.9193 0.852665 6.26048 0 9.72268 12.9629 2.20691 0.0282398 0
5000.00 1478.15 57.234096 51.8439 0.313249 16.0468 0.860908 6.39284 0 9.46325 12.7356 2.31127 0.0322031 0
5000.00 1473.15 61.244436 51.9279 0.331411 16.1235 0.87222 6.53308 0 9.23581 12.5351 2.4046 0.036399 0
5000.00 1468.15 64.942412 52.0021 0.351409 16.1643 0.88558 6.67922 0 9.03282 12.355 2.48866 0.0408516 0
5000.00 1463.15 68.364751 52.0669 0.373058 16.1791 0.900205 6.82985 0 8.84942 12.1914 2.56455 0.0455779 0
5000.00 1458.15 71.539827 52.1224 0.396161 16.1748 0.915411 6.98383 0 8.68234 12.0415 2.63298 0.0505887 0
5000.00 1453.15 74.488715 52.1692 0.420458 16.1564 0.93053 7.14011 0 8.52943 11.9036 2.69437 0.055888 0
