Title: Gale2013MORB-9

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.136775 49.1117 1.62987 16.1889 1.36333 8.5744 0.165687 8.1688 11.7665 2.71138 0.14715 0.172254
5000.00 1568.15 100.136919 49.1117 1.62987 16.1889 1.36476 8.57309 0.165687 8.16879 11.7664 2.71137 0.14715 0.172254
5000.00 1563.15 100.137069 49.1116 1.62987 16.1889 1.36625 8.57174 0.165687 8.16878 11.7664 2.71137 0.14715 0.172254
5000.00 1558.15 100.137223 49.1115 1.62986 16.1889 1.36779 8.57034 0.165687 8.16877 11.7664 2.71137 0.147149 0.172253
5000.00 1553.15 100.137383 49.1114 1.62986 16.1888 1.36938 8.56889 0.165686 8.16875 11.7664 2.71136 0.147149 0.172253
5000.00 1548.15 100.137548 49.1114 1.62986 16.1888 1.37102 8.5674 0.165686 8.16874 11.7664 2.71136 0.147149 0.172253
5000.00 1543.15 100.137719 49.1113 1.62986 16.1888 1.37272 8.56585 0.165686 8.16872 11.7664 2.71135 0.147149 0.172252
5000.00 1538.15 99.394882 49.0947 1.63934 16.2703 1.37532 8.58555 0.166924 8.09757 11.7189 2.72968 0.148248 0.17354
5000.00 1533.15 96.150913 49.0294 1.68097 16.6306 1.38006 8.67514 0.172556 7.78534 11.5008 2.81251 0.15325 0.179395
5000.00 1528.15 93.044519 48.979 1.72092 16.9819 1.38351 8.75664 0.178317 7.4833 11.2764 2.89637 0.158366 0.185384
5000.00 1523.15 90.064479 48.9437 1.75901 17.3242 1.38563 8.82901 0.184217 7.19029 11.0474 2.98134 0.163606 0.191518
5000.00 1518.15 81.875777 48.7939 1.90629 17.1731 1.44617 9.32091 0.202641 7.02022 10.648 3.0996 0.178426 0.210672
5000.00 1513.15 73.948442 48.5774 2.07756 16.9691 1.51402 9.85251 0.224364 6.83666 10.3089 3.21096 0.1953 0.233257
5000.00 1508.15 66.595082 48.2946 2.26838 16.7304 1.58669 10.4079 0.249138 6.64744 10.0319 3.31076 0.213761 0.259013
5000.00 1503.15 59.865541 47.9454 2.47629 16.4569 1.66414 10.9878 0.277144 6.45997 9.81387 3.39671 0.233605 0.288128
5000.00 1498.15 53.816624 47.5364 2.69517 16.161 1.74485 11.5905 0.308295 6.28397 9.63806 3.46693 0.254396 0.320514
5000.00 1493.15 48.470521 47.0738 2.92027 15.8634 1.82598 12.2105 0.342299 6.13185 9.48111 3.51933 0.275563 0.355865
5000.00 1488.15 43.702764 46.5558 3.15116 15.5622 1.9079 12.8527 0.379642 6.00259 9.34218 3.55413 0.296972 0.394688
5000.00 1483.15 39.418307 45.9803 3.387 15.2551 1.99096 13.5223 0.420906 5.89546 9.22048 3.57147 0.318427 0.437588
5000.00 1478.15 35.543480 45.3459 3.62633 14.9395 2.07546 14.2244 0.466791 5.80993 9.11528 3.57153 0.339639 0.485292
5000.00 1473.15 32.019709 44.6514 3.86699 14.6122 2.16171 14.9647 0.518162 5.74562 9.0258 3.55459 0.360215 0.538698
5000.00 1468.15 28.802907 43.8979 4.10542 14.2705 2.24982 15.7475 0.576032 5.70205 8.95098 3.52133 0.379618 0.598862
5000.00 1463.15 25.860118 43.0899 4.33621 13.9125 2.33967 16.5752 0.641582 5.67825 8.88921 3.47328 0.397169 0.66701
5000.00 1458.15 23.167281 42.2379 4.55137 13.5382 2.43071 17.4454 0.716156 5.67226 8.83807 3.41331 0.412097 0.74454
5000.00 1453.15 20.707232 41.3597 4.73999 13.1507 2.5219 18.3488 0.801237 5.68063 8.79428 3.34612 0.423656 0.832992
5000.00 1448.15 18.467155 40.4803 4.8888 12.7566 2.61175 19.2681 0.898427 5.69847 8.75414 3.27817 0.431291 0.934035
5000.00 1443.15 16.321624 39.7091 4.98074 12.4081 2.69533 20.2304 1.01653 5.69987 8.61665 3.2367 0.436436 0.97022
5000.00 1438.15 14.338353 39.0364 4.99875 12.0976 2.77202 21.1894 1.15713 5.68892 8.42232 3.22136 0.438162 0.977931
5000.00 1433.15 12.558200 38.4446 4.94074 11.818 2.84203 22.1112 1.32116 5.67179 8.20328 3.22905 0.435904 0.982236
5000.00 1428.15 10.168490 37.8152 4.9914 11.357 2.92505 23.2572 1.41823 5.60853 8.0603 3.1483 0.42958 0.989238
5000.00 1423.15 7.235107 37.1952 5.077 10.7734 3.01804 24.6073 1.44701 5.49911 7.94542 3.02778 0.418121 0.991649
5000.00 1418.15 4.136812 36.7083 4.99777 10.1897 3.11692 26.086 1.4384 5.35691 7.75234 2.97939 0.399182 0.975053
5000.00 1413.15 1.073789 36.3197 4.7821 9.63049 3.22067 27.683 1.35852 5.20324 7.47285 3.01793 0.372219 0.939304
