Title: Gale2013MORB-9

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 whitlockite 
5000.00 1573.15 100.136775 100.136775 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.136919 100.136919 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.137069 100.137069 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.137223 100.137223 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.137383 100.137383 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.137548 100.137548 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.137719 100.137719 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.137862 99.394882 0.000000 0.742980 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.138029 96.150913 0.000000 3.987116 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.138411 93.044519 0.000000 7.093892 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.138994 90.064479 0.000000 10.074515 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.138553 81.875777 0.000000 14.175522 0.000000 0.000000 4.087254 0.000000 
5000.00 1513.15 100.137849 73.948442 0.000000 17.969700 0.000000 0.000000 8.219707 0.000000 
5000.00 1508.15 100.137082 66.595082 0.000000 21.388622 0.000000 0.000000 12.153378 0.000000 
5000.00 1503.15 100.136441 59.865541 0.000000 23.484641 0.956494 0.000000 15.829765 0.000000 
5000.00 1498.15 100.136078 53.816624 0.000000 23.934028 3.218921 0.000000 19.166505 0.000000 
5000.00 1493.15 100.135971 48.470521 0.000000 24.337930 5.223403 0.000000 22.104117 0.000000 
5000.00 1488.15 100.136118 43.702764 0.000000 24.716082 7.011149 0.000000 24.706123 0.000000 
5000.00 1483.15 100.136524 39.418307 0.000000 25.080526 8.617098 0.000000 27.020593 0.000000 
5000.00 1478.15 100.137197 35.543480 0.000000 25.438350 10.071223 0.000000 29.084144 0.000000 
5000.00 1473.15 100.138150 32.019709 0.000000 25.793519 11.399724 0.000000 30.925198 0.000000 
5000.00 1468.15 100.139399 28.802907 0.000000 26.148415 12.624774 0.000000 32.563303 0.000000 
5000.00 1463.15 100.140964 25.860118 0.000000 26.504476 13.765660 0.000000 34.010710 0.000000 
5000.00 1458.15 100.142870 23.167281 0.000000 26.862526 14.839552 0.000000 35.273511 0.000000 
5000.00 1453.15 100.145138 20.707232 0.000000 27.222763 15.861751 0.000000 36.353392 0.000000 
5000.00 1448.15 100.147781 18.467155 0.000000 27.584470 16.844854 0.000000 37.251302 0.000000 
5000.00 1443.15 100.150852 16.321624 0.000000 27.969183 17.866451 0.000000 37.962706 0.030886 
5000.00 1438.15 100.154307 14.338353 0.000000 28.357310 18.888506 0.000000 38.499620 0.070519 
5000.00 1433.15 100.158019 12.558200 0.000000 28.737522 19.867619 0.000000 38.887297 0.107379 
5000.00 1428.15 100.159897 10.168490 0.653924 29.199775 20.252822 0.000000 39.727769 0.157117 
5000.00 1423.15 100.160830 7.235107 1.769549 29.726831 20.428142 0.000000 40.781053 0.220147 
5000.00 1418.15 100.161428 4.136812 2.990578 28.555723 20.604445 1.900138 41.684945 0.288787 
5000.00 1413.15 100.162395 1.073789 4.305694 26.997899 20.678400 4.316786 42.434938 0.354890 
