Title: Gale2013MORB-9

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 whitlockite 
5000.00 1573.15 100.136775 36.420688 36.420688 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.136919 36.408113 36.408113 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.137069 36.395541 36.395541 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.137223 36.382972 36.382972 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.137383 36.370408 36.370408 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.137548 36.357847 36.357847 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.137719 36.345290 36.345290 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.137862 36.297030 36.066316 0.000000 0.230714 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.138029 36.128665 34.892220 0.000000 1.236444 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.138411 35.967117 33.770205 0.000000 2.196912 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.138994 35.811894 32.696178 0.000000 3.115716 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.138553 35.565483 29.656596 0.000000 4.376987 0.000000 0.000000 1.531900 0.000000 
5000.00 1513.15 100.137849 35.334396 26.711553 0.000000 5.538811 0.000000 0.000000 3.084032 0.000000 
5000.00 1508.15 100.137082 35.123739 23.978546 0.000000 6.580606 0.000000 0.000000 4.564587 0.000000 
5000.00 1503.15 100.136441 34.933555 21.476662 0.000000 7.212863 0.292974 0.000000 5.951057 0.000000 
5000.00 1498.15 100.136078 34.763044 19.227837 0.000000 7.339143 0.984121 0.000000 7.211942 0.000000 
5000.00 1493.15 100.135971 34.610316 17.240746 0.000000 7.451162 1.594026 0.000000 8.324381 0.000000 
5000.00 1488.15 100.136118 34.472078 15.469591 0.000000 7.554963 2.135728 0.000000 9.311797 0.000000 
5000.00 1483.15 100.136524 34.345818 13.879467 0.000000 7.654195 2.620255 0.000000 10.191901 0.000000 
5000.00 1478.15 100.137197 34.229580 12.443394 0.000000 7.750969 3.057045 0.000000 10.978171 0.000000 
5000.00 1473.15 100.138150 34.121803 11.140005 0.000000 7.846421 3.454320 0.000000 11.681057 0.000000 
5000.00 1468.15 100.139399 34.021279 9.953370 0.000000 7.941195 3.819023 0.000000 12.307692 0.000000 
5000.00 1463.15 100.140964 33.927066 8.871781 0.000000 8.035634 4.157176 0.000000 12.862474 0.000000 
5000.00 1458.15 100.142870 33.838426 7.886927 0.000000 8.129897 4.474119 0.000000 13.347483 0.000000 
5000.00 1453.15 100.145138 33.754797 6.993106 0.000000 8.223960 4.774589 0.000000 13.763141 0.000000 
5000.00 1448.15 100.147781 33.675779 6.186101 0.000000 8.317578 5.062485 0.000000 14.109614 0.000000 
5000.00 1443.15 100.150852 33.596284 5.424204 0.000000 8.416360 5.360830 0.000000 14.385169 0.009720 
5000.00 1438.15 100.154307 33.519451 4.729563 0.000000 8.515043 5.658446 0.000000 14.594204 0.022193 
5000.00 1433.15 100.158019 33.447563 4.113782 0.000000 8.611126 5.942680 0.000000 14.746181 0.033794 
5000.00 1428.15 100.159897 33.379741 3.302731 0.185306 8.725802 6.044755 0.000000 15.071698 0.049447 
5000.00 1423.15 100.160830 33.307718 2.327742 0.498167 8.852888 6.080282 0.000000 15.479355 0.069284 
5000.00 1418.15 100.161428 33.227456 1.319075 0.835985 8.483991 6.114765 0.551767 15.830986 0.090886 
5000.00 1413.15 100.162395 33.146379 0.339549 1.195482 8.005079 6.118171 1.251873 16.124535 0.111690 
