Title: Gale2013MORB-9

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.136775 1.0000000000000000 1.000000 276.038752 -1192973.703089 36.420688 -179.638522 2538.965074 150.871610 -7.247 0.000 2.749448 0.000000 1.890 0 0.000
5000.00 1568.15 100.136919 1.0000000000000000 1.000000 275.558786 -1193730.111903 36.408113 -179.703985 2539.024519 150.872349 -7.296 0.000 2.750401 0.000000 1.910 0 0.000
5000.00 1563.15 100.137069 1.0000000000000000 1.000000 275.077293 -1194486.601724 36.395541 -179.769596 2539.086096 150.873115 -7.346 0.000 2.751355 0.000000 1.929 0 0.000
5000.00 1558.15 100.137223 1.0000000000000000 1.000000 274.594263 -1195243.174030 36.382972 -179.835358 2539.149835 150.873907 -7.396 0.000 2.752310 0.000000 1.949 0 0.000
5000.00 1553.15 100.137383 1.0000000000000000 1.000000 274.109686 -1195999.830332 36.370408 -179.901277 2539.215768 150.874727 -7.447 0.000 2.753265 0.000000 1.969 0 0.000
5000.00 1548.15 100.137548 1.0000000000000000 1.000000 273.623551 -1196756.572170 36.357847 -179.967357 2539.283928 150.875575 -7.498 0.000 2.754221 0.000000 1.989 0 0.000
5000.00 1543.15 100.137719 1.0000000000000000 1.000000 273.135848 -1197513.401116 36.345290 -180.033604 2539.354348 150.876451 -7.549 0.000 2.755177 0.000000 2.009 0 0.000
5000.00 1538.15 100.137862 0.9925804310206546 0.993644 272.435078 -1198595.130931 36.297030 -179.303946 2531.739105 150.596264 -7.600 0.000 2.755892 3.220356 2.034 0 0.000
5000.00 1533.15 100.138029 0.9601837982768279 0.965777 271.023386 -1200765.958740 36.128665 -175.893045 2497.824211 149.370912 -7.652 0.000 2.755655 3.224662 2.076 0 0.000
5000.00 1528.15 100.138411 0.9291591322386693 0.938919 269.654151 -1202868.636734 35.967117 -172.624890 2464.634837 148.199447 -7.704 0.000 2.755225 3.229029 2.120 0 0.000
5000.00 1523.15 100.138994 0.8993946842712736 0.912998 268.324667 -1204907.443713 35.811894 -169.485424 2432.055393 147.077732 -7.757 0.000 2.754587 3.233451 2.164 0 0.000
5000.00 1518.15 100.138553 0.8176249294704802 0.833859 265.818096 -1208710.981872 35.565483 -158.103185 2325.859344 144.468677 -7.810 0.000 2.760795 3.090731 2.168 0 0.000
5000.00 1513.15 100.137849 0.7384664521521863 0.755965 263.426304 -1212323.398456 35.334396 -146.805857 2221.679340 141.985022 -7.863 0.000 2.768407 3.037212 2.162 0 0.000
5000.00 1508.15 100.137082 0.6650391659581663 0.682688 261.208118 -1215660.495813 35.123739 -136.116479 2124.160118 139.711744 -7.917 0.000 2.777278 3.009549 2.148 0 0.000
5000.00 1503.15 100.136441 0.5978397154126204 0.614786 259.159906 -1218732.840556 34.933555 -126.158158 2034.122803 137.654600 -7.970 0.000 2.787470 2.992585 2.126 0 0.000
5000.00 1498.15 100.136078 0.5374349055373801 0.553111 257.280297 -1221547.011897 34.763044 -117.082105 1952.573839 135.819186 -8.025 0.000 2.798891 2.981580 2.095 0 0.000
