Title: Gale2013MORB-5

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 0.000000 ---
5000.00 1568.15 0.000000 ---
5000.00 1563.15 0.000000 ---
5000.00 1558.15 0.000000 ---
5000.00 1553.15 0.000000 ---
5000.00 1548.15 0.000000 ---
5000.00 1543.15 0.000000 ---
5000.00 1538.15 2.313110 51.746 0.30015 4.60152 1.14919 6.30353 0 17.9659 17.6832 0.250463 0 0
5000.00 1533.15 5.282159 51.5225 0.330927 4.82221 1.20284 6.39343 0 17.6628 17.8022 0.263063 0 0
5000.00 1528.15 8.119893 51.3032 0.362862 5.03991 1.25559 6.49961 0 17.3845 17.8786 0.275666 0 0
5000.00 1523.15 10.835894 51.0865 0.396094 5.25541 1.30771 6.61711 0 17.1231 17.9257 0.288375 0 0
5000.00 1518.15 13.439246 50.8716 0.43068 5.46901 1.35932 6.7431 0 16.8739 17.9511 0.301246 0 0
5000.00 1513.15 18.982234 50.8344 0.401539 8.72775 1.21748 6.22221 0 14.7585 17.0997 0.734562 0.00386055 0
5000.00 1508.15 26.225199 50.9696 0.367855 11.5329 1.07591 5.82745 0 12.9365 16.1093 1.17209 0.00841151 0
5000.00 1503.15 32.977763 51.1218 0.355847 13.0273 1.00442 5.71765 0 11.9107 15.3892 1.4609 0.0121409 0
5000.00 1498.15 39.195650 51.2712 0.354932 13.9281 0.966172 5.7246 0 11.2323 14.8279 1.67924 0.0156654 0
5000.00 1493.15 44.876345 51.4113 0.360977 14.5083 0.946772 5.78603 0 10.7351 14.3756 1.8567 0.0192188 0
5000.00 1488.15 50.109397 51.5381 0.3741 14.9073 0.939801 5.87855 0 10.3451 13.9859 2.00822 0.0229655 0
5000.00 1483.15 54.892377 51.6506 0.392562 15.1803 0.94168 5.98647 0 10.0239 13.6575 2.14 0.0269388 0
5000.00 1478.15 59.263122 51.7511 0.414466 15.3655 0.94942 6.10298 0 9.74951 13.379 2.25678 0.0311793 0
5000.00 1473.15 63.284908 51.8407 0.439333 15.4907 0.961274 6.2256 0 9.50874 13.1359 2.36196 0.0357492 0
5000.00 1468.15 67.007412 51.9201 0.466844 15.5734 0.976084 6.35276 0 9.29339 12.9191 2.45766 0.0407065 0
5000.00 1463.15 70.470733 51.99 0.496711 15.625 0.992974 6.48336 0 9.09797 12.7226 2.54531 0.0461122 0
5000.00 1458.15 73.708022 52.0513 0.528574 15.6535 1.01117 6.61649 0 8.9186 12.5424 2.62594 0.0520381 0
5000.00 1453.15 76.747132 52.1054 0.56189 15.6651 1.02988 6.75129 0 8.75236 12.3751 2.70033 0.0585758 0
