Title: Gale2013MORB-1

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 0.000000 ---
5000.00 1568.15 0.000000 ---
5000.00 1563.15 0.000000 ---
5000.00 1558.15 0.000000 ---
5000.00 1553.15 0.000000 ---
5000.00 1548.15 0.000000 ---
5000.00 1543.15 0.000000 ---
5000.00 1538.15 0.000000 ---
5000.00 1533.15 2.821842 51.5099 0.31233 4.66679 1.23548 6.46093 0 17.2507 18.3018 0.262046 0 0
5000.00 1528.15 5.620784 51.2996 0.341503 4.87179 1.289 6.5845 0 16.9872 18.3522 0.274171 0 0
5000.00 1523.15 8.296653 51.0906 0.371969 5.07543 1.34224 6.71639 0 16.7352 18.3817 0.286468 0 0
5000.00 1518.15 10.859494 50.8825 0.403757 5.27778 1.39523 6.85494 0 16.4919 18.3949 0.298969 0 0
5000.00 1513.15 13.652738 50.6983 0.427572 5.95708 1.41772 6.88803 0 15.9652 18.2692 0.376324 0.000543667 0
5000.00 1508.15 20.516998 50.8442 0.370857 10.2239 1.18936 6.10592 0 13.2736 16.9954 0.990693 0.00601524 0
5000.00 1503.15 26.976741 51.0098 0.348396 12.2412 1.08366 5.85823 0 11.9489 16.1556 1.34438 0.00979566 0
5000.00 1498.15 33.030489 51.1741 0.339762 13.3961 1.02632 5.81072 0 11.1364 15.5079 1.59558 0.0130865 0
5000.00 1493.15 38.665955 51.3297 0.33877 14.1225 0.994068 5.85605 0 10.5696 14.9799 1.79307 0.0162609 0
5000.00 1488.15 43.883461 51.4735 0.342833 14.6027 0.976939 5.94925 0 10.1391 14.539 1.95715 0.0194717 0
5000.00 1483.15 48.701326 51.605 0.350577 14.9281 0.969718 6.06901 0 9.79224 14.1645 2.09807 0.0227952 0
5000.00 1478.15 53.156560 51.7239 0.361425 15.1514 0.969384 6.20524 0 9.50097 13.8396 2.22177 0.0262815 0
5000.00 1473.15 57.336005 51.8264 0.3779 15.3098 0.975206 6.35772 0 9.24948 13.5415 2.33197 0.0300062 0
5000.00 1468.15 61.202195 51.9168 0.396835 15.412 0.984896 6.51585 0 9.02669 13.2826 2.43046 0.0339325 0
5000.00 1463.15 64.794131 51.996 0.417948 15.4735 0.997272 6.67859 0 8.82615 13.0534 2.51917 0.0380824 0
5000.00 1458.15 68.142543 52.0647 0.441018 15.5048 1.01142 6.84509 0 8.64362 12.8475 2.59936 0.0424712 0
5000.00 1453.15 71.271060 52.1236 0.465822 15.5135 1.02656 7.01451 0 8.47621 12.6608 2.67187 0.0471084 0
