Title: Gale2013MORB-4

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.129935 51.2441 1.58657 15.631 1.2952 8.36672 0.173643 7.94368 10.8061 2.63328 0.158966 0.160698
5000.00 1568.15 100.130072 51.244 1.58657 15.631 1.29657 8.36548 0.173642 7.94367 10.8061 2.63327 0.158965 0.160697
5000.00 1563.15 100.130215 51.244 1.58657 15.631 1.29798 8.36419 0.173642 7.94365 10.8061 2.63327 0.158965 0.160697
5000.00 1558.15 100.130362 51.2439 1.58657 15.6309 1.29945 8.36285 0.173642 7.94364 10.8061 2.63327 0.158965 0.160697
5000.00 1553.15 100.130514 51.2438 1.58657 15.6309 1.30096 8.36147 0.173642 7.94363 10.8061 2.63326 0.158965 0.160697
5000.00 1548.15 100.130672 51.2437 1.58656 15.6309 1.30253 8.36005 0.173641 7.94362 10.8061 2.63326 0.158965 0.160696
5000.00 1543.15 100.130497 51.2438 1.58657 15.6309 1.30079 8.36163 0.173642 7.94363 10.8061 2.63326 0.158965 0.160697
5000.00 1538.15 100.130282 51.2439 1.58657 15.6309 1.29865 8.36358 0.173642 7.94365 10.8061 2.63327 0.158965 0.160697
5000.00 1533.15 100.129324 51.2444 1.58658 15.6311 1.28911 8.37225 0.173644 7.94372 10.8062 2.63329 0.158967 0.160699
5000.00 1528.15 100.128784 51.2447 1.58659 15.6312 1.28374 8.37714 0.173645 7.94377 10.8063 2.63331 0.158968 0.160699
5000.00 1523.15 100.128575 51.2448 1.5866 15.6312 1.28166 8.37903 0.173645 7.94378 10.8063 2.63331 0.158968 0.1607
5000.00 1518.15 100.128578 51.2448 1.5866 15.6312 1.28169 8.379 0.173645 7.94378 10.8063 2.63331 0.158968 0.1607
5000.00 1513.15 100.126583 51.2458 1.58663 15.6315 1.26182 8.39707 0.173648 7.94394 10.8065 2.63336 0.158971 0.160703
5000.00 1508.15 100.124447 51.2469 1.58666 15.6319 1.24056 8.4164 0.173652 7.94411 10.8067 2.63342 0.158974 0.160706
5000.00 1503.15 100.122491 51.2479 1.58669 15.6322 1.22109 8.43411 0.173655 7.94427 10.8069 2.63347 0.158978 0.160709
5000.00 1498.15 100.120688 51.2488 1.58672 15.6324 1.20314 8.45044 0.173659 7.94441 10.8071 2.63352 0.15898 0.160712
5000.00 1493.15 100.119020 51.2497 1.58675 15.6327 1.18653 8.46554 0.173661 7.94454 10.8073 2.63356 0.158983 0.160715
5000.00 1488.15 100.117470 51.2505 1.58677 15.6329 1.17109 8.47958 0.173664 7.94467 10.8075 2.6336 0.158985 0.160718
5000.00 1483.15 100.116023 51.2512 1.58679 15.6332 1.15668 8.49268 0.173667 7.94478 10.8076 2.63364 0.158988 0.16072
5000.00 1478.15 100.114664 51.2519 1.58682 15.6334 1.14315 8.50499 0.173669 7.94489 10.8078 2.63368 0.15899 0.160722
5000.00 1473.15 100.113376 51.2526 1.58684 15.6336 1.13032 8.51665 0.173671 7.94499 10.8079 2.63371 0.158992 0.160724
5000.00 1468.15 100.112140 51.2532 1.58686 15.6338 1.11801 8.52785 0.173673 7.94509 10.8081 2.63374 0.158994 0.160726
5000.00 1463.15 100.110933 51.2538 1.58688 15.634 1.10599 8.53878 0.173676 7.94518 10.8082 2.63378 0.158996 0.160728
5000.00 1458.15 100.109727 51.2545 1.58689 15.6342 1.09398 8.5497 0.173678 7.94528 10.8083 2.63381 0.158998 0.16073
5000.00 1453.15 100.108490 51.2551 1.58691 15.6343 1.08166 8.5609 0.17368 7.94538 10.8085 2.63384 0.159 0.160732
5000.00 1448.15 100.107186 51.2558 1.58693 15.6346 1.06867 8.57271 0.173682 7.94548 10.8086 2.63387 0.159002 0.160734
5000.00 1443.15 100.105781 51.2565 1.58696 15.6348 1.05468 8.58544 0.173684 7.94559 10.8087 2.63391 0.159004 0.160736
5000.00 1438.15 100.104256 51.2573 1.58698 15.635 1.03949 8.59925 0.173687 7.94571 10.8089 2.63395 0.159006 0.160739
5000.00 1433.15 100.102616 51.2581 1.58701 15.6353 1.02316 8.61411 0.17369 7.94584 10.8091 2.634 0.159009 0.160741
5000.00 1428.15 100.100858 51.259 1.58704 15.6355 1.00565 8.63003 0.173693 7.94598 10.8093 2.63404 0.159012 0.160744
