Title: Gale2013MORB-4

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.129935 1.0000000000000000 1.000000 275.770253 -1198079.289018 36.697101 -185.854265 2485.566651 150.209250 -7.247 0.000 2.728552 0.000000 2.100 0 0.000
5000.00 1568.15 100.130072 1.0000000000000000 1.000000 275.292375 -1198832.295175 36.684787 -185.968551 2485.623310 150.209955 -7.296 0.000 2.729471 0.000000 2.121 0 0.000
5000.00 1563.15 100.130215 1.0000000000000000 1.000000 274.812976 -1199585.378748 36.672476 -186.082978 2485.682000 150.210684 -7.346 0.000 2.730391 0.000000 2.141 0 0.000
5000.00 1558.15 100.130362 1.0000000000000000 1.000000 274.332047 -1200338.541150 36.660169 -186.197549 2485.742751 150.211440 -7.396 0.000 2.731312 0.000000 2.162 0 0.000
5000.00 1553.15 100.130514 1.0000000000000000 1.000000 273.849576 -1201091.783824 36.647866 -186.312270 2485.805594 150.212222 -7.447 0.000 2.732233 0.000000 2.183 0 0.000
5000.00 1548.15 100.130672 1.0000000000000000 1.000000 273.365554 -1201845.108245 36.635566 -186.427145 2485.870560 150.213030 -7.498 0.000 2.733155 0.000000 2.204 0 0.000
5000.00 1543.15 100.130497 0.9923356791696520 0.993488 272.687899 -1202889.239117 36.588205 -185.629001 2476.682104 149.930724 -7.549 0.000 2.733514 3.220814 2.235 0 0.000
5000.00 1538.15 100.130282 0.9843827811748384 0.986724 272.002781 -1203940.776005 36.539636 -184.797545 2467.149579 149.638080 -7.600 0.000 2.733817 3.223599 2.267 0 0.000
5000.00 1533.15 100.129324 0.9609424252812084 0.966796 270.940423 -1205556.024047 36.423696 -182.237011 2440.210189 148.788518 -7.652 0.000 2.732372 3.233619 2.316 0 0.000
5000.00 1528.15 100.128784 0.9427148494662290 0.951227 269.981373 -1207014.069653 36.327461 -180.304207 2419.765765 148.118972 -7.704 0.000 2.731619 3.237314 2.359 0 0.000
5000.00 1523.15 100.128575 0.9169888927129101 0.929104 268.775962 -1208849.161850 36.192626 -177.646192 2392.411517 147.157342 -7.757 0.000 2.730471 3.239315 2.410 0 0.000
