Title: Gale2013MORB-8

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.157650 49.4261 1.59629 14.6753 1.57103 10.1631 0.175421 8.18202 11.1382 2.74842 0.149164 0.174873
5000.00 1568.15 100.157816 49.426 1.59629 14.6753 1.57268 10.1616 0.175421 8.18201 11.1382 2.74841 0.149164 0.174873
5000.00 1563.15 100.157989 49.426 1.59629 14.6753 1.5744 10.16 0.17542 8.18199 11.1382 2.74841 0.149164 0.174872
5000.00 1558.15 100.158168 49.4259 1.59629 14.6753 1.57618 10.1584 0.17542 8.18198 11.1382 2.7484 0.149163 0.174872
5000.00 1553.15 100.158353 49.4258 1.59628 14.6752 1.57802 10.1567 0.17542 8.18196 11.1382 2.7484 0.149163 0.174872
5000.00 1548.15 100.158544 49.4257 1.59628 14.6752 1.57992 10.155 0.175419 8.18195 11.1381 2.74839 0.149163 0.174871
5000.00 1543.15 100.158741 49.4256 1.59628 14.6752 1.58189 10.1532 0.175419 8.18193 11.1381 2.74839 0.149163 0.174871
5000.00 1538.15 100.158945 49.4255 1.59627 14.6751 1.58392 10.1514 0.175419 8.18191 11.1381 2.74838 0.149162 0.174871
5000.00 1533.15 100.158106 49.4259 1.59629 14.6753 1.57557 10.159 0.17542 8.18198 11.1382 2.7484 0.149164 0.174872
5000.00 1528.15 100.157995 49.426 1.59629 14.6753 1.57446 10.16 0.17542 8.18199 11.1382 2.74841 0.149164 0.174872
5000.00 1523.15 100.158100 49.4259 1.59629 14.6753 1.57551 10.159 0.17542 8.18198 11.1382 2.7484 0.149164 0.174872
5000.00 1518.15 100.158409 49.4257 1.59628 14.6752 1.57858 10.1562 0.17542 8.18196 11.1382 2.74839 0.149163 0.174872
5000.00 1513.15 100.158912 49.4255 1.59627 14.6751 1.58358 10.1517 0.175419 8.18192 11.1381 2.74838 0.149162 0.174871
5000.00 1508.15 100.158404 49.4258 1.59628 14.6752 1.57853 10.1563 0.17542 8.18196 11.1382 2.74839 0.149163 0.174872
5000.00 1503.15 100.157142 49.4264 1.5963 14.6754 1.56598 10.1677 0.175422 8.18206 11.1383 2.74843 0.149165 0.174874
5000.00 1498.15 100.156050 49.4269 1.59632 14.6756 1.55511 10.1776 0.175424 8.18215 11.1384 2.74846 0.149167 0.174876
5000.00 1493.15 100.155171 49.4273 1.59633 14.6757 1.54636 10.1856 0.175425 8.18222 11.1385 2.74848 0.149168 0.174877
5000.00 1488.15 100.154495 49.4277 1.59634 14.6758 1.53964 10.1917 0.175427 8.18228 11.1386 2.7485 0.149169 0.174879
5000.00 1483.15 100.154021 49.4279 1.59635 14.6759 1.53492 10.196 0.175427 8.18232 11.1386 2.74852 0.14917 0.174879
5000.00 1478.15 100.153747 49.428 1.59636 14.6759 1.5322 10.1985 0.175428 8.18234 11.1387 2.74852 0.14917 0.17488
5000.00 1473.15 100.153676 49.4281 1.59636 14.6759 1.53149 10.1991 0.175428 8.18234 11.1387 2.74852 0.14917 0.17488
5000.00 1468.15 100.153811 49.428 1.59636 14.6759 1.53283 10.1979 0.175428 8.18233 11.1387 2.74852 0.14917 0.17488
5000.00 1463.15 100.154160 49.4278 1.59635 14.6758 1.53631 10.1947 0.175427 8.1823 11.1386 2.74851 0.149169 0.174879
5000.00 1458.15 100.154735 49.4276 1.59634 14.6758 1.54202 10.1895 0.175426 8.18226 11.1386 2.7485 0.149169 0.174878
5000.00 1453.15 100.155555 49.4272 1.59633 14.6756 1.55018 10.1821 0.175425 8.18219 11.1385 2.74847 0.149167 0.174877
5000.00 1448.15 100.156664 49.4266 1.59631 14.6755 1.56122 10.172 0.175423 8.1821 11.1383 2.74844 0.149166 0.174875
5000.00 1443.15 100.158142 49.4259 1.59629 14.6753 1.57592 10.1586 0.17542 8.18198 11.1382 2.7484 0.149164 0.174872
5000.00 1438.15 100.160095 49.4249 1.59626 14.675 1.59535 10.1409 0.175417 8.18182 11.138 2.74835 0.149161 0.174869
5000.00 1433.15 100.162632 49.4237 1.59621 14.6746 1.6206 10.1179 0.175412 8.18161 11.1377 2.74828 0.149157 0.174864
5000.00 1428.15 100.165749 49.4221 1.59617 14.6741 1.65161 10.0897 0.175407 8.18136 11.1373 2.74819 0.149152 0.174859
5000.00 1423.15 100.169332 49.4204 1.59611 14.6736 1.68725 10.0572 0.175401 8.18106 11.1369 2.7481 0.149147 0.174853
5000.00 1418.15 100.173214 49.4184 1.59605 14.673 1.72586 10.022 0.175394 8.18075 11.1365 2.74799 0.149141 0.174846
5000.00 1413.15 100.177213 49.4165 1.59598 14.6725 1.76564 9.98572 0.175387 8.18042 11.1361 2.74788 0.149135 0.174839
5000.00 1408.15 100.178987 49.4156 1.59595 14.6722 1.78328 9.96964 0.175384 8.18028 11.1359 2.74783 0.149132 0.174836
5000.00 1403.15 100.209354 49.4006 1.59547 14.6678 2.0852 9.69446 0.175331 8.1778 11.1325 2.747 0.149087 0.174783
