Title: Gale2013MORB-8

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1573.15 100.157650 100.157650 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.157816 100.157816 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.157989 100.157989 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.158168 100.158168 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.158353 100.158353 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.158544 100.158544 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.158741 100.158741 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.158945 100.158945 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.158106 95.640855 0.000000 4.517251 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.157995 92.729855 0.000000 7.428139 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.158100 89.906209 0.000000 10.251891 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.158409 87.175370 0.000000 12.983039 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.158912 84.534902 0.000000 15.624010 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.158404 78.767694 0.000000 18.865184 0.000000 0.000000 2.525526 0.000000 0.000000 
5000.00 1503.15 100.157142 71.429343 0.000000 22.229476 0.000000 0.000000 6.498323 0.000000 0.000000 
5000.00 1498.15 100.156050 64.681054 0.000000 22.705791 2.536358 0.000000 10.232847 0.000000 0.000000 
5000.00 1493.15 100.155171 58.670742 0.000000 22.934949 4.985628 0.000000 13.563852 0.000000 0.000000 
5000.00 1488.15 100.154495 53.278795 0.000000 23.175277 7.152399 0.000000 16.548024 0.000000 0.000000 
5000.00 1483.15 100.154021 48.401625 0.000000 23.437047 9.076595 0.000000 19.238754 0.000000 0.000000 
5000.00 1478.15 100.153747 43.958273 0.000000 23.723334 10.794073 0.000000 21.678068 0.000000 0.000000 
5000.00 1473.15 100.153676 39.883118 0.000000 24.032998 12.336877 0.000000 23.900684 0.000000 0.000000 
5000.00 1468.15 100.153811 36.125191 0.000000 24.363261 13.731824 0.000000 25.933535 0.000000 0.000000 
5000.00 1463.15 100.154160 32.644543 0.000000 24.710797 15.001234 0.000000 27.797586 0.000000 0.000000 
5000.00 1458.15 100.154735 29.410777 0.000000 25.072566 16.163384 0.000000 29.508008 0.000000 0.000000 
5000.00 1453.15 100.155555 26.403962 0.000000 25.446531 17.233027 0.000000 31.072035 0.000000 0.000000 
5000.00 1448.15 100.156664 23.617873 0.000000 25.832159 18.222813 0.000000 32.483819 0.000000 0.000000 
5000.00 1443.15 100.158142 21.063426 0.000000 26.230098 19.146608 0.000000 33.718009 0.000000 0.000000 
5000.00 1438.15 100.160095 18.761883 0.000000 26.639845 20.023887 0.000000 34.734480 0.000000 0.000000 
5000.00 1433.15 100.162632 16.609216 0.000000 27.080274 20.945069 0.000000 35.494947 0.000000 0.033126 
5000.00 1428.15 100.165749 14.679270 0.000000 27.519827 21.876531 0.000000 36.023072 0.000000 0.067050 
5000.00 1423.15 100.169332 12.937652 0.000000 27.950477 22.814443 0.000000 36.366640 0.000000 0.100120 
5000.00 1418.15 100.173214 11.364671 0.000000 28.367665 23.736118 0.000000 36.572970 0.000000 0.131790 
5000.00 1413.15 100.177213 9.962994 0.000000 28.768364 24.605088 0.000000 36.679713 0.000000 0.161055 
5000.00 1408.15 100.178987 7.245636 0.975779 29.395715 25.005659 0.000000 37.334500 0.000000 0.221699 
5000.00 1403.15 100.209354 0.000000 2.048482 32.558796 19.202980 0.000000 41.856168 4.160185 0.382742 
5000.00 1398.15 100.208680 0.000000 2.062432 32.462238 19.332137 0.000000 41.828354 4.140779 0.382742 
5000.00 1393.15 100.208004 0.000000 2.076664 32.370809 19.457639 0.000000 41.799692 4.120459 0.382742 
5000.00 1388.15 100.207325 0.000000 2.091196 32.284156 19.579900 0.000000 41.770146 4.099184 0.382742 
5000.00 1383.15 100.206642 0.000000 2.106050 32.201963 19.699303 0.000000 41.739678 4.076907 0.382742 
5000.00 1378.15 100.205956 0.000000 2.121246 32.123947 19.816193 0.000000 41.708246 4.053581 0.382742 
5000.00 1373.15 100.205266 0.000000 2.136809 32.049859 19.930893 0.000000 41.675810 4.029153 0.382742 
5000.00 1368.15 100.204571 0.000000 2.152764 31.979473 20.043699 0.000000 41.642323 4.003569 0.382742 
5000.00 1363.15 100.203871 0.000000 2.169141 31.912590 20.154888 0.000000 41.607739 3.976771 0.382742 
5000.00 1358.15 100.203165 0.000000 2.185971 31.849029 20.264717 0.000000 41.572011 3.948696 0.382742 
5000.00 1353.15 100.202454 0.000000 2.203289 31.788632 20.373426 0.000000 41.535086 3.919280 0.382742 
5000.00 1348.15 100.201735 0.000000 2.221133 31.731255 20.481243 0.000000 41.496911 3.888452 0.382742 
5000.00 1343.15 100.201008 0.000000 2.239547 31.676772 20.588378 0.000000 41.457431 3.856139 0.382742 
