Title: Gale2013MORB-8

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 feldspar_0 
5000.00 1573.15 100.157650 36.209500 36.209500 0.000000 0.000000 
5000.00 1568.15 100.157816 36.197006 36.197006 0.000000 0.000000 
5000.00 1563.15 100.157989 36.184517 36.184517 0.000000 0.000000 
5000.00 1558.15 100.158168 36.172031 36.172031 0.000000 0.000000 
5000.00 1553.15 100.158353 36.159550 36.159550 0.000000 0.000000 
5000.00 1548.15 100.158544 36.147074 36.147074 0.000000 0.000000 
5000.00 1543.15 100.158741 36.134602 36.134602 0.000000 0.000000 
5000.00 1538.15 100.158945 36.122134 36.122134 0.000000 0.000000 
5000.00 1533.15 100.158106 35.897142 34.499226 1.397916 0.000000 
5000.00 1528.15 100.157995 35.746731 33.450647 2.296084 0.000000 
5000.00 1523.15 100.158100 35.600594 32.435723 3.164871 0.000000 
5000.00 1518.15 100.158409 35.459084 31.456450 4.002634 0.000000 
5000.00 1513.15 100.158912 35.322141 30.511951 4.810190 0.000000 
5000.00 1508.15 100.158404 35.134101 28.387319 5.797871 0.948911 
