Title: Gale2013MORB-8

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.157650 1.0000000000000000 1.000000 275.616926 -1173584.213592 36.209500 -178.232968 2526.335222 149.911899 -7.247 0.000 2.766060 0.000000 1.850 0 0.000
5000.00 1568.15 100.157816 1.0000000000000000 1.000000 275.140066 -1174336.167175 36.197006 -178.278123 2526.403978 149.912754 -7.296 0.000 2.767019 0.000000 1.869 0 0.000
5000.00 1563.15 100.157989 1.0000000000000000 1.000000 274.661690 -1175088.215259 36.184517 -178.323448 2526.475199 149.913640 -7.346 0.000 2.767979 0.000000 1.889 0 0.000
5000.00 1558.15 100.158168 1.0000000000000000 1.000000 274.181787 -1175840.359566 36.172031 -178.368949 2526.548921 149.914557 -7.396 0.000 2.768940 0.000000 1.908 0 0.000
5000.00 1553.15 100.158353 1.0000000000000000 1.000000 273.700348 -1176592.601855 36.159550 -178.414631 2526.625182 149.915505 -7.447 0.000 2.769900 0.000000 1.928 0 0.000
5000.00 1548.15 100.158544 1.0000000000000000 1.000000 273.217362 -1177344.943923 36.147074 -178.460499 2526.704019 149.916486 -7.498 0.000 2.770862 0.000000 1.948 0 0.000
5000.00 1543.15 100.158741 1.0000000000000000 1.000000 272.732820 -1178097.387602 36.134602 -178.506560 2526.785471 149.917499 -7.549 0.000 2.771824 0.000000 1.968 0 0.000
5000.00 1538.15 100.158945 1.0000000000000000 1.000000 272.246711 -1178849.934765 36.122134 -178.552819 2526.869577 149.918545 -7.600 0.000 2.772786 0.000000 1.988 0 0.000
5000.00 1533.15 100.158106 0.9548987997218722 0.961058 270.533637 -1181466.969375 35.897142 -173.659653 2478.744686 148.238700 -7.652 0.000 2.772261 3.231418 2.040 0 0.000
5000.00 1528.15 100.157995 0.9258357820225310 0.935768 269.242171 -1183441.673006 35.746731 -170.557297 2447.663163 147.153437 -7.704 0.000 2.772139 3.235134 2.082 0 0.000
5000.00 1523.15 100.158100 0.8976429191807814 0.911101 267.975900 -1185375.409232 35.600594 -167.549531 2416.990966 146.102453 -7.757 0.000 2.771827 3.239276 2.125 0 0.000
5000.00 1518.15 100.158409 0.8703749465653963 0.887120 266.737687 -1187263.840468 35.459084 -164.638793 2386.750084 145.088203 -7.810 0.000 2.771304 3.243624 2.169 0 0.000
5000.00 1513.15 100.158912 0.8440077926689302 0.863819 265.527534 -1189107.034652 35.322141 -161.820232 2356.901865 144.109981 -7.863 0.000 2.770551 3.248107 2.214 0 0.000
5000.00 1508.15 100.158404 0.7864312004478716 0.807971 263.637449 -1191952.418975 35.134101 -153.892349 2282.558500 142.265513 -7.917 0.000 2.774749 3.170505 2.231 0 0.000
