Title: Gale2013MORB-8

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.146709 50.0722 1.55599 15.039 1.46218 9.1041 0.175958 7.7949 11.58 2.90816 0.13478 0.172788
5000.00 1568.15 100.146864 50.0721 1.55599 15.039 1.46372 9.10271 0.175958 7.79489 11.5799 2.90816 0.13478 0.172788
5000.00 1563.15 100.147024 50.072 1.55598 15.039 1.46531 9.10126 0.175958 7.79487 11.5799 2.90815 0.13478 0.172787
5000.00 1558.15 100.147189 50.0719 1.55598 15.0389 1.46696 9.09976 0.175958 7.79486 11.5799 2.90815 0.134779 0.172787
5000.00 1553.15 100.147360 50.0719 1.55598 15.0389 1.46866 9.09821 0.175957 7.79485 11.5799 2.90814 0.134779 0.172787
5000.00 1548.15 100.147537 50.0718 1.55597 15.0389 1.47042 9.0966 0.175957 7.79483 11.5799 2.90814 0.134779 0.172787
5000.00 1543.15 100.147720 50.0717 1.55597 15.0389 1.47224 9.09495 0.175957 7.79482 11.5798 2.90813 0.134779 0.172786
5000.00 1538.15 98.425034 50.0453 1.57759 15.2183 1.47669 9.14687 0.179036 7.62174 11.467 2.95448 0.137138 0.17581
5000.00 1533.15 95.359585 50.0074 1.61638 15.5423 1.48228 9.23829 0.184792 7.31204 11.253 3.04045 0.141546 0.181462
5000.00 1528.15 92.429309 49.9833 1.65364 15.8575 1.48653 9.32117 0.19065 7.01336 11.0335 3.12711 0.146033 0.187215
5000.00 1523.15 89.623043 49.9731 1.68922 16.1639 1.48943 9.39456 0.19662 6.72464 10.8103 3.21455 0.150606 0.193077
5000.00 1518.15 86.930756 49.9773 1.72295 16.4619 1.49098 9.45762 0.202709 6.44514 10.5843 3.30285 0.15527 0.199057
5000.00 1513.15 81.678248 49.9424 1.8098 16.4814 1.52415 9.74297 0.215745 6.22216 10.2781 3.40696 0.164457 0.211857
5000.00 1508.15 74.534090 49.8282 1.9539 16.2504 1.5876 10.2355 0.236424 6.03453 9.94701 3.51595 0.178297 0.232164
5000.00 1503.15 67.849045 49.6626 2.11286 15.9937 1.6545 10.7449 0.259718 5.84366 9.66688 3.61294 0.193263 0.255039
5000.00 1498.15 61.668268 49.4435 2.28583 15.7164 1.72416 11.2703 0.285749 5.65736 9.43121 3.69577 0.209196 0.2806
5000.00 1493.15 56.005357 49.1698 2.4717 15.4244 1.7959 11.8115 0.314642 5.4821 9.23243 3.76274 0.225899 0.308973
5000.00 1488.15 50.788640 48.8391 2.6703 15.1136 1.87046 12.3727 0.34696 5.3166 9.07252 3.81377 0.243355 0.340709
5000.00 1483.15 45.995050 48.4511 2.87975 14.7882 1.94748 12.9562 0.383121 5.16395 8.9444 3.84819 0.261375 0.376218
5000.00 1478.15 41.621721 48.0022 3.09976 14.4578 2.02574 13.564 0.423376 5.03141 8.83649 3.86391 0.279601 0.415748
5000.00 1473.15 37.603888 47.4846 3.33176 14.1189 2.10587 14.2035 0.468612 4.91926 8.74974 3.85973 0.297839 0.460169
5000.00 1468.15 33.890705 46.8885 3.57744 13.7668 2.18858 14.8843 0.519955 4.82843 8.68573 3.83384 0.315771 0.510587
5000.00 1463.15 30.441396 46.2003 3.839 13.3955 2.27481 15.619 0.578871 4.76077 8.64681 3.78359 0.332902 0.568441
5000.00 1458.15 27.223220 45.4016 4.11947 12.9961 2.36576 16.4248 0.647302 4.71931 8.63634 3.70521 0.348463 0.635639
5000.00 1453.15 24.211578 44.4684 4.42288 12.5568 2.46287 17.3243 0.727819 4.70858 8.65871 3.59366 0.36127 0.714705
5000.00 1448.15 21.393466 43.3739 4.75327 12.063 2.5675 18.3442 0.823693 4.73425 8.71837 3.44331 0.369602 0.808852
5000.00 1443.15 18.778170 42.108 5.10947 11.5053 2.67937 19.4987 0.938412 4.79976 8.81565 3.2525 0.37139 0.921503
5000.00 1438.15 16.293731 40.8237 5.47513 10.9441 2.78852 20.7975 1.0815 4.87673 8.82893 3.05389 0.367011 0.963026
