Title: Gale2013MORB-8

Phase Masses:
Pressure Temperature mass liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
5000.00 1573.15 100.146709 100.146709 0.000000 0.000000 0.000000 
5000.00 1568.15 100.146864 100.146864 0.000000 0.000000 0.000000 
5000.00 1563.15 100.147024 100.147024 0.000000 0.000000 0.000000 
5000.00 1558.15 100.147189 100.147189 0.000000 0.000000 0.000000 
5000.00 1553.15 100.147360 100.147360 0.000000 0.000000 0.000000 
5000.00 1548.15 100.147537 100.147537 0.000000 0.000000 0.000000 
5000.00 1543.15 100.147720 100.147720 0.000000 0.000000 0.000000 
5000.00 1538.15 100.147707 98.425034 1.722673 0.000000 0.000000 
5000.00 1533.15 100.147689 95.359585 4.788105 0.000000 0.000000 
5000.00 1528.15 100.147873 92.429309 7.718565 0.000000 0.000000 
5000.00 1523.15 100.148245 89.623043 10.525201 0.000000 0.000000 
5000.00 1518.15 100.148793 86.930756 13.218036 0.000000 0.000000 
5000.00 1513.15 100.148769 81.678248 16.365316 0.000000 2.105205 
5000.00 1508.15 100.148022 74.534090 19.724396 0.000000 5.889536 
5000.00 1503.15 100.147183 67.849045 22.786700 0.000000 9.511438 
5000.00 1498.15 100.146351 61.668268 25.562730 0.000000 12.915353 
5000.00 1493.15 100.145598 56.005357 28.073807 0.000000 16.066434 
5000.00 1488.15 100.145014 50.788640 29.365313 0.997535 18.993526 
5000.00 1483.15 100.144655 45.995050 29.427968 3.033976 21.687662 
5000.00 1478.15 100.144480 41.621721 29.506669 4.883973 24.132116 
5000.00 1473.15 100.144487 37.603888 29.606652 6.572168 26.361780 
5000.00 1468.15 100.144678 33.890705 29.729622 8.119944 28.404407 
5000.00 1463.15 100.145053 30.441396 29.875231 9.545538 30.282888 
5000.00 1458.15 100.145612 27.223220 30.042202 10.863854 32.016336 
5000.00 1453.15 100.146357 24.211578 30.229261 12.086150 33.619368 
5000.00 1448.15 100.147302 21.393466 30.436001 13.220245 35.097590 
5000.00 1443.15 100.148497 18.778170 30.663465 14.272865 36.433997 
