Title: Gale2013MORB-3

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.151629 48.7747 1.75143 15.3641 1.51115 9.11471 0.185834 7.54536 12.4104 3.01595 0.143551 0.182774
5000.00 1568.15 100.151788 48.7746 1.75143 15.3641 1.51273 9.11327 0.185834 7.54535 12.4104 3.01594 0.143551 0.182773
5000.00 1563.15 100.151952 48.7746 1.75143 15.364 1.51436 9.11178 0.185833 7.54534 12.4104 3.01594 0.143551 0.182773
5000.00 1558.15 100.152123 48.7745 1.75142 15.364 1.51606 9.11023 0.185833 7.54533 12.4104 3.01593 0.143551 0.182773
5000.00 1553.15 100.152299 48.7744 1.75142 15.364 1.51781 9.10864 0.185833 7.54531 12.4104 3.01593 0.143551 0.182773
5000.00 1548.15 100.152481 48.7743 1.75142 15.364 1.51963 9.10699 0.185832 7.5453 12.4103 3.01592 0.14355 0.182772
5000.00 1543.15 100.152670 48.7742 1.75141 15.3639 1.5215 9.10528 0.185832 7.54529 12.4103 3.01592 0.14355 0.182772
5000.00 1538.15 100.153079 48.774 1.75141 15.3639 1.52557 9.10157 0.185831 7.54525 12.4103 3.01591 0.143549 0.182771
5000.00 1533.15 100.153821 48.7737 1.75139 15.3638 1.53296 9.09485 0.18583 7.5452 12.4102 3.01588 0.143548 0.18277
5000.00 1528.15 100.154774 48.7732 1.75138 15.3636 1.54244 9.08622 0.185828 7.54513 12.41 3.01585 0.143547 0.182768
5000.00 1523.15 100.155925 48.7726 1.75136 15.3634 1.5539 9.07579 0.185826 7.54504 12.4099 3.01582 0.143545 0.182766
5000.00 1518.15 100.156992 48.7721 1.75134 15.3633 1.56451 9.06613 0.185824 7.54496 12.4098 3.01579 0.143544 0.182764
5000.00 1513.15 100.157576 48.7718 1.75133 15.3632 1.57032 9.06084 0.185823 7.54492 12.4097 3.01577 0.143543 0.182763
5000.00 1508.15 100.158051 48.7716 1.75132 15.3631 1.57505 9.05654 0.185822 7.54488 12.4096 3.01576 0.143542 0.182762
5000.00 1503.15 100.158469 48.7714 1.75131 15.363 1.57921 9.05275 0.185821 7.54485 12.4096 3.01574 0.143542 0.182761
5000.00 1498.15 100.158882 48.7712 1.7513 15.363 1.58332 9.04901 0.18582 7.54482 12.4095 3.01573 0.143541 0.182761
5000.00 1493.15 100.159336 48.771 1.7513 15.3629 1.58783 9.0449 0.18582 7.54478 12.4095 3.01572 0.14354 0.18276
5000.00 1488.15 100.159874 48.7707 1.75129 15.3628 1.59318 9.04003 0.185819 7.54474 12.4094 3.0157 0.14354 0.182759
5000.00 1483.15 100.160530 48.7704 1.75128 15.3627 1.59971 9.03409 0.185817 7.54469 12.4093 3.01568 0.143539 0.182758
5000.00 1478.15 100.161332 48.77 1.75126 15.3626 1.60769 9.02682 0.185816 7.54463 12.4092 3.01566 0.143538 0.182756
5000.00 1473.15 100.162299 48.7695 1.75124 15.3625 1.61731 9.01806 0.185814 7.54456 12.4091 3.01563 0.143536 0.182754
