Title: Gale2013MORB-3

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.151629 48.7747 1.75143 15.3641 1.51115 9.11471 0.185834 7.54536 12.4104 3.01595 0.143551 0.182774
5000.00 1568.15 100.151788 48.7746 1.75143 15.3641 1.51273 9.11327 0.185834 7.54535 12.4104 3.01594 0.143551 0.182773
5000.00 1563.15 100.151952 48.7746 1.75143 15.364 1.51436 9.11178 0.185833 7.54534 12.4104 3.01594 0.143551 0.182773
5000.00 1558.15 100.152123 48.7745 1.75142 15.364 1.51606 9.11023 0.185833 7.54533 12.4104 3.01593 0.143551 0.182773
5000.00 1553.15 100.152299 48.7744 1.75142 15.364 1.51781 9.10864 0.185833 7.54531 12.4104 3.01593 0.143551 0.182773
5000.00 1548.15 100.152481 48.7743 1.75142 15.364 1.51963 9.10699 0.185832 7.5453 12.4103 3.01592 0.14355 0.182772
5000.00 1543.15 100.152670 48.7742 1.75141 15.3639 1.5215 9.10528 0.185832 7.54529 12.4103 3.01592 0.14355 0.182772
5000.00 1538.15 98.237815 48.7354 1.77628 15.5548 1.52749 9.17934 0.189454 7.37865 12.257 3.06902 0.146348 0.186334
5000.00 1533.15 95.021779 48.6792 1.81787 15.8796 1.53546 9.30293 0.195866 7.09493 11.988 3.1623 0.151301 0.192641
5000.00 1528.15 91.949243 48.638 1.85699 16.1944 1.5421 9.41742 0.202411 6.81949 11.7172 3.25656 0.156357 0.199078
5000.00 1523.15 89.008080 48.6123 1.89339 16.4996 1.54742 9.52227 0.2091 6.55203 11.4449 3.35188 0.161524 0.205656
5000.00 1518.15 84.581597 48.5588 1.9612 16.614 1.57368 9.77336 0.220043 6.34437 11.1076 3.46106 0.169509 0.216419
5000.00 1513.15 78.062213 48.4157 2.08549 16.4317 1.63558 10.2767 0.23842 6.22274 10.6936 3.58345 0.182181 0.234494
5000.00 1508.15 72.053525 48.2327 2.21488 16.2384 1.69903 10.794 0.258302 6.10276 10.315 3.69537 0.195451 0.254048
5000.00 1503.15 66.477261 48.0061 2.35021 16.0331 1.7645 11.3289 0.279969 5.9849 9.97101 3.79664 0.209369 0.275359
5000.00 1498.15 61.283139 47.7329 2.49189 15.8148 1.8323 11.8841 0.303698 5.87032 9.66034 3.88695 0.223938 0.298697
5000.00 1493.15 56.439745 47.4107 2.63982 15.5836 1.90256 12.4624 0.32976 5.76078 9.38107 3.96584 0.239112 0.32433
5000.00 1488.15 51.926311 47.0375 2.79341 15.3396 1.97532 13.0664 0.358423 5.65841 9.13082 4.03281 0.254783 0.35252
5000.00 1483.15 47.726447 46.6122 2.95168 15.083 2.05053 13.6986 0.389963 5.56545 8.90691 4.08734 0.270784 0.383542
5000.00 1478.15 43.824379 46.1336 3.11336 14.814 2.12813 14.3621 0.424685 5.48403 8.70667 4.12891 0.286889 0.417692
5000.00 1473.15 40.202505 45.6002 3.27708 14.5318 2.2081 15.0609 0.462945 5.41611 8.52772 4.15702 0.302803 0.455322
5000.00 1468.15 36.844507 45.011 3.44119 14.2355 2.2904 15.7991 0.505138 5.36347 8.36796 4.17118 0.318147 0.49682
