Title: Gale2013MORB-3

Phase Masses:
Pressure Temperature mass liquid_0 clinopyroxene_0 feldspar_0 
5000.00 1573.15 100.151629 100.151629 0.000000 0.000000 
5000.00 1568.15 100.151788 100.151788 0.000000 0.000000 
5000.00 1563.15 100.151952 100.151952 0.000000 0.000000 
5000.00 1558.15 100.152123 100.152123 0.000000 0.000000 
5000.00 1553.15 100.152299 100.152299 0.000000 0.000000 
5000.00 1548.15 100.152481 100.152481 0.000000 0.000000 
5000.00 1543.15 100.152670 100.152670 0.000000 0.000000 
5000.00 1538.15 100.153079 98.237815 1.915264 0.000000 
5000.00 1533.15 100.153821 95.021779 5.132043 0.000000 
5000.00 1528.15 100.154774 91.949243 8.205530 0.000000 
5000.00 1523.15 100.155925 89.008080 11.147845 0.000000 
5000.00 1518.15 100.156992 84.581597 14.259425 1.315971 
5000.00 1513.15 100.157576 78.062213 17.537775 4.557589 
5000.00 1508.15 100.158051 72.053525 20.501114 7.603413 
5000.00 1503.15 100.158469 66.477261 23.202688 10.478520 
5000.00 1498.15 100.158882 61.283139 25.681234 13.194509 
5000.00 1493.15 100.159336 56.439745 27.965436 15.754155 
5000.00 1488.15 100.159874 51.926311 30.077540 18.156023 
5000.00 1483.15 100.160530 47.726447 32.035927 20.398156 
5000.00 1478.15 100.161332 43.824379 33.856627 22.480326 
5000.00 1473.15 100.162299 40.202505 35.554192 24.405602 
