Title: Gale2013MORB-3

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 feldspar_0 
5000.00 1573.15 100.151629 36.316498 36.316498 0.000000 0.000000 
5000.00 1568.15 100.151788 36.303898 36.303898 0.000000 0.000000 
5000.00 1563.15 100.151952 36.291302 36.291302 0.000000 0.000000 
5000.00 1558.15 100.152123 36.278710 36.278710 0.000000 0.000000 
5000.00 1553.15 100.152299 36.266122 36.266122 0.000000 0.000000 
5000.00 1548.15 100.152481 36.253538 36.253538 0.000000 0.000000 
5000.00 1543.15 100.152670 36.240959 36.240959 0.000000 0.000000 
5000.00 1538.15 100.153079 36.135460 35.541400 0.594059 0.000000 
5000.00 1533.15 100.153821 35.967086 34.377452 1.589634 0.000000 
5000.00 1528.15 100.154774 35.806012 33.267891 2.538122 0.000000 
5000.00 1523.15 100.155925 35.651658 32.208242 3.443417 0.000000 
5000.00 1518.15 100.156992 35.476738 30.584876 4.398520 0.493342 
5000.00 1513.15 100.157576 35.275170 28.162146 5.402533 1.710490 
5000.00 1508.15 100.158051 35.090720 25.927403 6.306607 2.856711 
5000.00 1503.15 100.158469 34.920602 23.852154 7.127363 3.941085 
5000.00 1498.15 100.158882 34.762853 21.918264 7.876936 4.967653 
5000.00 1493.15 100.159336 34.616073 20.114555 8.564374 5.937144 
5000.00 1488.15 100.159874 34.479213 18.433740 9.196758 6.848715 
5000.00 1483.15 100.160530 34.351414 16.870085 9.779989 7.701339 
5000.00 1478.15 100.161332 34.231920 15.418013 10.319245 8.494662 
5000.00 1473.15 100.162299 34.120016 14.071182 10.819234 9.229600 
