Title: Gale2013MORB-7

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.142598 49.7534 1.66722 15.2431 1.42125 8.69654 0.177368 7.71906 12.3092 2.67433 0.155276 0.183287
5000.00 1568.15 100.142748 49.7533 1.66722 15.2431 1.42274 8.69518 0.177368 7.71905 12.3091 2.67433 0.155276 0.183287
5000.00 1563.15 100.142903 49.7532 1.66722 15.2431 1.42428 8.69378 0.177368 7.71904 12.3091 2.67432 0.155276 0.183287
5000.00 1558.15 100.143064 49.7531 1.66722 15.2431 1.42588 8.69232 0.177367 7.71903 12.3091 2.67432 0.155275 0.183286
5000.00 1553.15 100.143230 49.7531 1.66721 15.243 1.42753 8.69082 0.177367 7.71902 12.3091 2.67432 0.155275 0.183286
5000.00 1548.15 100.143402 49.753 1.66721 15.243 1.42924 8.68927 0.177367 7.719 12.3091 2.67431 0.155275 0.183286
5000.00 1543.15 100.143579 49.7529 1.66721 15.243 1.43101 8.68766 0.177367 7.71899 12.309 2.67431 0.155275 0.183286
5000.00 1538.15 97.180930 49.7096 1.70622 15.5499 1.43679 8.78194 0.182774 7.44225 12.0939 2.74769 0.160008 0.188873
5000.00 1533.15 94.071254 49.6754 1.74748 15.8781 1.44165 8.87701 0.188816 7.14728 11.8549 2.8289 0.165298 0.195117
5000.00 1528.15 91.100240 49.6556 1.78688 16.1971 1.44514 8.96246 0.194973 6.86126 11.6136 2.91081 0.170688 0.20148
5000.00 1523.15 88.256009 49.6506 1.82422 16.5071 1.44724 9.03768 0.201257 6.58377 11.3705 2.99349 0.176189 0.207973
5000.00 1518.15 83.489023 49.628 1.90253 16.5964 1.47268 9.27823 0.212748 6.36328 11.054 3.0866 0.185623 0.219848
5000.00 1513.15 76.512726 49.5387 2.04342 16.3991 1.53081 9.74985 0.232146 6.20362 10.6775 3.18421 0.200738 0.239893
5000.00 1508.15 69.998620 49.4053 2.19685 16.1826 1.59121 10.2348 0.25375 6.03924 10.3471 3.26988 0.217006 0.262218
5000.00 1503.15 63.911047 49.2237 2.36428 15.9463 1.65408 10.7346 0.277919 5.87298 10.0622 3.34233 0.234484 0.287194
5000.00 1498.15 58.241028 48.9902 2.54644 15.6914 1.71933 11.2502 0.304976 5.70909 9.82 3.40008 0.253136 0.315154
5000.00 1493.15 52.983813 48.7021 2.74358 15.4201 1.78669 11.7824 0.335237 5.5521 9.61689 3.44164 0.27285 0.346424
5000.00 1488.15 48.125858 48.3559 2.95602 15.1347 1.85592 12.333 0.369077 5.40598 9.44902 3.46557 0.293473 0.381393
5000.00 1483.15 43.642882 47.9474 3.18452 14.8363 1.92693 12.9048 0.406988 5.27388 9.31341 3.47045 0.314815 0.42057
5000.00 1478.15 39.488739 47.4706 3.43056 14.5221 2.00021 13.5028 0.449802 5.15631 9.21096 3.45515 0.336732 0.464813
5000.00 1473.15 35.553757 46.9212 3.69406 14.1766 2.07809 14.1356 0.499585 5.04427 9.15384 3.42097 0.359456 0.516257
5000.00 1468.15 31.911715 46.2888 3.97649 13.8152 2.15836 14.8073 0.556602 4.95378 9.12392 3.36245 0.381972 0.575176
5000.00 1463.15 28.523488 45.5575 4.28196 13.4306 2.24197 15.5299 0.622719 4.88685 9.1248 3.27648 0.40366 0.6435
5000.00 1458.15 25.358649 44.7068 4.61597 13.0134 2.33008 16.3192 0.700437 4.84659 9.1613 3.1589 0.423528 0.723811
5000.00 1453.15 22.396904 43.7116 4.98527 12.5512 2.42398 17.1942 0.793062 4.83707 9.23904 3.00498 0.44005 0.819527
5000.00 1448.15 19.634440 42.5525 5.39496 12.0327 2.52429 18.1695 0.904641 4.86161 9.36202 2.81184 0.451115 0.93483
5000.00 1443.15 17.009702 41.3094 5.84519 11.4888 2.62584 19.2654 1.04423 4.90454 9.45406 2.59546 0.456001 1.01113
5000.00 1438.15 14.622784 40.0713 6.29609 10.954 2.72037 20.3891 1.21469 4.95046 9.50953 2.37804 0.454324 1.06216
5000.00 1433.15 12.537665 38.9408 6.69495 10.4701 2.80039 21.4126 1.4167 4.98194 9.53655 2.18395 0.448271 1.11373
5000.00 1428.15 10.716924 37.9811 7.01285 10.066 2.86281 22.2771 1.65739 4.98853 9.52539 2.02509 0.44075 1.16307
5000.00 1423.15 9.116784 37.1822 7.24518 9.74033 2.90896 22.9782 1.94829 4.9736 9.48183 1.89736 0.432883 1.21115
5000.00 1418.15 7.718388 36.5095 7.39961 9.4822 2.94102 23.5274 2.30127 4.9453 9.4163 1.79195 0.424646 1.26076
5000.00 1413.15 6.521223 35.9284 7.48988 9.28119 2.96068 23.9341 2.72374 4.91107 9.33931 1.70069 0.415825 1.31505
5000.00 1408.15 5.387961 35.4084 7.59146 9.11231 2.96916 24.1884 3.19413 4.86074 9.28716 1.60148 0.408188 1.37855
5000.00 1403.15 3.077355 34.9272 8.36697 8.84966 2.95273 23.9175 3.54183 4.63717 9.56839 1.33266 0.423293 1.4826
5000.00 1398.15 1.135383 34.5633 9.30596 8.69056 2.89946 23.0458 4.03552 4.37382 9.95392 1.05773 0.448488 1.62543
