Title: Gale2013MORB-7

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 whitlockite 
5000.00 1573.15 100.142598 100.142598 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.142748 100.142748 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.142903 100.142903 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.143064 100.143064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.143230 100.143230 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.143402 100.143402 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.143579 100.143579 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.143731 97.180930 0.000000 2.962800 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.144071 94.071254 0.000000 6.072817 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.144601 91.100240 0.000000 9.044361 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.145310 88.256009 0.000000 11.889301 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.145753 83.489023 0.000000 15.047106 0.000000 0.000000 1.609624 0.000000 
5000.00 1513.15 100.145540 76.512726 0.000000 18.475562 0.000000 0.000000 5.157251 0.000000 
5000.00 1508.15 100.145179 69.998620 0.000000 21.601986 0.000000 0.000000 8.544573 0.000000 
5000.00 1503.15 100.144736 63.911047 0.000000 24.462614 0.000000 0.000000 11.771075 0.000000 
5000.00 1498.15 100.144275 58.241028 0.000000 27.081879 0.000000 0.000000 14.821367 0.000000 
5000.00 1493.15 100.143850 52.983813 0.000000 29.480924 0.000000 0.000000 17.679112 0.000000 
5000.00 1488.15 100.143502 48.125858 0.000000 31.681611 0.000000 0.000000 20.336033 0.000000 
5000.00 1483.15 100.143257 43.642882 0.000000 33.706541 0.000000 0.000000 22.793833 0.000000 
5000.00 1478.15 100.143147 39.488739 0.000000 35.336535 0.246735 0.000000 25.071137 0.000000 
5000.00 1473.15 100.143320 35.553757 0.000000 35.213916 2.153443 0.000000 27.222204 0.000000 
5000.00 1468.15 100.143657 31.911715 0.000000 35.117619 3.921702 0.000000 29.192621 0.000000 
5000.00 1463.15 100.144152 28.523488 0.000000 35.049639 5.567023 0.000000 31.004003 0.000000 
5000.00 1458.15 100.144803 25.358649 0.000000 35.010164 7.102705 0.000000 32.673285 0.000000 
5000.00 1453.15 100.145613 22.396904 0.000000 34.998745 8.539687 0.000000 34.210276 0.000000 
5000.00 1448.15 100.146605 19.634440 0.000000 35.015354 9.887342 0.000000 35.609469 0.000000 
5000.00 1443.15 100.147858 17.009702 0.000000 35.069282 11.210115 0.000000 36.833502 0.025256 
5000.00 1438.15 100.149548 14.622784 0.000000 35.154916 12.502817 0.000000 37.807337 0.061694 
5000.00 1433.15 100.151747 12.537665 0.000000 35.263651 13.752888 0.000000 38.501582 0.095961 
5000.00 1428.15 100.154354 10.716924 0.000000 35.389517 14.963042 0.000000 38.956152 0.128718 
5000.00 1423.15 100.157172 9.116784 0.000000 35.526985 16.117061 0.000000 39.236533 0.159808 
5000.00 1418.15 100.159984 7.718388 0.000000 35.670783 17.184644 0.000000 39.397717 0.188451 
5000.00 1413.15 100.162598 6.521223 0.000000 35.815063 18.133853 0.000000 39.478761 0.213698 
5000.00 1408.15 100.164562 5.387961 0.077437 35.953859 18.947830 0.000000 39.558687 0.238787 
5000.00 1403.15 100.162203 3.077355 0.881072 36.011079 19.804983 0.000000 40.086318 0.301396 
5000.00 1398.15 100.157258 1.135383 1.516972 34.830324 20.636666 1.173312 40.503832 0.360769 
