Title: Gale2013MORB-6

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.147933 100.147933 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.148089 100.148089 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.148250 100.148250 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.148417 100.148417 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.148590 100.148590 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.148768 100.148768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.148953 100.148953 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.149068 99.802011 0.000000 0.347057 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.148729 96.890415 0.000000 3.258314 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.148589 94.106966 0.000000 6.041623 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.148629 91.442919 0.000000 8.705710 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.148837 88.889354 0.000000 11.259483 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.149202 86.437898 0.000000 13.711304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.148892 81.544667 0.000000 16.582734 0.000000 0.000000 2.021491 0.000000 0.000000 0.000000 
5000.00 1503.15 100.147787 74.876089 0.000000 19.650199 0.000000 0.000000 5.621499 0.000000 0.000000 0.000000 
5000.00 1498.15 100.146565 68.625610 0.000000 22.459497 0.000000 0.000000 9.061457 0.000000 0.000000 0.000000 
5000.00 1493.15 100.145303 62.818629 0.000000 25.026401 0.000000 0.000000 12.300272 0.000000 0.000000 0.000000 
