Title: Gale2013MORB-6

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 0.000000 ---
5000.00 1568.15 0.000000 ---
5000.00 1563.15 0.000000 ---
5000.00 1558.15 0.000000 ---
5000.00 1553.15 0.000000 ---
5000.00 1548.15 0.000000 ---
5000.00 1543.15 0.000000 ---
5000.00 1538.15 0.347057 51.8757 0.264102 4.31747 1.15316 6.69103 0 17.9883 17.4653 0.244935 0 0
5000.00 1533.15 3.258314 51.6542 0.29191 4.52818 1.20938 6.77108 0 17.6569 17.6307 0.25765 0 0
5000.00 1528.15 6.041623 51.4387 0.32052 4.73483 1.26432 6.87474 0 17.3592 17.7374 0.270228 0 0
5000.00 1523.15 8.705710 51.2267 0.350169 4.93889 1.31853 6.99371 0 17.0828 17.8064 0.28284 0 0
5000.00 1518.15 11.259483 51.0168 0.380964 5.14097 1.37223 7.12369 0 16.8211 17.8487 0.295574 0 0
5000.00 1513.15 13.711304 50.8085 0.412954 5.3413 1.42552 7.26211 0 16.5704 17.8707 0.30848 0 0
5000.00 1508.15 18.604225 50.807 0.390963 8.16769 1.30194 6.79228 0 14.7227 17.1067 0.706619 0.00406711 0
5000.00 1503.15 25.271698 50.9849 0.356866 10.9578 1.15342 6.35239 0 12.9064 16.1178 1.16101 0.0094184 0
5000.00 1498.15 31.520955 51.1588 0.342678 12.4825 1.07573 6.21269 0 11.8545 15.3967 1.46267 0.0137528 0
5000.00 1493.15 37.326673 51.3218 0.338735 13.417 1.03236 6.20369 0 11.1486 14.83 1.69011 0.0177762 0
5000.00 1488.15 42.687194 51.4717 0.341205 14.0264 1.00872 6.25969 0 10.6276 14.3689 1.87404 0.0217629 0
5000.00 1483.15 47.625588 51.6085 0.348142 14.4383 0.997532 6.35109 0 10.2171 13.9841 2.02934 0.0258471 0
5000.00 1478.15 52.238969 51.7289 0.361449 14.7322 0.995789 6.46882 0 9.87878 13.6391 2.16478 0.0301682 0
5000.00 1473.15 56.495391 51.836 0.37819 14.9329 1.00054 6.59876 0 9.58987 13.345 2.28403 0.0347111 0
5000.00 1468.15 60.439155 51.9315 0.397646 15.0682 1.00981 6.73719 0 9.33667 13.0887 2.39067 0.0395221 0
5000.00 1463.15 64.111148 52.0163 0.419535 15.1566 1.0223 6.88212 0 9.11056 12.8609 2.48706 0.044643 0
5000.00 1458.15 67.544385 52.0912 0.443652 15.2101 1.03708 7.03208 0 8.90581 12.6551 2.57475 0.0501106 0
5000.00 1453.15 70.765393 52.157 0.469791 15.2376 1.05335 7.18588 0 8.71846 12.4672 2.65484 0.0559599 0
