Title: Gale2013MORB-6

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.155117 48.7758 1.58847 14.891 1.54584 9.27686 0.190862 7.93171 12.465 3.03257 0.137738 0.164102
5000.00 1568.15 100.155279 48.7757 1.58847 14.891 1.54746 9.27538 0.190861 7.9317 12.465 3.03256 0.137738 0.164102
5000.00 1563.15 100.155448 48.7756 1.58847 14.891 1.54913 9.27386 0.190861 7.93168 12.465 3.03256 0.137737 0.164102
5000.00 1558.15 100.155622 48.7755 1.58847 14.891 1.55087 9.27228 0.190861 7.93167 12.465 3.03255 0.137737 0.164102
5000.00 1553.15 100.155802 48.7755 1.58846 14.8909 1.55266 9.27065 0.19086 7.93166 12.4649 3.03254 0.137737 0.164101
5000.00 1548.15 100.155988 48.7754 1.58846 14.8909 1.55451 9.26896 0.19086 7.93164 12.4649 3.03254 0.137737 0.164101
5000.00 1543.15 100.156335 48.7752 1.58846 14.8909 1.55796 9.26582 0.190859 7.93161 12.4649 3.03253 0.137736 0.1641
5000.00 1538.15 100.156950 48.7749 1.58845 14.8908 1.56408 9.26025 0.190858 7.93157 12.4648 3.03251 0.137735 0.164099
5000.00 1533.15 100.157778 48.7745 1.58843 14.8906 1.57232 9.25274 0.190857 7.9315 12.4647 3.03248 0.137734 0.164098
5000.00 1528.15 100.158809 48.774 1.58842 14.8905 1.58258 9.24341 0.190855 7.93142 12.4646 3.03245 0.137733 0.164096
5000.00 1523.15 100.160032 48.7734 1.5884 14.8903 1.59474 9.23233 0.190852 7.93132 12.4644 3.03242 0.137731 0.164094
5000.00 1518.15 100.161435 48.7727 1.58837 14.8901 1.6087 9.21962 0.19085 7.93121 12.4642 3.03237 0.137729 0.164092
5000.00 1513.15 100.162080 48.7724 1.58836 14.89 1.61512 9.21378 0.190848 7.93116 12.4642 3.03235 0.137728 0.164091
5000.00 1508.15 100.162629 48.7721 1.58836 14.8899 1.62058 9.20881 0.190847 7.93112 12.4641 3.03234 0.137728 0.16409
5000.00 1503.15 100.163152 48.7719 1.58835 14.8898 1.62578 9.20407 0.190846 7.93107 12.464 3.03232 0.137727 0.164089
5000.00 1498.15 100.163701 48.7716 1.58834 14.8898 1.63125 9.19909 0.190845 7.93103 12.464 3.03231 0.137726 0.164088
5000.00 1493.15 100.164325 48.7713 1.58833 14.8897 1.63746 9.19344 0.190844 7.93098 12.4639 3.03229 0.137725 0.164087
5000.00 1488.15 100.165063 48.7709 1.58832 14.8896 1.6448 9.18675 0.190843 7.93092 12.4638 3.03226 0.137724 0.164086
5000.00 1483.15 100.165946 48.7705 1.5883 14.8894 1.65358 9.17875 0.190841 7.93085 12.4637 3.03224 0.137723 0.164085
5000.00 1478.15 100.166999 48.77 1.58829 14.8893 1.66405 9.16922 0.190839 7.93077 12.4636 3.03221 0.137722 0.164083
5000.00 1473.15 100.168236 48.7694 1.58827 14.8891 1.67636 9.15802 0.190837 7.93067 12.4634 3.03217 0.13772 0.164081
5000.00 1468.15 100.169668 48.7687 1.58824 14.8889 1.69061 9.14504 0.190834 7.93056 12.4632 3.03212 0.137718 0.164078
5000.00 1463.15 100.171302 48.7679 1.58822 14.8886 1.70686 9.13025 0.190831 7.93043 12.463 3.03208 0.137716 0.164076
5000.00 1458.15 100.173198 48.767 1.58819 14.8883 1.72572 9.11307 0.190827 7.93028 12.4628 3.03202 0.137713 0.164073
5000.00 1453.15 100.175653 48.7658 1.58815 14.888 1.75013 9.09084 0.190823 7.93008 12.4625 3.03194 0.13771 0.164069
5000.00 1448.15 100.178352 48.7645 1.58811 14.8876 1.77698 9.0664 0.190817 7.92987 12.4621 3.03186 0.137706 0.164064
5000.00 1443.15 100.181277 48.7631 1.58806 14.8871 1.80607 9.03991 0.190812 7.92964 12.4618 3.03177 0.137702 0.164059
5000.00 1438.15 100.184402 48.7615 1.58801 14.8867 1.83715 9.01161 0.190806 7.92939 12.4614 3.03168 0.137698 0.164054
5000.00 1433.15 100.187350 48.7601 1.58796 14.8862 1.86647 8.98492 0.1908 7.92916 12.461 3.03159 0.137694 0.16405
5000.00 1428.15 100.187274 48.7601 1.58797 14.8863 1.86571 8.98561 0.1908 7.92916 12.461 3.03159 0.137694 0.16405
5000.00 1423.15 100.187408 48.7601 1.58796 14.8862 1.86705 8.98439 0.1908 7.92915 12.461 3.03159 0.137693 0.164049
5000.00 1418.15 100.187787 48.7599 1.58796 14.8862 1.87081 8.98097 0.190799 7.92912 12.461 3.03158 0.137693 0.164049
5000.00 1413.15 100.188368 48.7596 1.58795 14.8861 1.87659 8.97571 0.190798 7.92908 12.4609 3.03156 0.137692 0.164048
5000.00 1408.15 100.189000 48.7593 1.58794 14.886 1.88287 8.96998 0.190797 7.92903 12.4608 3.03154 0.137691 0.164047
5000.00 1403.15 100.189436 48.7591 1.58793 14.8859 1.88721 8.96604 0.190796 7.92899 12.4608 3.03153 0.137691 0.164046
5000.00 1398.15 100.189382 48.7591 1.58793 14.8859 1.88667 8.96653 0.190796 7.929 12.4608 3.03153 0.137691 0.164046
