Title: Gale2013MORB-6

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.155117 48.7758 1.58847 14.891 1.54584 9.27686 0.190862 7.93171 12.465 3.03257 0.137738 0.164102
5000.00 1568.15 100.155279 48.7757 1.58847 14.891 1.54746 9.27538 0.190861 7.9317 12.465 3.03256 0.137738 0.164102
5000.00 1563.15 100.155448 48.7756 1.58847 14.891 1.54913 9.27386 0.190861 7.93168 12.465 3.03256 0.137737 0.164102
5000.00 1558.15 100.155622 48.7755 1.58847 14.891 1.55087 9.27228 0.190861 7.93167 12.465 3.03255 0.137737 0.164102
5000.00 1553.15 100.155802 48.7755 1.58846 14.8909 1.55266 9.27065 0.19086 7.93166 12.4649 3.03254 0.137737 0.164101
5000.00 1548.15 100.155988 48.7754 1.58846 14.8909 1.55451 9.26896 0.19086 7.93164 12.4649 3.03254 0.137737 0.164101
5000.00 1543.15 97.915530 48.723 1.61553 15.1111 1.56221 9.36218 0.195227 7.73821 12.2883 3.0955 0.140888 0.167856
5000.00 1538.15 94.604431 48.6542 1.65558 15.4417 1.57191 9.49941 0.20206 7.44748 12.0148 3.19325 0.145819 0.173731
5000.00 1533.15 91.447827 48.6001 1.69344 15.7624 1.58024 9.62741 0.209035 7.165 11.7398 3.29204 0.150853 0.179727
5000.00 1528.15 88.432046 48.561 1.72889 16.0733 1.58722 9.74563 0.216163 6.89041 11.4635 3.392 0.155997 0.185857
5000.00 1523.15 85.545204 48.5375 1.76166 16.3747 1.59284 9.85346 0.223458 6.62338 11.1864 3.49322 0.161262 0.192129
5000.00 1518.15 82.776971 48.5298 1.79151 16.6669 1.59711 9.95025 0.230931 6.3636 10.9089 3.5958 0.166654 0.198554
5000.00 1513.15 76.424821 48.3922 1.90117 16.4971 1.65865 10.4485 0.250125 6.23526 10.4908 3.73197 0.17912 0.215057
5000.00 1508.15 70.511063 48.214 2.01609 16.3088 1.72278 10.9668 0.271103 6.11061 10.1047 3.85969 0.192312 0.233094
5000.00 1503.15 65.036136 47.9945 2.13513 16.1098 1.78882 11.5005 0.293925 5.98808 9.75213 3.97824 0.206138 0.252716
5000.00 1498.15 59.954433 47.7319 2.25814 15.8999 1.85695 12.0518 0.318838 5.86905 9.43126 4.08743 0.220586 0.274136
5000.00 1493.15 55.236671 47.4248 2.38445 15.6798 1.92721 12.6225 0.34607 5.75534 9.1396 4.18704 0.235589 0.29755
5000.00 1488.15 50.861866 47.0732 2.51292 15.4502 1.99953 13.2142 0.375837 5.6489 8.8743 4.2768 0.251031 0.323144
5000.00 1483.15 46.811921 46.6772 2.64207 15.212 2.07376 13.8282 0.408353 5.55161 8.6324 4.35653 0.266744 0.3511
5000.00 1478.15 43.068810 46.2377 2.77016 14.966 2.14973 14.4662 0.443843 5.46504 8.41105 4.42615 0.282513 0.381615
5000.00 1473.15 39.612812 45.7555 2.89538 14.7123 2.22733 15.1301 0.482566 5.39052 8.20769 4.48561 0.298079 0.414908
