Title: Gale2013MORB-0

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.148841 48.4282 1.65953 15.7698 1.48339 9.53357 0.182066 8.44724 11.4467 2.73056 0.14943 0.169521
5000.00 1568.15 100.148998 48.4282 1.65953 15.7697 1.48495 9.53215 0.182066 8.44723 11.4467 2.73056 0.14943 0.169521
5000.00 1563.15 100.149161 48.4281 1.65953 15.7697 1.48657 9.53067 0.182065 8.44722 11.4466 2.73055 0.14943 0.169521
5000.00 1558.15 100.149330 48.428 1.65953 15.7697 1.48825 9.52914 0.182065 8.4472 11.4466 2.73055 0.149429 0.16952
5000.00 1553.15 100.149504 48.4279 1.65952 15.7697 1.48999 9.52756 0.182065 8.44719 11.4466 2.73054 0.149429 0.16952
5000.00 1548.15 100.149684 48.4278 1.65952 15.7696 1.49178 9.52593 0.182064 8.44717 11.4466 2.73054 0.149429 0.16952
5000.00 1543.15 100.149871 48.4277 1.65952 15.7696 1.49363 9.52424 0.182064 8.44716 11.4466 2.73053 0.149429 0.169519
5000.00 1538.15 100.150022 48.4277 1.65951 15.7696 1.49514 9.52287 0.182064 8.44714 11.4465 2.73053 0.149428 0.169519
5000.00 1533.15 100.150009 48.4277 1.65952 15.7696 1.49501 9.52299 0.182064 8.44714 11.4465 2.73053 0.149428 0.169519
5000.00 1528.15 100.150250 48.4276 1.65951 15.7695 1.4974 9.52081 0.182063 8.44712 11.4465 2.73052 0.149428 0.169519
5000.00 1523.15 100.150721 48.4273 1.6595 15.7695 1.5021 9.51653 0.182063 8.44708 11.4465 2.73051 0.149427 0.169518
5000.00 1518.15 100.151409 48.427 1.65949 15.7694 1.50894 9.5103 0.182061 8.44703 11.4464 2.73049 0.149426 0.169517
5000.00 1513.15 100.150782 48.4273 1.6595 15.7695 1.50271 9.51598 0.182062 8.44708 11.4464 2.73051 0.149427 0.169518
5000.00 1508.15 100.150036 48.4277 1.65951 15.7696 1.49528 9.52274 0.182064 8.44714 11.4465 2.73053 0.149428 0.169519
5000.00 1503.15 100.149453 48.4279 1.65952 15.7697 1.48948 9.52802 0.182065 8.44719 11.4466 2.73054 0.149429 0.16952
5000.00 1498.15 100.149163 48.4281 1.65953 15.7697 1.4866 9.53065 0.182065 8.44721 11.4466 2.73055 0.14943 0.169521
5000.00 1493.15 100.149149 48.4281 1.65953 15.7697 1.48646 9.53078 0.182065 8.44722 11.4466 2.73055 0.14943 0.169521
5000.00 1488.15 100.149411 48.428 1.65952 15.7697 1.48906 9.52841 0.182065 8.44719 11.4466 2.73054 0.149429 0.16952
5000.00 1483.15 100.149951 48.4277 1.65952 15.7696 1.49443 9.52351 0.182064 8.44715 11.4465 2.73053 0.149429 0.169519
5000.00 1478.15 100.150779 48.4273 1.6595 15.7695 1.50267 9.51601 0.182062 8.44708 11.4465 2.73051 0.149427 0.169518
5000.00 1473.15 100.151905 48.4268 1.65948 15.7693 1.51388 9.5058 0.18206 8.44698 11.4463 2.73048 0.149426 0.169516
5000.00 1468.15 100.153345 48.4261 1.65946 15.7691 1.52821 9.49276 0.182058 8.44686 11.4462 2.73044 0.149423 0.169514
5000.00 1463.15 100.155114 48.4252 1.65943 15.7688 1.54581 9.47673 0.182055 8.44671 11.446 2.73039 0.149421 0.169511
5000.00 1458.15 100.157227 48.4242 1.6594 15.7685 1.56684 9.45757 0.182051 8.44653 11.4457 2.73033 0.149418 0.169507
5000.00 1453.15 100.159696 48.423 1.65935 15.7681 1.5914 9.43521 0.182046 8.44633 11.4454 2.73026 0.149414 0.169503
5000.00 1448.15 100.162516 48.4216 1.65931 15.7676 1.61945 9.40966 0.182041 8.44609 11.4451 2.73019 0.14941 0.169498
5000.00 1443.15 100.165664 48.4201 1.65926 15.7671 1.65077 9.38113 0.182035 8.44582 11.4447 2.7301 0.149405 0.169493
5000.00 1438.15 100.169097 48.4185 1.6592 15.7666 1.68492 9.35003 0.182029 8.44553 11.4444 2.73001 0.1494 0.169487
5000.00 1433.15 100.169277 48.4184 1.6592 15.7666 1.68672 9.3484 0.182029 8.44552 11.4443 2.73 0.1494 0.169487
5000.00 1428.15 100.169475 48.4183 1.65919 15.7665 1.68868 9.34661 0.182028 8.4455 11.4443 2.73 0.149399 0.169486
5000.00 1423.15 100.169915 48.4181 1.65919 15.7665 1.69306 9.34262 0.182028 8.44546 11.4443 2.72999 0.149399 0.169486
5000.00 1418.15 100.170021 48.418 1.65918 15.7664 1.69411 9.34166 0.182027 8.44546 11.4443 2.72998 0.149399 0.169485
5000.00 1413.15 100.169800 48.4181 1.65919 15.7665 1.69192 9.34366 0.182028 8.44547 11.4443 2.72999 0.149399 0.169486
5000.00 1408.15 100.169437 48.4183 1.65919 15.7665 1.68831 9.34695 0.182028 8.44551 11.4443 2.73 0.149399 0.169486
