Title: Gale2013MORB-0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 whitlockite 
5000.00 1573.15 100.148841 100.148841 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.148998 100.148998 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.149161 100.149161 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.149330 100.149330 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.149504 100.149504 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.149684 100.149684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.149871 100.149871 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.150022 99.773065 0.000000 0.376957 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.150009 96.508041 0.000000 3.641968 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.150250 93.366758 0.000000 6.783492 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.150721 90.342641 0.000000 9.808080 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.151409 87.427430 0.000000 12.723979 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.150782 79.457608 0.000000 16.658031 0.000000 0.000000 4.035143 0.000000 
5000.00 1508.15 100.150036 71.874056 0.000000 20.250756 0.000000 0.000000 8.025224 0.000000 
5000.00 1503.15 100.149453 64.874403 0.000000 21.730875 1.736883 0.000000 11.807293 0.000000 
5000.00 1498.15 100.149163 58.677219 0.000000 22.236708 4.063634 0.000000 15.171602 0.000000 
5000.00 1493.15 100.149149 53.219927 0.000000 22.706701 6.101810 0.000000 18.120711 0.000000 
5000.00 1488.15 100.149411 48.372317 0.000000 23.158023 7.898777 0.000000 20.720293 0.000000 
5000.00 1483.15 100.149951 44.034899 0.000000 23.600396 9.494807 0.000000 23.019849 0.000000 
5000.00 1478.15 100.150779 40.130203 0.000000 24.038906 10.924568 0.000000 25.057102 0.000000 
5000.00 1473.15 100.151905 36.595893 0.000000 24.475767 12.218537 0.000000 26.861708 0.000000 
5000.00 1468.15 100.153345 33.383399 0.000000 24.911778 13.402913 0.000000 28.455255 0.000000 
5000.00 1463.15 100.155114 30.453843 0.000000 25.346782 14.500816 0.000000 29.853672 0.000000 
5000.00 1458.15 100.157227 27.775380 0.000000 25.779912 15.532766 0.000000 31.069170 0.000000 
5000.00 1453.15 100.159696 25.321692 0.000000 26.209681 16.516347 0.000000 32.111975 0.000000 
5000.00 1448.15 100.162516 23.071374 0.000000 26.634056 17.464933 0.000000 32.992153 0.000000 
5000.00 1443.15 100.165664 21.008334 0.000000 27.050665 18.385578 0.000000 33.721088 0.000000 
5000.00 1438.15 100.169097 19.115081 0.000000 27.458950 19.281749 0.000000 34.311182 0.002135 
5000.00 1433.15 100.169277 16.235718 1.055052 28.034645 19.031581 0.000000 35.755106 0.057176 
5000.00 1428.15 100.169475 13.293620 2.225164 28.611690 18.806427 0.000000 37.117826 0.114748 
5000.00 1423.15 100.169915 10.348648 3.454881 29.201750 18.663776 0.000000 38.327161 0.173698 
5000.00 1418.15 100.170021 7.383125 4.780805 28.732932 18.449900 1.197525 39.392055 0.233678 
5000.00 1413.15 100.169800 4.524105 6.210287 27.611912 18.041563 3.170275 40.321828 0.289830 
5000.00 1408.15 100.169437 1.839665 7.754585 26.838025 17.409598 4.834661 41.153531 0.339371 
