Title: Gale2013MORB-0

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.148841 1.0000000000000000 1.000000 275.965754 -1181321.093861 36.194322 -177.008418 2560.412250 150.727472 -7.247 0.000 2.766977 0.000000 1.785 0 0.000
5000.00 1568.15 100.148998 1.0000000000000000 1.000000 275.486280 -1182076.980437 36.181650 -177.052571 2560.477112 150.728279 -7.296 0.000 2.767950 0.000000 1.804 0 0.000
5000.00 1563.15 100.149161 1.0000000000000000 1.000000 275.005281 -1182832.955827 36.168982 -177.096885 2560.544300 150.729115 -7.346 0.000 2.768924 0.000000 1.823 0 0.000
5000.00 1558.15 100.149330 1.0000000000000000 1.000000 274.522747 -1183589.021650 36.156318 -177.141365 2560.613847 150.729979 -7.396 0.000 2.769898 0.000000 1.843 0 0.000
5000.00 1553.15 100.149504 1.0000000000000000 1.000000 274.038669 -1184345.179562 36.143659 -177.186015 2560.685789 150.730874 -7.447 0.000 2.770873 0.000000 1.862 0 0.000
5000.00 1548.15 100.149684 1.0000000000000000 1.000000 273.553034 -1185101.431250 36.131003 -177.230842 2560.760162 150.731799 -7.498 0.000 2.771849 0.000000 1.882 0 0.000
5000.00 1543.15 100.149871 1.0000000000000000 1.000000 273.065835 -1185857.778440 36.118351 -177.275849 2560.837001 150.732755 -7.549 0.000 2.772825 0.000000 1.901 0 0.000
5000.00 1538.15 100.150022 0.9962360788351453 0.996758 272.471922 -1186775.224634 36.087713 -176.913460 2556.959418 150.591809 -7.600 0.000 2.773729 3.222357 1.923 0 0.000
5000.00 1533.15 100.150009 0.9636348756590060 0.968576 271.070800 -1188926.562159 35.919175 -173.432002 2522.469631 149.363796 -7.652 0.000 2.773980 3.226643 1.961 0 0.000
5000.00 1528.15 100.150250 0.9322668509016425 0.941284 269.705238 -1191021.061670 35.756610 -170.084070 2488.656837 148.183701 -7.704 0.000 2.774055 3.231051 2.000 0 0.000
5000.00 1523.15 100.150721 0.9020668084160333 0.914849 268.375410 -1193058.396284 35.599850 -166.857644 2455.400369 147.049622 -7.757 0.000 2.773927 3.235550 2.040 0 0.000
5000.00 1518.15 100.151409 0.8729525749442125 0.889220 267.079852 -1195040.867235 35.448572 -163.741126 2422.598775 145.958697 -7.810 0.000 2.773574 3.240128 2.081 0 0.000
5000.00 1513.15 100.150782 0.7933798039335934 0.811279 264.663548 -1198691.749146 35.212589 -152.505237 2317.684669 143.440819 -7.863 0.000 2.781425 3.113930 2.074 0 0.000
5000.00 1508.15 100.150036 0.7176638012416026 0.735953 262.382053 -1202124.868578 34.994193 -141.566546 2216.693503 141.081736 -7.917 0.000 2.790783 3.060134 2.057 0 0.000
5000.00 1503.15 100.149453 0.6477759035197753 0.665490 260.263417 -1205304.327431 34.796634 -131.271427 2122.409349 138.930165 -7.970 0.000 2.801527 3.030547 2.031 0 0.000
5000.00 1498.15 100.149163 0.5858982416170281 0.602445 258.341843 -1208182.795386 34.621051 -122.045972 2038.458896 137.036776 -8.025 0.000 2.813275 3.013121 1.998 0 0.000
5000.00 1493.15 100.149149 0.5314066800091948 0.546442 256.598778 -1210789.636414 34.464279 -113.845540 1964.187033 135.375609 -8.079 0.000 2.825926 3.002214 1.960 0 0.000
5000.00 1488.15 100.149411 0.4830015151394548 0.496327 255.001908 -1213174.787930 34.322845 -106.497647 1897.759701 133.903688 -8.134 0.000 2.839526 2.995060 1.916 0 0.000
5000.00 1483.15 100.149951 0.4396896708011749 0.451206 253.526484 -1215376.548773 34.194091 -99.871366 1837.760837 132.588105 -8.190 0.000 2.854111 2.990330 1.866 0 0.000
5000.00 1478.15 100.150779 0.4006978617675037 0.410381 252.154574 -1217422.824922 34.075937 -93.865706 1783.074083 130.296551 -8.245 0.000 2.869696 2.987316 1.811 0 0.000
5000.00 1473.15 100.151905 0.3654038620829977 0.373285 250.870998 -1219337.239164 33.966702 -88.400047 1732.790056 129.354200 -8.302 0.000 2.886277 2.985612 1.750 0 0.000
5000.00 1468.15 100.153345 0.3333228548910519 0.339478 249.661067 -1221142.533485 33.865052 -83.413454 1686.188333 128.492677 -8.358 0.000 2.903799 2.984986 1.686 0 0.000
5000.00 1463.15 100.155114 0.3040667850758679 0.308611 248.515187 -1222853.786679 33.769903 -78.858871 1642.685943 127.699756 -8.415 0.000 2.922138 2.985304 1.618 0 0.000
5000.00 1458.15 100.157227 0.2773177845337627 0.280398 247.425604 -1224483.231203 33.680363 -74.699055 1601.808750 126.965408 -8.472 0.000 2.941090 2.986487 1.547 0 0.000
5000.00 1453.15 100.159696 0.2528131897376684 0.254602 246.386092 -1226040.654522 33.595719 -70.903820 1563.183944 126.281538 -8.530 0.000 2.960371 2.988480 1.476 0 0.000
5000.00 1448.15 100.162516 0.2303394015660835 0.231028 245.391872 -1227533.434599 33.515451 -67.448065 1526.550691 125.642030 -8.588 0.000 2.979638 2.991224 1.405 0 0.000
5000.00 1443.15 100.165664 0.2097358785550443 0.209520 244.439744 -1228966.222388 33.439275 -64.311104 1491.787498 125.043046 -8.646 0.000 2.998538 2.994631 1.337 0 0.000
5000.00 1438.15 100.169097 0.1908281256943314 0.189899 243.526817 -1230342.794855 33.366847 -61.471117 1458.829073 124.479640 -8.705 0.000 3.016749 2.998610 1.272 0 0.000
5000.00 1433.15 100.169277 0.1620828081071112 0.160223 242.337397 -1232053.717043 33.303237 -57.624184 1409.191660 123.579336 -8.765 0.000 3.042711 3.001132 1.206 0 0.000
5000.00 1428.15 100.169475 0.1327112849601706 0.130278 241.124550 -1233792.550521 33.238144 -53.832354 1357.169562 122.643581 -8.824 0.000 3.069987 3.005258 1.141 0 0.000
5000.00 1423.15 100.169915 0.1033109438318821 0.100728 239.906214 -1235537.446797 33.170735 -50.185603 1304.045480 121.696826 -8.885 0.000 3.097272 3.011153 1.081 0 0.000
5000.00 1418.15 100.170021 0.0737059372713786 0.071404 238.671265 -1237293.869393 33.100721 -46.674446 1249.819829 120.735869 -8.945 0.000 3.123760 3.018718 1.028 0 0.000
5000.00 1413.15 100.169800 0.0451643625941015 0.043491 237.459075 -1239006.112394 33.033269 -43.449085 1197.546757 119.805342 -9.006 0.000 3.149101 3.027085 0.981 0 0.000
