Title: Gale2013MORB-5

Phase Masses:
Pressure Temperature mass liquid_0 clinopyroxene_0 feldspar_0 
5000.00 1573.15 100.141748 100.141748 0.000000 0.000000 
5000.00 1568.15 100.141896 100.141896 0.000000 0.000000 
5000.00 1563.15 100.142050 100.142050 0.000000 0.000000 
5000.00 1558.15 100.142210 100.142210 0.000000 0.000000 
5000.00 1553.15 100.142375 100.142375 0.000000 0.000000 
5000.00 1548.15 100.142546 100.142546 0.000000 0.000000 
5000.00 1543.15 100.142722 100.142722 0.000000 0.000000 
5000.00 1538.15 100.143005 99.502150 0.640854 0.000000 
5000.00 1533.15 100.143854 96.200148 3.943707 0.000000 
5000.00 1528.15 100.144854 92.138367 7.312726 0.693761 
5000.00 1523.15 100.145488 84.384755 11.311111 4.449622 
5000.00 1518.15 100.145914 77.349100 14.864062 7.932751 
5000.00 1513.15 100.146197 70.887083 18.061037 11.198076 
5000.00 1508.15 100.146403 64.908296 20.963563 14.274544 
5000.00 1503.15 100.146597 59.362481 23.613170 17.170946 
5000.00 1498.15 100.146840 54.224428 26.038735 19.883676 
