Title: Gale2013MORB-5

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.141748 1.0000000000000000 1.000000 275.967126 -1190224.189841 36.398936 -178.961498 2537.107723 150.458932 -7.247 0.000 2.751227 0.000000 1.888 0 0.000
5000.00 1568.15 100.141896 1.0000000000000000 1.000000 275.488484 -1190978.595330 36.386373 -179.010818 2537.169082 150.459695 -7.296 0.000 2.752181 0.000000 1.907 0 0.000
5000.00 1563.15 100.142050 1.0000000000000000 1.000000 275.008320 -1191733.084201 36.373815 -179.060289 2537.232641 150.460485 -7.346 0.000 2.753136 0.000000 1.927 0 0.000
5000.00 1558.15 100.142210 1.0000000000000000 1.000000 274.526622 -1192487.657975 36.361260 -179.109918 2537.298430 150.461304 -7.396 0.000 2.754091 0.000000 1.947 0 0.000
5000.00 1553.15 100.142375 1.0000000000000000 1.000000 274.043382 -1193242.318203 36.348709 -179.159708 2537.366484 150.462150 -7.447 0.000 2.755046 0.000000 1.966 0 0.000
5000.00 1548.15 100.142546 1.0000000000000000 1.000000 273.558589 -1193997.066471 36.336162 -179.209665 2537.436836 150.463025 -7.498 0.000 2.756002 0.000000 1.986 0 0.000
5000.00 1543.15 100.142722 1.0000000000000000 1.000000 273.072232 -1194751.904396 36.323618 -179.259793 2537.509520 150.463929 -7.549 0.000 2.756959 0.000000 2.007 0 0.000
5000.00 1538.15 100.143005 0.9936006078975990 0.994521 272.395367 -1195799.361694 36.279951 -178.633876 2531.054991 150.221111 -7.600 0.000 2.757730 3.224006 2.031 0 0.000
5000.00 1533.15 100.143854 0.9606195840694204 0.966169 270.936417 -1198055.124703 36.107179 -175.194746 2496.963809 148.967221 -7.652 0.000 2.757587 3.228421 2.072 0 0.000
5000.00 1528.15 100.144854 0.9200509391832762 0.929813 269.309699 -1200562.635163 35.924976 -170.515657 2450.989813 147.505859 -7.704 0.000 2.758343 3.175341 2.107 0 0.000
5000.00 1523.15 100.145488 0.8426216313224647 0.855395 266.836874 -1204346.800533 35.683433 -159.962616 2352.336693 144.999620 -7.757 0.000 2.764590 3.054398 2.109 0 0.000
5000.00 1518.15 100.145914 0.7723640194484178 0.786883 264.579943 -1207786.509216 35.466189 -150.216851 2262.029272 142.748621 -7.810 0.000 2.771599 3.016076 2.106 0 0.000
5000.00 1513.15 100.146197 0.7078359995169664 0.723130 262.497075 -1210948.540886 35.268436 -141.104867 2178.344953 140.702801 -7.863 0.000 2.779488 2.996391 2.098 0 0.000
5000.00 1508.15 100.146403 0.6481340663373907 0.663443 260.560231 -1213878.176696 35.086950 -132.526200 2100.230223 138.829499 -7.917 0.000 2.788372 2.984068 2.083 0 0.000
5000.00 1503.15 100.146597 0.5927558459391557 0.607490 258.751357 -1216605.231894 34.919644 -124.436659 2027.134910 137.108690 -7.970 0.000 2.798355 2.975575 2.062 0 0.000
5000.00 1498.15 100.146840 0.5414492198462391 0.555161 257.058697 -1219149.727030 34.765137 -116.827525 1958.818782 135.528143 -8.025 0.000 2.809521 2.969461 2.033 0 0.000
5000.00 1493.15 100.147183 0.4940653353519306 0.506429 255.473521 -1221526.834340 34.622386 -109.703570 1895.156502 134.079006 -8.079 0.000 2.821940 2.965011 1.997 0 0.000
5000.00 1488.15 100.147671 0.4504559414267673 0.461252 253.987946 -1223750.133428 34.490453 -103.066873 1836.000139 132.752860 -8.134 0.000 2.835675 2.961819 1.954 0 0.000
5000.00 1483.15 100.148333 0.4104329153061930 0.419529 252.594076 -1225832.903705 34.368408 -96.910120 1781.127058 131.540638 -8.190 0.000 2.850789 2.959625 1.903 0 0.000
5000.00 1478.15 100.149192 0.3737721851988091 0.381106 251.285347 -1227786.186966 34.255341 -91.217180 1730.249879 129.379385 -8.245 0.000 2.867348 2.958252 1.844 0 0.000
5000.00 1473.15 100.150265 0.3402266931129909 0.345792 250.054366 -1229622.024426 34.150374 -85.965320 1683.039880 128.495547 -8.302 0.000 2.885427 2.957573 1.778 0 0.000
5000.00 1468.15 100.151869 0.3083387698274349 0.312192 248.854266 -1231415.789188 34.050283 -80.957072 1636.800247 127.650227 -8.358 0.000 2.904987 2.957773 1.704 0 0.000
5000.00 1463.15 100.153789 0.2792596512016525 0.281513 247.717580 -1233116.269587 33.956759 -76.380841 1593.685035 126.873059 -8.415 0.000 2.925843 2.958700 1.625 0 0.000
5000.00 1458.15 100.156034 0.2527914740239999 0.253592 246.639705 -1234730.955440 33.869188 -72.218081 1553.427616 126.157122 -8.472 0.000 2.947804 2.960316 1.542 0 0.000
5000.00 1453.15 100.158618 0.2287478602467718 0.228278 245.616326 -1236266.959147 33.787029 -68.451715 1515.780515 125.496033 -8.530 0.000 2.970517 2.962604 1.457 0 0.000
5000.00 1448.15 100.161544 0.2069737102747545 0.205439 244.644189 -1237729.606838 33.709869 -65.067637 1480.579658 124.884838 -8.588 0.000 2.993480 2.965543 1.371 0 0.000
5000.00 1443.15 100.164799 0.1873251225488933 0.184944 243.720640 -1239122.981638 33.637408 -62.049657 1447.731157 124.319793 -8.646 0.000 3.016114 2.969082 1.289 0 0.000
5000.00 1438.15 100.168414 0.1688107388688477 0.165833 242.826983 -1240475.023587 33.565799 -59.308932 1415.985229 123.757275 -8.705 0.000 3.037818 2.973589 1.218 0 0.000
5000.00 1433.15 100.172328 0.1517851105961030 0.148426 241.970716 -1241774.222943 33.496960 -56.862469 1386.122705 123.224576 -8.765 0.000 3.058160 2.978695 1.157 0 0.000
5000.00 1428.15 100.173368 0.1258526080766104 0.122119 240.857809 -1243385.057350 33.437988 -53.518088 1340.621085 122.395939 -8.824 0.000 3.087388 2.983054 1.086 0 0.000
5000.00 1423.15 100.174747 0.1000556294813056 0.096372 239.745652 -1244995.281036 33.377415 -50.342196 1294.415351 121.559844 -8.885 0.000 3.115990 2.989039 1.022 0 0.000
5000.00 1418.15 100.176495 0.0744780383750624 0.071251 238.637938 -1246600.161180 33.315400 -47.341638 1247.913022 120.722458 -8.945 0.000 3.143090 2.996465 0.968 0 0.000
5000.00 1413.15 100.178486 0.0491677640536639 0.046751 237.536431 -1248194.965967 33.253317 -44.514451 1201.575191 119.889611 -9.006 0.000 3.168342 3.004947 0.924 0 0.000
5000.00 1408.15 100.180493 0.0244459982583514 0.023117 236.449377 -1249764.094079 33.193597 -41.887108 1156.354162 119.075199 -9.067 0.000 3.191556 3.013961 0.888 0 0.000
5000.00 1403.15 100.182177 0.0006543528820026 0.000616 235.384639 -1251290.622200 33.138870 -39.486248 1113.128309 118.292362 -9.129 0.000 3.212686 3.022985 0.859 0 0.000
5000.00 1398.15 100.236773 0.0000000000000000 0.000000 235.359423 -1252348.234719 33.276559 -39.445339 1101.283985 118.433815 -9.192 0.000 0.000000 3.012234 0.876 0 0.000
5000.00 1393.15 100.235962 0.0000000000000000 0.000000 234.922312 -1252943.933043 33.269120 -39.441892 1099.664537 118.378117 -9.254 0.000 0.000000 3.012883 0.876 0 0.000
5000.00 1388.15 100.235147 0.0000000000000000 0.000000 234.483781 -1253539.377060 33.261643 -39.438382 1098.048177 118.322119 -9.318 0.000 0.000000 3.013536 0.876 0 0.000
5000.00 1383.15 100.234329 0.0000000000000000 0.000000 234.043817 -1254134.564336 33.254124 -39.434811 1096.435045 118.265818 -9.381 0.000 0.000000 3.014192 0.876 0 0.000
5000.00 1378.15 100.233507 0.0000000000000000 0.000000 233.602406 -1254729.492059 33.246563 -39.431177 1094.825282 118.209210 -9.445 0.000 0.000000 3.014853 0.876 0 0.000
5000.00 1373.15 100.232681 0.0000000000000000 0.000000 233.159534 -1255324.156991 33.238958 -39.427481 1093.219036 118.152294 -9.510 0.000 0.000000 3.015518 0.876 0 0.000
5000.00 1368.15 100.231849 0.0000000000000000 0.000000 232.703101 -1255935.149990 33.231309 -39.423723 1091.616459 118.224687 -9.575 0.000 0.000000 3.016187 0.876 0 0.000
5000.00 1363.15 100.231013 0.0000000000000000 0.000000 232.256793 -1256529.922392 33.223613 -39.419904 1090.017704 118.165810 -9.640 0.000 0.000000 3.016861 0.876 0 0.000
5000.00 1358.15 100.230170 0.0000000000000000 0.000000 231.808983 -1257124.412478 33.215869 -39.416024 1088.422929 118.106624 -9.706 0.000 0.000000 3.017539 0.876 0 0.000
5000.00 1353.15 100.229320 0.0000000000000000 0.000000 231.359658 -1257718.614708 33.208075 -39.412083 1086.832294 118.047127 -9.773 0.000 0.000000 3.018221 0.876 0 0.000
5000.00 1348.15 100.228464 0.0000000000000000 0.000000 230.908799 -1258312.522752 33.200231 -39.408083 1085.245961 117.987313 -9.840 0.000 0.000000 3.018909 0.876 0 0.000
5000.00 1343.15 100.227599 0.0000000000000000 0.000000 230.456392 -1258906.129398 33.192334 -39.404026 1083.664094 117.927180 -9.907 0.000 0.000000 3.019601 0.876 0 0.000
5000.00 1338.15 100.226724 0.0000000000000000 0.000000 230.002420 -1259499.426439 33.184384 -39.399912 1082.086855 117.866724 -9.975 0.000 0.000000 3.020298 0.876 0 0.000
5000.00 1333.15 100.225840 0.0000000000000000 0.000000 229.546866 -1260092.404556 33.176379 -39.395743 1080.514407 117.805941 -10.044 0.000 0.000000 3.021000 0.876 0 0.000
5000.00 1328.15 100.224945 0.0000000000000000 0.000000 229.089712 -1260685.053186 33.168318 -39.391522 1078.946907 117.744827 -10.113 0.000 0.000000 3.021707 0.876 0 0.000
5000.00 1323.15 100.224038 0.0000000000000000 0.000000 228.630941 -1261277.360381 33.160199 -39.387250 1077.384512 117.683377 -10.183 0.000 0.000000 3.022420 0.876 0 0.000
5000.00 1318.15 100.223117 0.0000000000000000 0.000000 228.170534 -1261869.312655 33.152021 -39.382931 1075.827369 117.621589 -10.253 0.000 0.000000 3.023137 0.876 0 0.000
5000.00 1313.15 100.222182 0.0000000000000000 0.000000 227.708473 -1262460.894821 33.143784 -39.378568 1074.275617 117.559456 -10.323 0.000 0.000000 3.023861 0.876 0 0.000
5000.00 1308.15 100.221230 0.0000000000000000 0.000000 227.244638 -1263052.223202 33.135483 -39.413745 1082.939740 117.841583 -10.394 0.000 0.000000 3.024589 0.876 0 0.000
5000.00 1303.15 100.220260 0.0000000000000000 0.000000 226.777892 -1263644.737464 33.127075 -39.409398 1081.437468 117.780007 -10.466 0.000 0.000000 3.025328 0.876 0 0.000
5000.00 1298.15 100.219271 0.0000000000000000 0.000000 226.309425 -1264236.829397 33.118607 -39.405032 1079.942302 117.718120 -10.538 0.000 0.000000 3.026071 0.876 0 0.000
5000.00 1293.15 100.217384 0.0000000000000000 0.000000 225.822424 -1264834.986370 33.106177 -39.398141 1078.777547 117.653527 -10.611 0.000 0.000000 3.027151 0.876 0 0.000
5000.00 1288.15 100.215352 0.0000000000000000 0.000000 225.332732 -1265431.693682 33.093616 -39.391298 1077.626334 117.588491 -10.684 0.000 0.000000 3.028238 0.876 0 0.000
5000.00 1283.15 100.213240 0.0000000000000000 0.000000 224.841635 -1266026.398027 33.081229 -39.384695 1076.463174 117.523192 -10.758 0.000 0.000000 3.029308 0.876 0 0.000
5000.00 1278.15 100.211048 0.0000000000000000 0.000000 224.349132 -1266619.098335 33.069015 -39.378322 1075.287832 117.457626 -10.833 0.000 0.000000 3.030361 0.876 0 0.000
5000.00 1273.15 100.208778 0.0000000000000000 0.000000 223.855222 -1267209.797129 33.056973 -39.372170 1074.100126 117.391790 -10.908 0.000 0.000000 3.031396 0.876 0 0.000
5000.00 1268.15 100.206430 0.0000000000000000 0.000000 223.359905 -1267798.500700 33.045103 -39.366229 1072.899929 117.325682 -10.984 0.000 0.000000 3.032414 0.876 0 0.000
5000.00 1263.15 100.204005 0.0000000000000000 0.000000 222.863179 -1268385.219267 33.033403 -39.360488 1071.687174 117.259302 -11.060 0.000 0.000000 3.033415 0.876 0 0.000
5000.00 1258.15 100.201505 0.0000000000000000 0.000000 222.365042 -1268969.967094 33.021872 -39.354938 1070.461855 117.192648 -11.137 0.000 0.000000 3.034398 0.876 0 0.000
5000.00 1253.15 100.198932 0.0000000000000000 0.000000 221.865493 -1269552.762590 33.010508 -39.349567 1069.224028 117.125721 -11.214 0.000 0.000000 3.035365 0.876 0 0.000
