Title: Gale2013MORB-0

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.130941 51.5 1.62704 15.1289 1.30525 8.11737 0.188148 7.63039 11.4792 2.70889 0.13407 0.180746
5000.00 1568.15 100.131079 51.4999 1.62704 15.1289 1.30662 8.11613 0.188148 7.63038 11.4792 2.70889 0.13407 0.180746
5000.00 1563.15 100.131222 51.4998 1.62703 15.1289 1.30804 8.11484 0.188147 7.63037 11.4792 2.70889 0.13407 0.180746
5000.00 1558.15 100.131370 51.4998 1.62703 15.1288 1.30951 8.1135 0.188147 7.63035 11.4792 2.70888 0.134069 0.180746
5000.00 1553.15 100.131522 51.4997 1.62703 15.1288 1.31103 8.11212 0.188147 7.63034 11.4791 2.70888 0.134069 0.180745
5000.00 1548.15 100.131680 51.4996 1.62703 15.1288 1.3126 8.11069 0.188147 7.63033 11.4791 2.70887 0.134069 0.180745
5000.00 1543.15 100.131844 51.4995 1.62702 15.1288 1.31423 8.10921 0.188146 7.63032 11.4791 2.70887 0.134069 0.180745
5000.00 1538.15 100.131683 51.4996 1.62703 15.1288 1.31263 8.11066 0.188147 7.63033 11.4791 2.70887 0.134069 0.180745
5000.00 1533.15 100.131297 51.4998 1.62703 15.1289 1.30879 8.11415 0.188147 7.63036 11.4792 2.70888 0.13407 0.180746
5000.00 1528.15 100.131118 51.4999 1.62704 15.1289 1.307 8.11578 0.188148 7.63037 11.4792 2.70889 0.13407 0.180746
5000.00 1523.15 100.131114 51.4999 1.62704 15.1289 1.30697 8.11581 0.188148 7.63037 11.4792 2.70889 0.13407 0.180746
5000.00 1518.15 100.131270 51.4998 1.62703 15.1289 1.30852 8.1144 0.188147 7.63036 11.4792 2.70889 0.13407 0.180746
5000.00 1513.15 100.130708 51.5001 1.62704 15.1289 1.30293 8.11948 0.188148 7.6304 11.4792 2.7089 0.13407 0.180747
5000.00 1508.15 100.129208 51.5009 1.62707 15.1292 1.28799 8.13306 0.188151 7.63052 11.4794 2.70894 0.134072 0.18075
5000.00 1503.15 100.127592 51.5017 1.62709 15.1294 1.2719 8.14769 0.188154 7.63064 11.4796 2.70899 0.134075 0.180753
5000.00 1498.15 100.125998 51.5025 1.62712 15.1297 1.25603 8.16212 0.188157 7.63076 11.4798 2.70903 0.134077 0.180755
5000.00 1493.15 100.124519 51.5033 1.62714 15.1299 1.24131 8.1755 0.18816 7.63088 11.4799 2.70907 0.134079 0.180758
5000.00 1488.15 100.123142 51.504 1.62717 15.1301 1.2276 8.18796 0.188163 7.63098 11.4801 2.70911 0.13408 0.180761
5000.00 1483.15 100.121852 51.5047 1.62719 15.1303 1.21476 8.19964 0.188165 7.63108 11.4802 2.70914 0.134082 0.180763
