Title: Gale2013MORB-0

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.130941 51.5 1.62704 15.1289 1.30525 8.11737 0.188148 7.63039 11.4792 2.70889 0.13407 0.180746
5000.00 1568.15 100.131079 51.4999 1.62704 15.1289 1.30662 8.11613 0.188148 7.63038 11.4792 2.70889 0.13407 0.180746
5000.00 1563.15 100.131222 51.4998 1.62703 15.1289 1.30804 8.11484 0.188147 7.63037 11.4792 2.70889 0.13407 0.180746
5000.00 1558.15 100.131370 51.4998 1.62703 15.1288 1.30951 8.1135 0.188147 7.63035 11.4792 2.70888 0.134069 0.180746
5000.00 1553.15 100.131522 51.4997 1.62703 15.1288 1.31103 8.11212 0.188147 7.63034 11.4791 2.70888 0.134069 0.180745
5000.00 1548.15 100.131680 51.4996 1.62703 15.1288 1.3126 8.11069 0.188147 7.63033 11.4791 2.70887 0.134069 0.180745
5000.00 1543.15 100.131844 51.4995 1.62702 15.1288 1.31423 8.10921 0.188146 7.63032 11.4791 2.70887 0.134069 0.180745
5000.00 1538.15 98.846346 51.4919 1.64474 15.2692 1.31617 8.12575 0.190593 7.4816 11.4199 2.74115 0.135812 0.183095
5000.00 1533.15 95.982999 51.486 1.68438 15.5849 1.31773 8.16817 0.196279 7.15989 11.2588 2.81548 0.139864 0.188557
5000.00 1528.15 93.220172 51.4941 1.7229 15.8941 1.31812 8.20739 0.202096 6.85338 11.0791 2.8907 0.144009 0.194146
5000.00 1523.15 90.565876 51.5159 1.76002 16.1956 1.31729 8.24009 0.208019 6.55951 10.889 2.96649 0.14823 0.199836
5000.00 1518.15 88.017368 51.5512 1.79554 16.4891 1.3152 8.26468 0.214042 6.27692 10.6924 3.04277 0.152522 0.205622
5000.00 1513.15 82.634696 51.596 1.89244 16.5051 1.34061 8.47398 0.227984 6.02636 10.4283 3.12857 0.161674 0.219016
5000.00 1508.15 74.987316 51.6122 2.061 16.2478 1.39361 8.85811 0.251235 5.78951 10.1575 3.2115 0.176211 0.241352
5000.00 1503.15 67.943580 51.5905 2.24728 15.9644 1.44781 9.23994 0.27728 5.55253 9.94464 3.2773 0.191885 0.266373
