Title: Gale2013MORB-0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.130941 100.130941 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.131079 100.131079 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.131222 100.131222 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.131370 100.131370 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.131522 100.131522 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.131680 100.131680 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.131844 100.131844 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.131683 98.846346 0.000000 1.285337 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.131297 95.982999 0.000000 4.148298 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.131118 93.220172 0.000000 6.910946 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.131114 90.565876 0.000000 9.565238 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.131270 88.017368 0.000000 12.113902 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.130708 82.634696 0.000000 15.250963 0.000000 2.245049 0.000000 0.000000 0.000000 
5000.00 1508.15 100.129208 74.987316 0.000000 18.718800 0.000000 6.423092 0.000000 0.000000 0.000000 
5000.00 1503.15 100.127592 67.943580 0.000000 21.823907 0.000000 10.360105 0.000000 0.000000 0.000000 
5000.00 1498.15 100.125998 61.514396 0.000000 23.447392 1.146726 14.017484 0.000000 0.000000 0.000000 
5000.00 1493.15 100.124519 55.717292 0.000000 23.683588 3.384785 17.338854 0.000000 0.000000 0.000000 
5000.00 1488.15 100.123142 50.515224 0.000000 23.892152 5.401238 20.314529 0.000000 0.000000 0.000000 
5000.00 1483.15 100.121852 45.812306 0.000000 24.089201 7.225587 22.994759 0.000000 0.000000 0.000000 
5000.00 1478.15 100.120635 41.534201 0.000000 24.283066 8.884363 25.419004 0.000000 0.000000 0.000000 
5000.00 1473.15 100.119472 37.621402 0.000000 24.476632 10.401729 27.619709 0.000000 0.000000 0.000000 
5000.00 1468.15 100.118346 34.028910 0.000000 24.669643 11.798013 29.621780 0.000000 0.000000 0.000000 
5000.00 1463.15 100.117237 30.722584 0.000000 24.859730 13.090185 31.444737 0.000000 0.000000 0.000000 
5000.00 1458.15 100.116119 27.676971 0.000000 25.043176 14.291999 33.103973 0.000000 0.000000 0.000000 
5000.00 1453.15 100.114964 24.874206 0.000000 25.215488 15.413935 34.611335 0.000000 0.000000 0.000000 
5000.00 1448.15 100.113740 22.303171 0.000000 25.371865 16.463190 35.975514 0.000000 0.000000 0.000000 
5000.00 1443.15 100.112412 19.958617 0.000000 25.507699 17.443772 37.202324 0.000000 0.000000 0.000000 
5000.00 1438.15 100.110951 17.838460 0.000000 25.619491 18.357379 38.295127 0.000000 0.000000 0.000494 
5000.00 1433.15 100.109269 15.877671 0.000000 25.717676 19.230856 39.255823 0.000000 0.000000 0.027244 
5000.00 1428.15 100.107472 14.165800 0.000000 25.788495 20.028156 40.074932 0.000000 0.000000 0.050088 
5000.00 1423.15 100.105587 12.693584 0.000000 25.836099 20.748547 40.757849 0.000000 0.000000 0.069510 
5000.00 1418.15 100.103660 11.442107 0.000000 25.866473 21.394106 41.314896 0.000000 0.000000 0.086077 
5000.00 1413.15 100.101732 10.384494 0.000000 25.885806 21.969981 41.761072 0.000000 0.000000 0.100379 
5000.00 1408.15 100.099834 9.490545 0.000000 25.899246 22.483463 42.113627 0.000000 0.000000 0.112954 
5000.00 1403.15 100.097988 8.731321 0.000000 25.910568 22.942670 42.389165 0.000000 0.000000 0.124263 
5000.00 1398.15 100.096347 7.558823 0.000000 26.389821 22.935799 42.715510 0.000000 0.331657 0.164739 
5000.00 1393.15 100.094417 6.482614 0.000000 26.862185 22.775847 43.075088 0.000000 0.694606 0.204077 
5000.00 1388.15 100.092240 5.670279 0.000000 27.152909 22.663747 43.416639 0.000000 0.957093 0.231573 
5000.00 1383.15 100.089979 5.028221 0.000000 27.336187 22.580892 43.733916 0.000000 1.158657 0.252106 
5000.00 1378.15 100.087717 4.503389 0.000000 27.451975 22.517648 44.025960 0.000000 1.320498 0.268247 
