Title: Gale2013MORB-2

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.131003 52.8682 1.54307 14.1757 1.30586 7.92029 0.197379 7.29019 11.549 2.82513 0.13725 0.187903
5000.00 1568.15 100.131140 52.8682 1.54307 14.1756 1.30723 7.91905 0.197379 7.29018 11.549 2.82512 0.137249 0.187903
5000.00 1563.15 100.131283 52.8681 1.54307 14.1756 1.30865 7.91776 0.197379 7.29017 11.549 2.82512 0.137249 0.187902
5000.00 1558.15 100.131430 52.868 1.54306 14.1756 1.31012 7.91643 0.197378 7.29016 11.549 2.82512 0.137249 0.187902
5000.00 1553.15 100.131582 52.8679 1.54306 14.1756 1.31163 7.91505 0.197378 7.29015 11.549 2.82511 0.137249 0.187902
5000.00 1548.15 100.131740 52.8678 1.54306 14.1755 1.3132 7.91363 0.197378 7.29014 11.5489 2.82511 0.137249 0.187901
5000.00 1543.15 100.131903 52.8678 1.54306 14.1755 1.31482 7.91215 0.197377 7.29013 11.5489 2.8251 0.137248 0.187901
5000.00 1538.15 100.131333 52.8681 1.54306 14.1756 1.30916 7.9173 0.197379 7.29017 11.549 2.82512 0.137249 0.187902
5000.00 1533.15 100.130915 52.8683 1.54307 14.1757 1.30499 7.92109 0.197379 7.2902 11.549 2.82513 0.13725 0.187903
5000.00 1528.15 100.130663 52.8684 1.54308 14.1757 1.30248 7.92337 0.19738 7.29022 11.5491 2.82514 0.13725 0.187903
5000.00 1523.15 100.130559 52.8685 1.54308 14.1757 1.30145 7.92431 0.19738 7.29023 11.5491 2.82514 0.13725 0.187904
5000.00 1518.15 100.130590 52.8685 1.54308 14.1757 1.30175 7.92403 0.19738 7.29022 11.5491 2.82514 0.13725 0.187904
5000.00 1513.15 100.130744 52.8684 1.54307 14.1757 1.30329 7.92263 0.19738 7.29021 11.5491 2.82513 0.13725 0.187903
5000.00 1508.15 100.130604 52.8684 1.54308 14.1757 1.30189 7.92391 0.19738 7.29022 11.5491 2.82514 0.13725 0.187904
5000.00 1503.15 100.129313 52.8691 1.5431 14.1759 1.28904 7.93559 0.197383 7.29032 11.5492 2.82518 0.137252 0.187906
5000.00 1498.15 100.127886 52.8699 1.54312 14.1761 1.27483 7.9485 0.197385 7.29042 11.5494 2.82522 0.137254 0.187909
5000.00 1493.15 100.126386 52.8707 1.54314 14.1763 1.25991 7.96207 0.197388 7.29053 11.5496 2.82526 0.137256 0.187912
5000.00 1488.15 100.124861 52.8715 1.54316 14.1765 1.24471 7.97588 0.197391 7.29064 11.5497 2.8253 0.137258 0.187914
5000.00 1483.15 100.123334 52.8723 1.54319 14.1767 1.22952 7.98969 0.197394 7.29075 11.5499 2.82534 0.13726 0.187917
5000.00 1478.15 100.121828 52.8731 1.54321 14.1769 1.21452 8.00332 0.197397 7.29086 11.5501 2.82539 0.137262 0.18792
5000.00 1473.15 100.120375 52.8738 1.54323 14.1772 1.20005 8.01647 0.1974 7.29097 11.5503 2.82543 0.137264 0.187923
5000.00 1468.15 100.118945 52.8746 1.54326 14.1774 1.18582 8.02941 0.197403 7.29107 11.5504 2.82547 0.137266 0.187925
5000.00 1463.15 100.117526 52.8754 1.54328 14.1776 1.17168 8.04226 0.197406 7.29117 11.5506 2.82551 0.137268 0.187928
5000.00 1458.15 100.116105 52.8761 1.5433 14.1778 1.15753 8.05512 0.197409 7.29128 11.5508 2.82555 0.13727 0.187931
5000.00 1453.15 100.114670 52.8769 1.54332 14.178 1.14324 8.06811 0.197411 7.29138 11.5509 2.82559 0.137272 0.187934
5000.00 1448.15 100.113209 52.8776 1.54334 14.1782 1.1287 8.08133 0.197414 7.29149 11.5511 2.82563 0.137274 0.187936
5000.00 1443.15 100.111713 52.8784 1.54337 14.1784 1.11379 8.09488 0.197417 7.2916 11.5513 2.82567 0.137276 0.187939
5000.00 1438.15 100.110172 52.8792 1.54339 14.1786 1.09845 8.10882 0.19742 7.29171 11.5514 2.82572 0.137278 0.187942
5000.00 1433.15 100.108584 52.8801 1.54342 14.1788 1.08263 8.1232 0.197423 7.29183 11.5516 2.82576 0.13728 0.187945
5000.00 1428.15 100.106946 52.8809 1.54344 14.1791 1.06632 8.13802 0.197427 7.29195 11.5518 2.82581 0.137283 0.187948
5000.00 1423.15 100.105177 52.8819 1.54347 14.1793 1.0487 8.15404 0.19743 7.29207 11.552 2.82586 0.137285 0.187951
5000.00 1418.15 100.103397 52.8828 1.5435 14.1796 1.03097 8.17016 0.197434 7.2922 11.5522 2.82591 0.137287 0.187955
5000.00 1413.15 100.101607 52.8838 1.54352 14.1798 1.01314 8.18636 0.197437 7.29233 11.5524 2.82596 0.13729 0.187958
5000.00 1408.15 100.099819 52.8847 1.54355 14.1801 0.995328 8.20255 0.197441 7.29246 11.5526 2.82601 0.137292 0.187961
5000.00 1403.15 100.098045 52.8856 1.54358 14.1803 0.977658 8.21861 0.197444 7.29259 11.5528 2.82606 0.137295 0.187965
5000.00 1398.15 100.096295 52.8866 1.5436 14.1806 0.960228 8.23446 0.197448 7.29272 11.553 2.82611 0.137297 0.187968
5000.00 1393.15 100.094440 52.8875 1.54363 14.1808 0.941751 8.25125 0.197451 7.29286 11.5533 2.82616 0.1373 0.187971
5000.00 1388.15 100.091976 52.8889 1.54367 14.1812 0.917195 8.27357 0.197456 7.29304 11.5535 2.82623 0.137303 0.187976
5000.00 1383.15 100.089553 52.8901 1.54371 14.1815 0.893062 8.29551 0.197461 7.29321 11.5538 2.8263 0.137306 0.187981
5000.00 1378.15 100.087203 52.8914 1.54375 14.1819 0.869641 8.31679 0.197466 7.29338 11.5541 2.82636 0.13731 0.187985
5000.00 1373.15 100.084936 52.8926 1.54378 14.1822 0.847053 8.33732 0.19747 7.29355 11.5543 2.82643 0.137313 0.187989
5000.00 1368.15 100.082751 52.8937 1.54381 14.1825 0.825281 8.35711 0.197474 7.29371 11.5546 2.82649 0.137316 0.187993
5000.00 1363.15 100.080652 52.8948 1.54385 14.1828 0.80437 8.37612 0.197479 7.29386 11.5548 2.82655 0.137319 0.187997
5000.00 1358.15 100.078638 52.8959 1.54388 14.1831 0.784294 8.39437 0.197482 7.29401 11.5551 2.82661 0.137321 0.188001
5000.00 1353.15 100.076703 52.8969 1.54391 14.1833 0.765012 8.41189 0.197486 7.29415 11.5553 2.82666 0.137324 0.188005
5000.00 1348.15 100.074843 52.8979 1.54394 14.1836 0.74648 8.42874 0.19749 7.29428 11.5555 2.82671 0.137327 0.188008
5000.00 1343.15 100.073055 52.8989 1.54396 14.1839 0.728655 8.44494 0.197494 7.29441 11.5557 2.82676 0.137329 0.188012
5000.00 1338.15 100.071333 52.8998 1.54399 14.1841 0.711494 8.46054 0.197497 7.29454 11.5559 2.82681 0.137331 0.188015
5000.00 1333.15 100.069674 52.9006 1.54402 14.1843 0.694955 8.47557 0.1975 7.29466 11.5561 2.82686 0.137334 0.188018
5000.00 1328.15 100.068073 52.9015 1.54404 14.1846 0.679002 8.49007 0.197503 7.29478 11.5563 2.8269 0.137336 0.188021
5000.00 1323.15 100.066528 52.9023 1.54406 14.1848 0.663599 8.50407 0.197506 7.29489 11.5565 2.82695 0.137338 0.188024
5000.00 1318.15 100.065035 52.9031 1.54409 14.185 0.648714 8.5176 0.197509 7.295 11.5566 2.82699 0.13734 0.188027
5000.00 1313.15 100.063590 52.9039 1.54411 14.1852 0.634316 8.53069 0.197512 7.2951 11.5568 2.82703 0.137342 0.188029
5000.00 1308.15 100.062192 52.9046 1.54413 14.1854 0.620377 8.54336 0.197515 7.29521 11.557 2.82707 0.137344 0.188032
5000.00 1303.15 100.060837 52.9053 1.54415 14.1856 0.606873 8.55563 0.197518 7.29531 11.5571 2.82711 0.137346 0.188035
5000.00 1298.15 100.060018 52.9057 1.54416 14.1857 0.598706 8.56306 0.197519 7.29537 11.5572 2.82713 0.137347 0.188036
5000.00 1293.15 100.059498 52.906 1.54417 14.1858 0.59352 8.56777 0.19752 7.2954 11.5573 2.82715 0.137348 0.188037
5000.00 1288.15 100.058975 52.9063 1.54418 14.1859 0.588312 8.5725 0.197521 7.29544 11.5573 2.82716 0.137348 0.188038
5000.00 1283.15 100.058453 52.9066 1.54419 14.1859 0.583104 8.57724 0.197522 7.29548 11.5574 2.82718 0.137349 0.188039
5000.00 1278.15 100.057562 52.907 1.5442 14.1861 0.574223 8.58531 0.197524 7.29554 11.5575 2.8272 0.13735 0.188041
5000.00 1273.15 100.057023 52.9073 1.54421 14.1861 0.568849 8.59019 0.197525 7.29558 11.5576 2.82722 0.137351 0.188042
5000.00 1268.15 100.056485 52.9076 1.54422 14.1862 0.563485 8.59507 0.197526 7.29562 11.5576 2.82723 0.137352 0.188043
5000.00 1263.15 100.055948 52.9079 1.54423 14.1863 0.558133 8.59993 0.197527 7.29566 11.5577 2.82725 0.137353 0.188044
5000.00 1258.15 100.055413 52.9082 1.54424 14.1864 0.552791 8.60479 0.197528 7.2957 11.5578 2.82726 0.137353 0.188045
5000.00 1253.15 100.054878 52.9085 1.54424 14.1864 0.547462 8.60963 0.197529 7.29574 11.5578 2.82728 0.137354 0.188046
5000.00 1248.15 100.054345 52.9087 1.54425 14.1865 0.542144 8.61447 0.19753 7.29578 11.5579 2.82729 0.137355 0.188047
5000.00 1243.15 100.053812 52.909 1.54426 14.1866 0.536838 8.61929 0.197531 7.29582 11.5579 2.82731 0.137355 0.188048
5000.00 1238.15 100.053281 52.9093 1.54427 14.1867 0.531543 8.6241 0.197533 7.29586 11.558 2.82732 0.137356 0.188049
5000.00 1233.15 100.052752 52.9096 1.54428 14.1867 0.526261 8.6289 0.197534 7.29589 11.5581 2.82734 0.137357 0.18805
5000.00 1228.15 100.052223 52.9099 1.54428 14.1868 0.520991 8.63369 0.197535 7.29593 11.5581 2.82735 0.137358 0.188051
5000.00 1223.15 100.051696 52.9101 1.54429 14.1869 0.515734 8.63847 0.197536 7.29597 11.5582 2.82737 0.137358 0.188052
5000.00 1218.15 100.051170 52.9104 1.5443 14.187 0.51049 8.64324 0.197537 7.29601 11.5582 2.82738 0.137359 0.188053
5000.00 1213.15 100.050645 52.9107 1.54431 14.187 0.505258 8.64799 0.197538 7.29605 11.5583 2.8274 0.13736 0.188054
5000.00 1208.15 100.050122 52.911 1.54432 14.1871 0.500039 8.65274 0.197539 7.29609 11.5584 2.82741 0.137361 0.188055
5000.00 1203.15 100.049600 52.9113 1.54433 14.1872 0.494833 8.65747 0.19754 7.29612 11.5584 2.82743 0.137361 0.188056
5000.00 1198.15 100.049079 52.9115 1.54433 14.1873 0.489641 8.66219 0.197541 7.29616 11.5585 2.82744 0.137362 0.188057
5000.00 1193.15 100.048560 52.9118 1.54434 14.1873 0.484462 8.6669 0.197542 7.2962 11.5585 2.82746 0.137363 0.188058
5000.00 1188.15 100.048042 52.9121 1.54435 14.1874 0.479297 8.67159 0.197543 7.29624 11.5586 2.82747 0.137363 0.188059
5000.00 1183.15 100.047525 52.9123 1.54436 14.1875 0.474146 8.67627 0.197544 7.29628 11.5587 2.82748 0.137364 0.18806
5000.00 1178.15 100.047010 52.9126 1.54437 14.1876 0.469009 8.68094 0.197545 7.29631 11.5587 2.8275 0.137365 0.188061
5000.00 1173.15 100.046496 52.9129 1.54437 14.1876 0.463886 8.6856 0.197546 7.29635 11.5588 2.82751 0.137366 0.188062
5000.00 1168.15 100.045984 52.9132 1.54438 14.1877 0.458778 8.69024 0.197547 7.29639 11.5588 2.82753 0.137366 0.188063
5000.00 1163.15 100.045473 52.9134 1.54439 14.1878 0.453683 8.69487 0.197548 7.29643 11.5589 2.82754 0.137367 0.188063
5000.00 1158.15 100.044964 52.9137 1.5444 14.1878 0.448604 8.69949 0.197549 7.29646 11.559 2.82756 0.137368 0.188064
5000.00 1153.15 100.044520 52.9139 1.5444 14.1879 0.444177 8.70351 0.19755 7.2965 11.559 2.82757 0.137368 0.188065
5000.00 1148.15 100.044012 52.9142 1.54441 14.188 0.439114 8.70811 0.197551 7.29653 11.5591 2.82758 0.137369 0.188066
5000.00 1143.15 100.043009 52.9147 1.54443 14.1881 0.429111 8.71721 0.197553 7.29661 11.5592 2.82761 0.13737 0.188068
5000.00 1138.15 100.041508 52.9155 1.54445 14.1883 0.414142 8.73081 0.197556 7.29671 11.5594 2.82765 0.137372 0.188071
5000.00 1133.15 100.040009 52.9163 1.54447 14.1885 0.39919 8.7444 0.197559 7.29682 11.5595 2.8277 0.137374 0.188074
5000.00 1128.15 100.038513 52.9171 1.5445 14.1888 0.384276 8.75796 0.197562 7.29693 11.5597 2.82774 0.137376 0.188077
5000.00 1123.15 100.037180 52.9178 1.54452 14.1889 0.370974 8.77005 0.197564 7.29703 11.5599 2.82778 0.137378 0.188079
5000.00 1118.15 100.036531 52.9182 1.54453 14.189 0.364509 8.77593 0.197566 7.29708 11.5599 2.8278 0.137379 0.18808
5000.00 1113.15 100.035890 52.9185 1.54454 14.1891 0.358115 8.78174 0.197567 7.29712 11.56 2.82781 0.13738 0.188082
5000.00 1108.15 100.035256 52.9188 1.54455 14.1892 0.351791 8.78749 0.197568 7.29717 11.5601 2.82783 0.137381 0.188083
5000.00 1103.15 100.034629 52.9192 1.54456 14.1893 0.345537 8.79317 0.197569 7.29722 11.5602 2.82785 0.137382 0.188084
5000.00 1098.15 100.034009 52.9195 1.54457 14.1894 0.339354 8.79879 0.197571 7.29726 11.5602 2.82787 0.137383 0.188085
5000.00 1093.15 100.033396 52.9198 1.54458 14.1895 0.333241 8.80435 0.197572 7.29731 11.5603 2.82788 0.137384 0.188086
5000.00 1088.15 100.032791 52.9201 1.54458 14.1896 0.327197 8.80984 0.197573 7.29735 11.5604 2.8279 0.137384 0.188087
5000.00 1083.15 100.032192 52.9205 1.54459 14.1897 0.321224 8.81527 0.197574 7.29739 11.5604 2.82792 0.137385 0.188088
5000.00 1078.15 100.031600 52.9208 1.5446 14.1897 0.315319 8.82064 0.197575 7.29744 11.5605 2.82793 0.137386 0.18809
5000.00 1073.15 100.031015 52.9211 1.54461 14.1898 0.309484 8.82594 0.197577 7.29748 11.5606 2.82795 0.137387 0.188091
5000.00 1068.15 100.030437 52.9214 1.54462 14.1899 0.303718 8.83118 0.197578 7.29752 11.5606 2.82797 0.137388 0.188092
5000.00 1063.15 100.029865 52.9217 1.54463 14.19 0.29802 8.83636 0.197579 7.29756 11.5607 2.82798 0.137388 0.188093
5000.00 1058.15 100.029301 52.922 1.54464 14.1901 0.29239 8.84148 0.19758 7.29761 11.5608 2.828 0.137389 0.188094
5000.00 1053.15 100.028744 52.9223 1.54465 14.1901 0.286829 8.84653 0.197581 7.29765 11.5608 2.82802 0.13739 0.188095
5000.00 1048.15 100.028193 52.9226 1.54466 14.1902 0.281335 8.85153 0.197582 7.29769 11.5609 2.82803 0.137391 0.188096
5000.00 1043.15 100.027649 52.9229 1.54466 14.1903 0.275909 8.85646 0.197583 7.29773 11.561 2.82805 0.137391 0.188097
5000.00 1038.15 100.027112 52.9231 1.54467 14.1904 0.27055 8.86133 0.197584 7.29777 11.561 2.82806 0.137392 0.188098
5000.00 1033.15 100.026581 52.9234 1.54468 14.1904 0.265257 8.86614 0.197585 7.2978 11.5611 2.82808 0.137393 0.188099
5000.00 1028.15 100.026057 52.9237 1.54469 14.1905 0.260031 8.87089 0.197586 7.29784 11.5611 2.82809 0.137394 0.1881
5000.00 1023.15 100.025540 52.924 1.5447 14.1906 0.254871 8.87558 0.197587 7.29788 11.5612 2.82811 0.137394 0.188101
