Title: Gale2013MORB-2

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.131003 52.8682 1.54307 14.1757 1.30586 7.92029 0.197379 7.29019 11.549 2.82513 0.13725 0.187903
5000.00 1568.15 100.131140 52.8682 1.54307 14.1756 1.30723 7.91905 0.197379 7.29018 11.549 2.82512 0.137249 0.187903
5000.00 1563.15 100.131283 52.8681 1.54307 14.1756 1.30865 7.91776 0.197379 7.29017 11.549 2.82512 0.137249 0.187902
5000.00 1558.15 100.131430 52.868 1.54306 14.1756 1.31012 7.91643 0.197378 7.29016 11.549 2.82512 0.137249 0.187902
5000.00 1553.15 100.131582 52.8679 1.54306 14.1756 1.31163 7.91505 0.197378 7.29015 11.549 2.82511 0.137249 0.187902
5000.00 1548.15 100.131740 52.8678 1.54306 14.1755 1.3132 7.91363 0.197378 7.29014 11.5489 2.82511 0.137249 0.187901
5000.00 1543.15 100.131903 52.8678 1.54306 14.1755 1.31482 7.91215 0.197377 7.29013 11.5489 2.8251 0.137248 0.187901
5000.00 1538.15 97.438973 52.887 1.57869 14.4562 1.31676 7.94991 0.202832 6.98037 11.3974 2.89673 0.141042 0.193094
5000.00 1533.15 94.720623 52.9196 1.61514 14.7444 1.31759 7.98661 0.208653 6.67094 11.2208 2.97243 0.145089 0.198636
5000.00 1528.15 92.121576 52.9645 1.65031 15.0247 1.31721 8.01723 0.21454 6.37553 11.0343 3.04827 0.149183 0.20424
5000.00 1523.15 89.636694 53.0213 1.68407 15.2968 1.31561 8.04035 0.220488 6.09262 10.8414 3.12416 0.153318 0.209902
5000.00 1518.15 87.259075 53.0901 1.71627 15.5607 1.31276 8.05511 0.226495 5.82124 10.6441 3.20007 0.157496 0.215621
5000.00 1513.15 84.981639 53.1709 1.7468 15.8165 1.30867 8.06089 0.232565 5.56067 10.4439 3.27601 0.161717 0.2214
5000.00 1508.15 81.505838 53.2783 1.80305 15.9313 1.31637 8.14245 0.242483 5.31938 10.2134 3.35424 0.168223 0.230841
5000.00 1503.15 74.970395 53.4146 1.93801 15.6839 1.35773 8.43805 0.263621 5.10294 9.93968 3.4294 0.181164 0.250964
5000.00 1498.15 68.896259 53.5299 2.08448 15.4215 1.39863 8.72299 0.286863 4.88657 9.71129 3.48968 0.194931 0.27309
5000.00 1493.15 63.291286 53.6245 2.24204 15.1499 1.43839 8.99444 0.312267 4.67492 9.52237 3.53438 0.209441 0.297275
5000.00 1488.15 58.145205 53.6992 2.41031 14.8746 1.47634 9.24985 0.339904 4.4714 9.36698 3.56322 0.224608 0.323585
5000.00 1483.15 53.430816 53.7553 2.58919 14.5999 1.51192 9.48682 0.369895 4.27796 9.24026 3.57626 0.240374 0.352136
5000.00 1478.15 49.098231 53.7954 2.77899 14.3262 1.54484 9.70238 0.402535 4.0936 9.14226 3.57388 0.256758 0.383209
5000.00 1473.15 45.089774 53.8256 2.97934 14.0505 1.57489 9.89202 0.438321 3.91514 9.07618 3.55688 0.27386 0.417276
5000.00 1468.15 41.416833 53.8446 3.19028 13.7848 1.60092 10.0543 0.477192 3.74832 9.02867 3.52504 0.291511 0.454281
