Title: Gale2013MORB-2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.131003 100.131003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.131140 100.131140 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.131283 100.131283 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.131430 100.131430 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.131582 100.131582 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.131740 100.131740 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.131903 100.131903 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.131333 97.438973 0.000000 2.692360 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.130915 94.720623 0.000000 5.410292 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.130663 92.121576 0.000000 8.009087 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.130559 89.636694 0.000000 10.493865 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.130590 87.259075 0.000000 12.871515 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.130744 84.981639 0.000000 15.149105 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.130604 81.505838 0.000000 17.602339 0.000000 0.000000 1.022426 0.000000 0.000000 0.000000 
5000.00 1503.15 100.129313 74.970395 0.000000 20.543968 0.000000 0.000000 4.614950 0.000000 0.000000 0.000000 
5000.00 1498.15 100.127886 68.896259 0.000000 23.215377 0.000000 0.000000 8.016250 0.000000 0.000000 0.000000 
