Title: Gale2013MORB-2

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
5000.00 1573.15 100.131003 36.924316 36.924316 0.000000 0.000000 0.000000 
5000.00 1568.15 100.131140 36.912282 36.912282 0.000000 0.000000 0.000000 
5000.00 1563.15 100.131283 36.900251 36.900251 0.000000 0.000000 0.000000 
5000.00 1558.15 100.131430 36.888223 36.888223 0.000000 0.000000 0.000000 
5000.00 1553.15 100.131582 36.876199 36.876199 0.000000 0.000000 0.000000 
5000.00 1548.15 100.131740 36.864179 36.864179 0.000000 0.000000 0.000000 
5000.00 1543.15 100.131903 36.852162 36.852162 0.000000 0.000000 0.000000 
5000.00 1538.15 100.131333 36.711948 35.875869 0.836078 0.000000 0.000000 
5000.00 1533.15 100.130915 36.570376 34.892222 1.678154 0.000000 0.000000 
5000.00 1528.15 100.130663 36.434522 33.953233 2.481289 0.000000 0.000000 
5000.00 1523.15 100.130559 36.304226 33.057065 3.247160 0.000000 0.000000 
5000.00 1518.15 100.130590 36.179201 32.201196 3.978005 0.000000 0.000000 
5000.00 1513.15 100.130744 36.059133 31.383021 4.676112 0.000000 0.000000 
5000.00 1508.15 100.130604 35.920882 30.110028 5.425978 0.000000 0.384876 
5000.00 1503.15 100.129313 35.734418 27.673342 6.321951 0.000000 1.739124 
5000.00 1498.15 100.127886 35.562859 25.407397 7.131451 0.000000 3.024012 
5000.00 1493.15 100.126386 35.405323 23.315795 7.862022 0.000000 4.227506 
5000.00 1488.15 100.124861 35.260677 21.395300 8.522198 0.000000 5.343180 
5000.00 1483.15 100.123334 35.127627 19.636250 9.120830 0.000000 6.370546 
5000.00 1478.15 100.121828 35.004791 18.020559 9.531443 0.135434 7.317355 
5000.00 1473.15 100.120375 34.890851 16.527447 9.486466 0.682667 8.194272 
5000.00 1468.15 100.118945 34.785103 15.160924 9.447627 1.183985 8.992567 
