Title: Gale2013MORB-2

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.131003 1.0000000000000000 1.000000 275.624250 -1199118.027290 36.924316 -187.625983 2429.651376 149.477961 -7.247 0.000 2.711790 0.000000 2.232 0 0.000
5000.00 1568.15 100.131140 1.0000000000000000 1.000000 275.148693 -1199867.372721 36.912282 -187.727570 2429.708050 149.478666 -7.296 0.000 2.712678 0.000000 2.253 0 0.000
5000.00 1563.15 100.131283 1.0000000000000000 1.000000 274.671622 -1200616.795381 36.900251 -187.829298 2429.766756 149.479396 -7.346 0.000 2.713566 0.000000 2.274 0 0.000
5000.00 1558.15 100.131430 1.0000000000000000 1.000000 274.193028 -1201366.296679 36.888223 -187.931171 2429.827522 149.480152 -7.396 0.000 2.714455 0.000000 2.295 0 0.000
5000.00 1553.15 100.131582 1.0000000000000000 1.000000 273.712900 -1202115.878051 36.876199 -188.033193 2429.890379 149.480934 -7.447 0.000 2.715344 0.000000 2.316 0 0.000
5000.00 1548.15 100.131740 1.0000000000000000 1.000000 273.231229 -1202865.540966 36.864179 -188.135369 2429.955359 149.481742 -7.498 0.000 2.716234 0.000000 2.338 0 0.000
5000.00 1543.15 100.131903 1.0000000000000000 1.000000 272.748003 -1203615.286919 36.852162 -188.237703 2430.022492 149.482577 -7.549 0.000 2.717124 0.000000 2.359 0 0.000
5000.00 1538.15 100.131333 0.9731117105090692 0.977226 271.498609 -1205529.651050 36.711948 -185.457860 2402.860307 148.472393 -7.600 0.000 2.716003 3.220225 2.412 0 0.000
5000.00 1533.15 100.130915 0.9459678153293193 0.954112 270.238475 -1207457.108758 36.570376 -182.662512 2375.190883 147.452754 -7.652 0.000 2.714663 3.223955 2.468 0 0.000
5000.00 1528.15 100.130663 0.9200136399183756 0.931897 269.011636 -1209330.313048 36.434522 -180.000087 2348.375863 146.478806 -7.704 0.000 2.713190 3.227794 2.524 0 0.000
5000.00 1523.15 100.130559 0.8951981788608711 0.910557 267.817938 -1211149.510546 36.304226 -177.461668 2322.328793 145.548929 -7.757 0.000 2.711574 3.231705 2.582 0 0.000
5000.00 1518.15 100.130590 0.8714527199454341 0.890047 266.656043 -1212916.818215 36.179201 -175.037811 2296.968853 144.660647 -7.810 0.000 2.709808 3.235671 2.640 0 0.000
5000.00 1513.15 100.130744 0.8487067566624865 0.870321 265.524240 -1214634.939428 36.059133 -172.719565 2272.224373 143.811324 -7.863 0.000 2.707886 3.239679 2.699 0 0.000
5000.00 1508.15 100.130604 0.8139952713811228 0.838232 264.133556 -1216732.637649 35.920882 -168.406687 2230.459226 142.637592 -7.917 0.000 2.706933 3.205169 2.754 0 0.000
5000.00 1503.15 100.129313 0.7487357418904529 0.774417 262.089605 -1219786.809962 35.734418 -158.955277 2146.408198 140.638794 -7.970 0.000 2.709120 3.121037 2.791 0 0.000
5000.00 1498.15 100.127886 0.6880826265942853 0.714436 260.179946 -1222626.811446 35.562859 -150.023199 2068.126478 138.804703 -8.025 0.000 2.711661 3.075353 2.825 0 0.000
5000.00 1493.15 100.126386 0.6321139535857903 0.658539 258.398745 -1225263.862857 35.405323 -141.663176 1995.863329 137.131094 -8.079 0.000 2.714524 3.046860 2.857 0 0.000
5000.00 1488.15 100.124861 0.5807269539292550 0.606775 256.737555 -1227712.661640 35.260677 -133.895888 1929.572201 135.609050 -8.134 0.000 2.717663 3.027661 2.886 0 0.000
5000.00 1483.15 100.123334 0.5336499879891682 0.558997 255.185739 -1229990.682357 35.127627 -126.709273 1868.932992 134.225759 -8.190 0.000 2.721030 3.014097 2.913 0 0.000
5000.00 1478.15 100.121828 0.4903848877057616 0.514803 253.730671 -1232118.065968 35.004791 -120.046296 1813.227297 130.784305 -8.245 0.000 2.724568 3.004174 2.938 0 0.000
5000.00 1473.15 100.120375 0.4503556201498126 0.473690 252.355185 -1234121.740085 34.890851 -113.832873 1761.549804 129.787225 -8.302 0.000 2.728175 2.996754 2.962 0 0.000
5000.00 1468.15 100.118945 0.4136762850365507 0.435845 251.058045 -1236003.748125 34.785103 -108.112127 1714.232013 128.878856 -8.358 0.000 2.731815 2.991316 2.985 0 0.000
5000.00 1463.15 100.117526 0.3799904901621992 0.400954 249.830371 -1237777.668833 34.686698 -102.837941 1670.757641 128.048188 -8.415 0.000 2.735427 2.987345 3.008 0 0.000
5000.00 1458.15 100.116105 0.3490218528337180 0.368773 248.665257 -1239454.063727 34.595006 -97.974885 1630.721516 127.286548 -8.472 0.000 2.738950 2.984499 3.031 0 0.000
5000.00 1453.15 100.114670 0.3205584177722031 0.339116 247.557394 -1241041.070376 34.509568 -93.496121 1593.808611 126.587130 -8.530 0.000 2.742314 2.982532 3.054 0 0.000
5000.00 1448.15 100.113209 0.2944391163733570 0.311843 246.502741 -1242544.913190 34.430065 -89.381544 1559.776187 125.944606 -8.588 0.000 2.745447 2.981265 3.078 0 0.000
5000.00 1443.15 100.111713 0.2705408170901451 0.286848 245.498225 -1243970.385872 34.356273 -85.615931 1528.437021 125.354775 -8.646 0.000 2.748274 2.980559 3.103 0 0.000
5000.00 1438.15 100.110172 0.2487651759501491 0.264046 244.541426 -1245321.335394 34.288035 -82.187012 1499.642517 124.814225 -8.705 0.000 2.750720 2.980303 3.130 0 0.000
5000.00 1433.15 100.108584 0.2290252624711434 0.243359 243.630226 -1246601.200024 34.225208 -79.083465 1473.327224 124.322766 -8.765 0.000 2.752713 2.980407 3.159 0 0.000
5000.00 1428.15 100.106946 0.2112332856639023 0.224708 242.762642 -1247813.268200 34.167637 -76.293079 1449.252337 123.872396 -8.824 0.000 2.754191 2.980796 3.191 0 0.000
5000.00 1423.15 100.105177 0.1946521796483011 0.207363 241.925808 -1248974.836243 34.112854 -73.751927 1426.739475 123.430214 -8.885 0.000 2.754647 2.981589 3.239 0 0.000
5000.00 1418.15 100.103397 0.1800116897219728 0.192053 241.131540 -1250071.587880 34.063518 -71.513768 1406.428031 123.034164 -8.945 0.000 2.754474 2.982525 3.290 0 0.000
5000.00 1413.15 100.101607 0.1670776297054079 0.178541 240.375037 -1251110.754361 34.018952 -69.548153 1388.056199 122.676303 -9.006 0.000 2.753603 2.983586 3.345 0 0.000
5000.00 1408.15 100.099819 0.1556834793941928 0.166654 239.652556 -1252098.208752 33.978710 -67.828867 1371.423876 122.352514 -9.067 0.000 2.752031 2.984739 3.405 0 0.000
5000.00 1403.15 100.098045 0.1456580170669779 0.156215 238.960230 -1253039.938005 33.942320 -66.328693 1356.326567 122.058708 -9.129 0.000 2.749772 2.985959 3.469 0 0.000
5000.00 1398.15 100.096295 0.1368336361823298 0.147047 238.294252 -1253941.754384 33.909316 -65.020810 1342.565334 121.790978 -9.192 0.000 2.746851 2.987229 3.539 0 0.000
5000.00 1393.15 100.094440 0.1281451386727511 0.138153 237.622104 -1254846.960814 33.878757 -63.771608 1327.423183 121.513881 -9.254 0.000 2.740472 2.988797 3.635 0 0.000
5000.00 1388.15 100.091976 0.1171791857747600 0.127262 236.868669 -1255851.169480 33.850634 -62.274608 1304.349887 121.146636 -9.318 0.000 2.722594 2.991034 3.822 0 0.000
5000.00 1383.15 100.089553 0.1082147533312251 0.118280 236.172094 -1256773.601758 33.827285 -61.032354 1285.528457 120.841660 -9.381 0.000 2.707064 2.992616 3.996 0 0.000
5000.00 1378.15 100.087203 0.1007314445770498 0.110724 235.517056 -1257636.498703 33.807384 -59.983134 1269.771686 120.581565 -9.445 0.000 2.693324 2.993781 4.159 0 0.000
5000.00 1373.15 100.084936 0.0943764516694408 0.104267 234.893260 -1258454.651597 33.790050 -59.083700 1256.302285 120.354926 -9.510 0.000 2.680994 2.994671 4.313 0 0.000
5000.00 1368.15 100.082751 0.0888802919810848 0.098652 234.285702 -1259248.920736 33.774631 -58.301421 1244.557421 120.232402 -9.575 0.000 2.669736 2.995377 4.463 0 0.000
5000.00 1363.15 100.080652 0.0840882717086740 0.093732 233.703827 -1260006.617238 33.760750 -57.615080 1234.198791 120.053787 -9.640 0.000 2.659425 2.995952 4.607 0 0.000
5000.00 1358.15 100.078638 0.0798674351910670 0.089378 233.137091 -1260742.310294 33.748091 -57.007357 1224.951478 119.890726 -9.706 0.000 2.649914 2.996432 4.746 0 0.000
5000.00 1353.15 100.076703 0.0761165826651743 0.085493 232.582573 -1261460.037261 33.736419 -56.464922 1216.609529 119.740277 -9.773 0.000 2.641086 2.996844 4.882 0 0.000
5000.00 1348.15 100.074843 0.0727576406877912 0.082001 232.038020 -1262162.884400 33.725552 -55.977371 1209.015959 119.600193 -9.840 0.000 2.632846 2.997208 5.015 0 0.000
5000.00 1343.15 100.073055 0.0697293628445486 0.078842 231.501663 -1262853.252602 33.715353 -55.536460 1202.048869 119.468730 -9.907 0.000 2.625121 2.997536 5.146 0 0.000
5000.00 1338.15 100.071333 0.0669829869276845 0.075967 230.972090 -1263533.038628 33.705713 -55.135568 1195.612052 119.344508 -9.975 0.000 2.617850 2.997839 5.274 0 0.000
5000.00 1333.15 100.069674 0.0644791747025985 0.073339 230.448160 -1264203.761619 33.696544 -54.769311 1189.628478 119.226425 -10.044 0.000 2.610983 2.998123 5.400 0 0.000
5000.00 1328.15 100.068073 0.0621858129582336 0.070924 229.928938 -1264866.653234 33.687778 -54.433263 1184.035681 119.113582 -10.113 0.000 2.604477 2.998395 5.524 0 0.000
5000.00 1323.15 100.066528 0.0600764054959156 0.068697 229.413650 -1265522.723067 33.679356 -54.123748 1178.782416 119.005246 -10.183 0.000 2.598298 2.998657 5.647 0 0.000
5000.00 1318.15 100.065035 0.0581288784948692 0.066636 228.901648 -1266172.806908 33.671233 -53.837689 1173.826215 118.900805 -10.253 0.000 2.592414 2.998913 5.769 0 0.000
5000.00 1313.15 100.063590 0.0563246801516658 0.064722 228.392386 -1266817.602884 33.663370 -53.572482 1169.131549 118.799748 -10.323 0.000 2.586801 2.999166 5.890 0 0.000
5000.00 1308.15 100.062192 0.0546480926705746 0.062940 227.885294 -1267457.834491 33.655730 -53.366148 1175.047129 119.051934 -10.394 0.000 2.581436 2.999418 6.010 0 0.000
5000.00 1303.15 100.060837 0.0530856108424163 0.061275 227.378831 -1268095.489411 33.648243 -53.136486 1170.853964 118.958539 -10.466 0.000 2.576299 2.999674 6.130 0 0.000
5000.00 1298.15 100.060018 0.0430652390727345 0.049727 226.728611 -1268926.804140 33.618409 -50.855155 1154.142345 118.742448 -10.538 0.000 2.577614 2.997211 6.121 0 0.000
5000.00 1293.15 100.059498 0.0310113828421544 0.035769 226.048156 -1269799.406721 33.583186 -48.053459 1134.489320 118.498914 -10.611 0.000 2.583193 2.994152 6.029 0 0.000
