Title: Gale2013MORB-8

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1573.15 100.146709 36.462355 36.462355 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.146864 36.449937 36.449937 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.147024 36.437523 36.437523 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.147189 36.425113 36.425113 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.147360 36.412707 36.412707 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.147537 36.400305 36.400305 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.147720 36.387907 36.387907 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.147707 36.292900 35.758242 0.000000 0.534658 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.147689 36.133624 34.649516 0.000000 1.484108 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.147873 35.981036 33.591798 0.000000 2.389238 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.148245 35.834641 32.581017 0.000000 3.253625 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.148793 35.693984 31.613499 0.000000 4.080485 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.148769 35.511703 29.676488 0.000000 5.044417 0.000000 0.000000 0.790797 0.000000 0.000000 
5000.00 1508.15 100.148022 35.303623 27.019390 0.000000 6.069369 0.000000 0.000000 2.214864 0.000000 0.000000 
5000.00 1503.15 100.147183 35.111591 24.531653 0.000000 6.999080 0.000000 0.000000 3.580858 0.000000 0.000000 
5000.00 1498.15 100.146351 34.935397 22.230581 0.000000 7.837385 0.000000 0.000000 4.867431 0.000000 0.000000 
5000.00 1493.15 100.145598 34.774186 20.121713 0.000000 8.591487 0.000000 0.000000 6.060985 0.000000 0.000000 
5000.00 1488.15 100.145014 34.625956 18.179188 0.000000 8.971358 0.303481 0.000000 7.171929 0.000000 0.000000 
5000.00 1483.15 100.144655 34.489243 16.395088 0.000000 8.976409 0.921244 0.000000 8.196502 0.000000 0.000000 
