Title: Gale2013MORB-8

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 0.000000 ---
5000.00 1568.15 0.000000 ---
5000.00 1563.15 0.000000 ---
5000.00 1558.15 0.000000 ---
5000.00 1553.15 0.000000 ---
5000.00 1548.15 0.000000 ---
5000.00 1543.15 0.000000 ---
5000.00 1538.15 1.722673 51.5762 0.320895 4.78546 1.21053 6.13542 0 17.6835 18.0276 0.260356 0 0
5000.00 1533.15 4.788105 51.3517 0.352924 5.01142 1.26598 6.24601 0 17.4099 18.089 0.273028 0 0
5000.00 1528.15 7.718565 51.1294 0.386359 5.23546 1.32094 6.36792 0 17.1526 18.1215 0.285828 0 0
5000.00 1523.15 10.525201 50.9084 0.421267 5.45791 1.37555 6.49852 0 16.9071 18.1324 0.29881 0 0
5000.00 1518.15 13.218036 50.6884 0.457663 5.6788 1.42986 6.63614 0 16.6706 18.1265 0.312006 0 0
5000.00 1513.15 18.470520 50.6406 0.433424 8.65894 1.29926 6.17784 0 14.7488 17.3355 0.702128 0.00353131 0
5000.00 1508.15 25.613932 50.7795 0.398034 11.5131 1.14828 5.76544 0 12.917 16.3311 1.1394 0.00814325 0
5000.00 1503.15 32.298138 50.9319 0.386142 13.0332 1.0728 5.64398 0 11.8938 15.5986 1.42759 0.0119218 0
5000.00 1498.15 38.478083 51.0803 0.386301 13.9535 1.03302 5.64088 0 11.2208 15.0239 1.64591 0.0155151 0
5000.00 1493.15 44.140241 51.2184 0.394169 14.5504 1.01368 5.69181 0 10.7296 14.5588 1.82395 0.0191712 0
5000.00 1488.15 49.356374 51.3428 0.409389 14.9628 1.00782 5.77185 0 10.3454 14.1606 1.97638 0.0230592 0
5000.00 1483.15 54.149605 51.451 0.431637 15.2526 1.01216 5.86651 0 10.0299 13.8191 2.10981 0.0272543 0
5000.00 1478.15 58.522759 51.5463 0.458106 15.4529 1.02341 5.96677 0 9.7606 13.5316 2.22854 0.0317873 0
5000.00 1473.15 62.540600 51.6298 0.48832 15.5928 1.03974 6.07021 0 9.52422 13.2821 2.33611 0.0367422 0
5000.00 1468.15 66.253973 51.7022 0.522009 15.6902 1.06005 6.17517 0 9.31257 13.0608 2.43474 0.0422023 0
5000.00 1463.15 69.703657 51.7643 0.558975 15.7571 1.0836 6.28042 0 9.12016 12.8612 2.52591 0.048258 0
5000.00 1458.15 72.922392 51.8165 0.599016 15.8019 1.10986 6.38483 0 8.94319 12.679 2.61065 0.0550104 0
5000.00 1453.15 75.934779 51.8592 0.641896 15.8305 1.13849 6.48732 0 8.779 12.5114 2.68961 0.0625648 0
