Title: Gale2013MORB-1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.136801 36.699401 36.699401 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.136945 36.687209 36.687209 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.137094 36.675020 36.675020 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.137248 36.662835 36.662835 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.137408 36.650654 36.650654 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.137081 36.594512 36.291831 0.000000 0.302681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.136415 36.477402 35.479441 0.000000 0.545146 0.452814 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.135945 36.327624 34.437571 0.000000 1.890053 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.135618 36.185218 33.448205 0.000000 2.737013 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.135448 36.047581 32.495733 0.000000 3.551847 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.135430 35.914886 31.581275 0.000000 4.333611 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.135552 35.787065 30.704043 0.000000 5.083021 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.135804 35.663934 29.862474 0.000000 5.801460 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.134906 35.484837 27.765295 0.000000 6.719652 0.000000 0.000000 0.999890 0.000000 0.000000 0.000000 
5000.00 1503.15 100.133252 35.288673 25.135705 0.000000 7.666656 0.000000 0.000000 2.486312 0.000000 0.000000 0.000000 
5000.00 1498.15 100.131617 35.111579 22.752342 0.000000 8.485191 0.020411 0.000000 3.853635 0.000000 0.000000 0.000000 
5000.00 1493.15 100.130109 34.950959 20.579101 0.000000 8.492189 0.761765 0.000000 5.117905 0.000000 0.000000 0.000000 
5000.00 1488.15 100.128708 34.805006 18.625721 0.000000 8.494885 1.429137 0.000000 6.255263 0.000000 0.000000 0.000000 
5000.00 1483.15 100.127401 34.671262 16.857146 0.000000 8.499383 2.030739 0.000000 7.283993 0.000000 0.000000 0.000000 
5000.00 1478.15 100.126174 34.547847 15.246170 0.000000 8.508733 2.574485 0.000000 8.218459 0.000000 0.000000 0.000000 
5000.00 1473.15 100.125013 34.433286 13.770916 0.000000 8.523871 3.067985 0.000000 9.070515 0.000000 0.000000 0.000000 
5000.00 1468.15 100.123903 34.326483 12.414769 0.000000 8.544516 3.517929 0.000000 9.849269 0.000000 0.000000 0.000000 
5000.00 1463.15 100.122826 34.226628 11.164995 0.000000 8.569613 3.930128 0.000000 10.561893 0.000000 0.000000 0.000000 
5000.00 1458.15 100.121761 34.133154 10.011917 0.000000 8.597641 4.309492 0.000000 11.214104 0.000000 0.000000 0.000000 
