Title: Gale2013MORB-1

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 0.000000 ---
5000.00 1568.15 0.000000 ---
5000.00 1563.15 0.000000 ---
5000.00 1558.15 0.000000 ---
5000.00 1553.15 0.000000 ---
5000.00 1548.15 0.975001 53.4716 0.130431 3.26085 0.796281 9.95925 0 24.3429 7.91798 0.120671 0 0
5000.00 1543.15 3.215929 52.8112 0.177274 3.68195 0.911724 8.55904 0 21.5021 12.181 0.175677 0 0
5000.00 1538.15 6.093541 52.3156 0.226918 4.05571 1.0142 7.6582 0 19.7177 14.7965 0.215126 0 0
5000.00 1533.15 8.833054 52.039 0.260005 4.29842 1.07685 7.50044 0 19.0662 15.5258 0.233177 0 0
5000.00 1528.15 11.475744 51.7993 0.290785 4.51836 1.1321 7.47803 0 18.6062 15.927 0.248162 0 0
5000.00 1523.15 14.018265 51.5752 0.321365 4.72854 1.18411 7.51434 0 18.2294 16.185 0.262066 0 0
5000.00 1518.15 16.462624 51.3597 0.352441 4.93312 1.23423 7.58349 0 17.8993 16.3622 0.275525 0 0
5000.00 1513.15 18.812963 51.1497 0.384315 5.13381 1.28302 7.67354 0 17.5995 16.4872 0.288825 0 0
5000.00 1508.15 24.483560 51.1421 0.364275 7.94111 1.16996 7.21356 0 15.6734 15.7977 0.69383 0.00394936 0
5000.00 1503.15 31.549448 51.2744 0.340661 10.4102 1.05556 6.85071 0 13.96 14.9937 1.10617 0.0086753 0
5000.00 1498.15 37.950645 51.4117 0.33342 11.824 0.994608 6.71589 0 12.9 14.4176 1.39014 0.012677 0
5000.00 1493.15 43.786725 51.5417 0.337687 12.7309 0.961471 6.68788 0 12.1604 13.9545 1.60892 0.0164928 0
5000.00 1488.15 49.033172 51.6615 0.347859 13.3253 0.944813 6.71527 0 11.6048 13.5951 1.78512 0.0202471 0
5000.00 1483.15 53.785293 51.7713 0.362137 13.7319 0.938086 6.77589 0 11.1625 13.3003 1.93372 0.0240688 0
5000.00 1478.15 58.117055 51.8715 0.3796 14.017 0.937765 6.85806 0 10.7963 13.0492 2.06264 0.028029 0
5000.00 1473.15 62.087844 51.9622 0.399716 14.2191 0.941715 6.95496 0 10.4841 12.8295 2.17656 0.0321733 0
5000.00 1468.15 65.742751 52.0436 0.422147 14.3622 0.948523 7.06228 0 10.2124 12.6339 2.27833 0.0365285 0
5000.00 1463.15 69.116253 52.116 0.446628 14.462 0.957146 7.17705 0 9.97266 12.4577 2.36974 0.0411093 0
