Title: Gale2013MORB-9

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.142588 1.0000000000000000 1.000000 275.669671 -1189573.639706 36.594627 -183.800736 2481.109668 149.520859 -7.247 0.000 2.736538 0.000000 2.064 0 0.000
5000.00 1568.15 100.142738 1.0000000000000000 1.000000 275.194012 -1190323.378389 36.582346 -183.882278 2481.171526 149.521628 -7.296 0.000 2.737461 0.000000 2.085 0 0.000
5000.00 1563.15 100.142894 1.0000000000000000 1.000000 274.716840 -1191073.201372 36.570068 -183.963973 2481.235601 149.522425 -7.346 0.000 2.738384 0.000000 2.105 0 0.000
5000.00 1558.15 100.143054 1.0000000000000000 1.000000 274.238145 -1191823.110192 36.557795 -184.045826 2481.301927 149.523250 -7.396 0.000 2.739308 0.000000 2.125 0 0.000
5000.00 1553.15 100.143221 1.0000000000000000 1.000000 273.757917 -1192573.106419 36.545525 -184.127843 2481.370535 149.524103 -7.447 0.000 2.740232 0.000000 2.146 0 0.000
5000.00 1548.15 100.143393 1.0000000000000000 1.000000 273.276145 -1193323.191655 36.533259 -184.210027 2481.441460 149.524986 -7.498 0.000 2.741157 0.000000 2.167 0 0.000
5000.00 1543.15 100.143570 1.0000000000000000 1.000000 272.792819 -1194073.367536 36.520997 -184.292384 2481.514736 149.525897 -7.549 0.000 2.742082 0.000000 2.188 0 0.000
5000.00 1538.15 100.143754 1.0000000000000000 1.000000 272.307930 -1194823.635733 36.508739 -184.374919 2481.590400 149.526838 -7.600 0.000 2.743008 0.000000 2.209 0 0.000
5000.00 1533.15 100.143957 0.9878128680049207 0.989621 271.464987 -1196121.149378 36.437594 -183.167298 2469.303168 149.066479 -7.652 0.000 2.743346 3.227311 2.240 0 0.000
5000.00 1528.15 100.144319 0.9583048681909869 0.964389 270.117715 -1198189.806573 36.282953 -180.123294 2438.997072 147.952129 -7.704 0.000 2.742680 3.231645 2.288 0 0.000
5000.00 1523.15 100.144815 0.9265016511027646 0.936540 268.727554 -1200319.401289 36.128157 -176.654521 2404.457396 146.784871 -7.757 0.000 2.742220 3.210430 2.335 0 0.000
5000.00 1518.15 100.144599 0.8511087561970504 0.864271 266.340046 -1203946.054915 35.898968 -166.227853 2308.906157 144.382691 -7.810 0.000 2.747138 3.060156 2.351 0 0.000
5000.00 1513.15 100.144137 0.7810101597457285 0.796120 264.122040 -1207299.423350 35.688800 -156.344170 2219.442057 142.177831 -7.863 0.000 2.752780 3.014003 2.362 0 0.000
5000.00 1508.15 100.143481 0.7152977761692664 0.731404 262.045487 -1210424.531555 35.494500 -146.900162 2135.033885 140.138133 -7.917 0.000 2.759249 2.990568 2.368 0 0.000
5000.00 1503.15 100.142696 0.6536367387002383 0.669967 260.095563 -1213346.267774 35.314372 -137.877597 2055.400667 138.248709 -7.970 0.000 2.766630 2.976060 2.369 0 0.000
5000.00 1498.15 100.141849 0.5960375367006753 0.611975 258.265274 -1216077.653448 35.147536 -129.311735 1980.709977 136.504610 -8.025 0.000 2.774985 2.966211 2.363 0 0.000
5000.00 1493.15 100.141004 0.5425660529516853 0.557640 256.549409 -1218628.807403 34.993271 -121.246078 1911.176278 134.902405 -8.079 0.000 2.784364 2.959240 2.351 0 0.000
5000.00 1488.15 100.140208 0.4931566121586766 0.507023 254.940941 -1221012.181031 34.850659 -113.700761 1846.798451 133.435216 -8.134 0.000 2.794823 2.954235 2.332 0 0.000
5000.00 1483.15 100.139488 0.4475852250927950 0.460004 253.430622 -1223243.094084 34.718586 -106.666336 1787.324871 132.092330 -8.190 0.000 2.806452 2.950652 2.305 0 0.000
5000.00 1478.15 100.138862 0.4054988181084701 0.416307 252.009036 -1225336.770084 34.595838 -100.107593 1732.291796 129.451664 -8.245 0.000 2.819390 2.948130 2.270 0 0.000
5000.00 1473.15 100.138443 0.3658645809329099 0.374953 250.645138 -1227341.945401 34.480378 -93.877076 1680.012531 128.459744 -8.302 0.000 2.833822 2.946443 2.227 0 0.000
5000.00 1468.15 100.138144 0.3291553166921272 0.336475 249.349335 -1229242.317979 34.372140 -88.068593 1631.422736 127.546433 -8.358 0.000 2.849975 2.945491 2.173 0 0.000
5000.00 1463.15 100.137954 0.2949666667163760 0.300495 248.111576 -1231053.100594 34.270158 -82.626438 1585.951010 126.700010 -8.415 0.000 2.868257 2.945110 2.108 0 0.000
5000.00 1458.15 100.137857 0.2629662462448293 0.266698 246.923513 -1232786.781415 34.173674 -77.504142 1543.130739 125.910947 -8.472 0.000 2.889259 2.945176 2.029 0 0.000
5000.00 1453.15 100.137833 0.2328890350523124 0.234831 245.778312 -1234453.434485 34.082121 -72.664583 1502.592900 125.171609 -8.530 0.000 2.913831 2.945593 1.932 0 0.000
5000.00 1448.15 100.137863 0.2045658227376691 0.204742 244.671161 -1236060.135476 33.995146 -68.087018 1464.092434 124.476459 -8.588 0.000 2.943112 2.946306 1.811 0 0.000
5000.00 1443.15 100.137963 0.1780472851143880 0.176532 243.601962 -1237607.708463 33.912778 -63.794510 1427.625730 123.823608 -8.646 0.000 2.978162 2.947374 1.665 0 0.000
5000.00 1438.15 100.138246 0.1533846854694820 0.150402 242.572680 -1239095.700507 33.833862 -59.868324 1393.091395 123.196323 -8.705 0.000 3.018399 2.949314 1.502 0 0.000
5000.00 1433.15 100.138986 0.1314660632801558 0.127468 241.604283 -1240499.286096 33.759443 -56.512105 1361.361277 122.610475 -8.765 0.000 3.059280 2.952661 1.346 0 0.000
5000.00 1428.15 100.140317 0.1130325052094642 0.108530 240.713797 -1241797.077252 33.691950 -53.818022 1332.911441 122.082150 -8.824 0.000 3.095537 2.957221 1.214 0 0.000
5000.00 1423.15 100.142094 0.0973173914047460 0.092708 239.885528 -1243009.619624 33.630097 -51.637022 1307.050213 121.603702 -8.885 0.000 3.125809 2.962624 1.108 0 0.000
5000.00 1418.15 100.144092 0.0835885697114828 0.079130 239.103340 -1244156.451011 33.572887 -49.817226 1283.109628 121.164170 -8.945 0.000 3.150970 2.968443 1.022 0 0.000
5000.00 1413.15 100.146096 0.0714764144994480 0.067318 238.359051 -1245245.786354 33.520151 -48.269536 1260.920156 120.760213 -9.006 0.000 3.172170 2.974320 0.951 0 0.000
5000.00 1408.15 100.147921 0.0608880276246028 0.057102 237.650983 -1246277.092118 33.472309 -46.953467 1240.689387 120.394132 -9.067 0.000 3.190316 2.979951 0.888 0 0.000
5000.00 1403.15 100.149434 0.0518350917676133 0.048435 236.979981 -1247247.185210 33.429869 -45.850573 1222.734289 120.069654 -9.129 0.000 3.206078 2.985104 0.830 0 0.000
5000.00 1398.15 100.150570 0.0442886349411042 0.041251 236.345789 -1248155.671199 33.392983 -44.943968 1207.226480 119.788080 -9.192 0.000 3.219965 2.989649 0.775 0 0.000
5000.00 1393.15 100.148387 0.0310302390108921 0.028869 235.542828 -1249237.627781 33.350304 -43.534398 1180.809705 119.316990 -9.254 0.000 3.227704 2.996241 0.748 0 0.000
5000.00 1388.15 100.146399 0.0167535592537159 0.015843 234.822361 -1250215.713542 33.421232 -42.316795 1142.963786 118.873116 -9.318 0.000 3.168647 2.993719 0.884 0 0.000
5000.00 1383.15 100.141763 0.0114383271173594 0.010825 234.227825 -1250957.672505 33.403727 -41.725433 1130.559896 118.647099 -9.381 0.000 3.167728 2.996064 0.884 0 0.000
5000.00 1378.15 100.136520 0.0000000000000000 0.000000 233.455396 -1251931.957057 33.370473 -40.396032 1106.146108 118.214069 -9.445 0.000 0.000000 3.000752 0.900 0 0.000
5000.00 1373.15 100.135892 0.0000000000000000 0.000000 233.012963 -1252529.524232 33.361137 -40.388218 1104.679989 118.157127 -9.510 0.000 0.000000 3.001573 0.900 0 0.000
5000.00 1368.15 100.135241 0.0000000000000000 0.000000 232.557078 -1253142.935327 33.351708 -40.380267 1103.217842 118.227172 -9.575 0.000 0.000000 3.002402 0.900 0 0.000
5000.00 1363.15 100.134564 0.0000000000000000 0.000000 232.111002 -1253740.205978 33.342179 -40.372172 1101.759925 118.168207 -9.640 0.000 0.000000 3.003240 0.900 0 0.000
5000.00 1358.15 100.133860 0.0000000000000000 0.000000 231.663301 -1254336.986008 33.332539 -40.363923 1100.306549 118.108884 -9.706 0.000 0.000000 3.004087 0.900 0 0.000
5000.00 1353.15 100.133127 0.0000000000000000 0.000000 231.213947 -1254933.261632 33.322779 -40.355510 1098.858087 118.049197 -9.773 0.000 0.000000 3.004945 0.900 0 0.000
5000.00 1348.15 100.132361 0.0000000000000000 0.000000 230.762906 -1255529.018110 33.312887 -40.346920 1097.414990 117.989137 -9.840 0.000 0.000000 3.005815 0.900 0 0.000
5000.00 1343.15 100.131560 0.0000000000000000 0.000000 230.310140 -1256124.239609 33.302848 -40.338139 1095.977814 117.928695 -9.907 0.000 0.000000 3.006697 0.900 0 0.000
5000.00 1338.15 100.130722 0.0000000000000000 0.000000 229.855607 -1256718.909025 33.292644 -40.329148 1094.547245 117.867861 -9.975 0.000 0.000000 3.007593 0.900 0 0.000
5000.00 1333.15 100.129841 0.0000000000000000 0.000000 229.399253 -1257313.007747 33.282252 -40.319926 1093.124148 117.806622 -10.044 0.000 0.000000 3.008506 0.900 0 0.000
5000.00 1328.15 100.128912 0.0000000000000000 0.000000 228.941017 -1257906.515353 33.271646 -40.310445 1091.709627 117.744962 -10.113 0.000 0.000000 3.009437 0.900 0 0.000
5000.00 1323.15 100.126721 0.0000000000000000 0.000000 228.461207 -1258504.241720 33.253495 -40.293021 1090.687402 117.679542 -10.183 0.000 0.000000 3.011013 0.900 0 0.000
5000.00 1318.15 100.122660 0.0000000000000000 0.000000 227.950885 -1259107.264657 33.224561 -40.264109 1090.220560 117.608879 -10.253 0.000 0.000000 3.013513 0.900 0 0.000
5000.00 1313.15 100.118435 0.0000000000000000 0.000000 227.438097 -1259708.176900 33.195316 -40.234615 1089.756687 117.537733 -10.323 0.000 0.000000 3.016041 0.900 0 0.000
5000.00 1308.15 100.116047 0.0000000000000000 0.000000 226.950665 -1260305.403730 33.175992 -40.254581 1099.441463 117.827603 -10.394 0.000 0.000000 3.017726 0.900 0 0.000
5000.00 1303.15 100.114384 0.0000000000000000 0.000000 226.472206 -1260901.118828 33.161068 -40.237445 1098.377818 117.763303 -10.466 0.000 0.000000 3.019034 0.900 0 0.000
5000.00 1298.15 100.112636 0.0000000000000000 0.000000 225.992706 -1261494.354373 33.146485 -40.220536 1097.277336 117.698775 -10.538 0.000 0.000000 3.020309 0.900 0 0.000
5000.00 1293.15 100.110806 0.0000000000000000 0.000000 225.512142 -1262085.163501 33.132236 -40.203860 1096.141132 117.634012 -10.611 0.000 0.000000 3.021553 0.900 0 0.000
5000.00 1288.15 100.109104 0.0000000000000000 0.000000 225.033310 -1262673.598904 33.120100 -40.190417 1094.857654 117.570207 -10.684 0.000 0.000000 3.022609 0.900 0 0.000
5000.00 1283.15 100.107901 0.0000000000000000 0.000000 224.560194 -1263260.973049 33.112587 -40.184609 1093.278457 117.509158 -10.758 0.000 0.000000 3.023258 0.900 0 0.000
5000.00 1278.15 100.106700 0.0000000000000000 0.000000 224.085523 -1263848.016358 33.105083 -40.178799 1091.700463 117.447833 -10.833 0.000 0.000000 3.023907 0.900 0 0.000
5000.00 1273.15 100.105500 0.0000000000000000 0.000000 223.609285 -1264434.728836 33.097589 -40.172988 1090.123871 117.386237 -10.908 0.000 0.000000 3.024556 0.900 0 0.000
5000.00 1268.15 100.104302 0.0000000000000000 0.000000 223.131472 -1265021.110545 33.090104 -40.167174 1088.548892 117.324374 -10.984 0.000 0.000000 3.025204 0.900 0 0.000
5000.00 1263.15 100.103106 0.0000000000000000 0.000000 222.652072 -1265607.161601 33.082628 -40.161357 1086.975754 117.262247 -11.060 0.000 0.000000 3.025851 0.900 0 0.000
5000.00 1258.15 100.101912 0.0000000000000000 0.000000 222.171076 -1266192.882179 33.075161 -40.155538 1085.404703 117.199862 -11.137 0.000 0.000000 3.026498 0.900 0 0.000
5000.00 1253.15 100.100720 0.0000000000000000 0.000000 221.688473 -1266778.272513 33.067702 -40.149714 1083.836001 117.137224 -11.214 0.000 0.000000 3.027145 0.900 0 0.000
5000.00 1248.15 100.099530 0.0000000000000000 0.000000 221.204252 -1267363.332898 33.060252 -40.143886 1082.269933 117.074339 -11.293 0.000 0.000000 3.027791 0.900 0 0.000
5000.00 1243.15 100.098344 0.0000000000000000 0.000000 220.718401 -1267948.063692 33.052810 -40.138054 1080.706805 117.011213 -11.371 0.000 0.000000 3.028437 0.900 0 0.000
5000.00 1238.15 100.097160 0.0000000000000000 0.000000 220.230910 -1268532.465319 33.045377 -40.132216 1079.146949 116.947854 -11.451 0.000 0.000000 3.029082 0.900 0 0.000
5000.00 1233.15 100.095979 0.0000000000000000 0.000000 219.741768 -1269116.538272 33.037950 -40.126373 1077.590722 116.884269 -11.531 0.000 0.000000 3.029727 0.900 0 0.000
5000.00 1228.15 100.094801 0.0000000000000000 0.000000 219.250962 -1269700.283114 33.030531 -40.120523 1076.038512 116.820468 -11.611 0.000 0.000000 3.030372 0.900 0 0.000
5000.00 1223.15 100.093626 0.0000000000000000 0.000000 218.758481 -1270283.700484 33.023119 -40.114667 1074.490740 116.756460 -11.693 0.000 0.000000 3.031017 0.900 0 0.000
5000.00 1218.15 100.092455 0.0000000000000000 0.000000 218.264313 -1270866.791098 33.015714 -40.108804 1072.947860 116.692257 -11.775 0.000 0.000000 3.031661 0.900 0 0.000
