Title: Gale2013MORB-7

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1573.15 99.164732 272.787975 -1184934.004978 36.522000 148.052353 2.251 53.2665 1.42132 14.5029 1.30807 8.70439 0.174507 7.95022 9.71959 2.6397 0.144599 0.168247 62.0
5000.00 1568.15 98.350307 270.064100 -1175825.916814 36.219860 146.716593 2.285 53.2526 1.43243 14.6025 1.31142 8.69335 0.175952 7.76994 9.78505 2.6613 0.145796 0.16964 61.4
5000.00 1563.15 97.545492 267.374738 -1166852.448285 35.921725 145.399791 2.319 53.2398 1.44358 14.7022 1.31447 8.67976 0.177404 7.59196 9.84972 2.68299 0.146999 0.17104 60.9
5000.00 1558.15 96.749515 264.717642 -1158004.521526 35.627315 144.100694 2.354 53.2282 1.45478 14.8021 1.31723 8.66357 0.178863 7.41625 9.91357 2.70478 0.148209 0.172447 60.4
5000.00 1553.15 95.961604 262.090586 -1149273.094505 35.336349 142.818063 2.389 53.2177 1.46605 14.9022 1.31967 8.64474 0.180332 7.24278 9.97655 2.72669 0.149426 0.173863 59.9
5000.00 1548.15 95.180991 259.491368 -1140649.135843 35.048547 141.550663 2.424 53.2084 1.47739 15.0026 1.32178 8.62321 0.181811 7.07151 10.0386 2.74874 0.150651 0.175289 59.4
5000.00 1543.15 94.406907 256.917799 -1132123.599458 34.763631 140.297263 2.460 53.2003 1.48882 15.1034 1.32355 8.59894 0.183301 6.90241 10.0997 2.77095 0.151886 0.176726 58.9
5000.00 1538.15 93.638581 254.367705 -1123687.398638 34.481322 139.056633 2.496 53.1933 1.50035 15.2048 1.32498 8.57186 0.184805 6.73544 10.1598 2.79333 0.153133 0.178176 58.3
5000.00 1533.15 92.875241 251.838916 -1115331.379042 34.201340 137.827542 2.532 53.1876 1.512 15.3068 1.32603 8.54193 0.186324 6.57058 10.2188 2.81592 0.154391 0.179641 57.8
5000.00 1528.15 89.729545 242.967341 -1080203.801744 33.098067 133.019870 2.603 53.322 1.55483 15.633 1.30091 8.35928 0.192856 6.275 10.1112 2.90518 0.159804 0.185939 57.2
5000.00 1523.15 88.383167 238.907089 -1065117.849081 32.615469 130.907634 2.650 53.3512 1.57518 15.7994 1.29646 8.30249 0.195794 6.06422 10.1177 2.94659 0.162238 0.188771 56.6
5000.00 1518.15 86.935296 234.589650 -1048838.314179 32.097580 128.645019 2.699 53.3902 1.5973 15.9787 1.29081 8.24304 0.199055 5.84919 10.1028 2.99207 0.16494 0.191915 55.8
5000.00 1513.15 85.363355 229.956316 -1031087.483161 31.536328 126.197797 2.751 53.4415 1.62148 16.1738 1.28381 8.18206 0.202721 5.62938 10.0592 3.04258 0.167978 0.195449 55.1
5000.00 1508.15 81.721568 219.748354 -987025.308007 30.199737 120.613920 2.803 53.5431 1.68564 16.2183 1.29118 8.2198 0.211755 5.3865 9.96154 3.10306 0.17491 0.204159 53.9
5000.00 1503.15 74.164202 199.001712 -893062.665997 27.387820 109.124876 2.845 53.72 1.84451 15.884 1.33281 8.47602 0.233332 5.11239 9.81674 3.16468 0.190535 0.224963 51.8
5000.00 1498.15 67.519804 180.777787 -810808.077800 24.915514 99.064807 2.885 53.8779 2.01132 15.5652 1.37061 8.70856 0.256294 4.85899 9.68772 3.20978 0.206614 0.247101 49.9
5000.00 1493.15 61.625490 164.628030 -738161.321182 22.722540 90.176600 2.924 54.0183 2.18704 15.2601 1.40453 8.91633 0.280808 4.62449 9.57577 3.23872 0.223172 0.270735 48.0
5000.00 1488.15 56.358430 150.213980 -673538.319334 20.763475 82.266162 2.961 54.1429 2.3726 14.9682 1.43445 9.09791 0.307051 4.40727 9.4815 3.25189 0.240229 0.296037 46.3
5000.00 1483.15 51.624819 137.276824 -615727.279555 19.003628 75.185023 2.997 54.2532 2.56895 14.6891 1.4602 9.25163 0.335205 4.20583 9.40512 3.24974 0.257801 0.323182 44.8
5000.00 1478.15 47.352038 125.618489 -563783.063208 17.416113 66.665648 3.032 54.351 2.77697 14.4228 1.4816 9.37572 0.365452 4.01889 9.34662 3.23268 0.2759 0.352344 43.3
5000.00 1473.15 43.481893 115.078935 -516946.858937 15.979331 61.079203 3.066 54.4378 2.99758 14.1692 1.49845 9.4685 0.39798 3.84526 9.30591 3.20112 0.294535 0.383704 42.0
5000.00 1468.15 39.973741 105.539964 -474698.303795 14.678693 56.033554 3.102 54.5215 3.22739 13.9368 1.51012 9.53081 0.432907 3.68262 9.27013 3.15658 0.313715 0.417379 40.8
5000.00 1463.15 36.785453 96.884640 -436483.999232 13.498114 51.465380 3.138 54.6005 3.46916 13.7181 1.51672 9.55807 0.470428 3.53095 9.25017 3.09886 0.333437 0.453554 39.7
5000.00 1458.15 33.889071 89.034456 -401930.482473 12.427091 47.330404 3.174 54.6768 3.72288 13.5126 1.51811 9.54871 0.510634 3.38943 9.24606 3.02876 0.353674 0.492318 38.8
5000.00 1453.15 31.262090 81.925741 -370733.789838 11.457143 43.592572 3.212 54.7526 3.98777 13.3206 1.51419 9.50203 0.553543 3.25721 9.25653 2.9474 0.374381 0.533688 37.9
5000.00 1448.15 28.885369 75.504057 -342633.617245 10.581010 40.221174 3.251 54.8304 4.26254 13.1422 1.50496 9.41814 0.599089 3.13344 9.27991 2.85619 0.39549 0.5776 37.2
5000.00 1443.15 26.741766 69.720530 -317396.898682 9.792156 37.188832 3.291 54.9124 4.54529 12.9774 1.49054 9.29814 0.647112 3.01734 9.31414 2.7568 0.416917 0.6239 36.6
