Title: Gale2013MORB-5

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
5000.00 1573.15 100.139008 50.9283 1.55089 14.9639 1.38552 8.56697 0.170279 7.68346 11.6253 2.81998 0.136628 0.168816
5000.00 1568.15 100.139154 50.9282 1.55089 14.9638 1.38697 8.56565 0.170279 7.68345 11.6253 2.81998 0.136627 0.168815
5000.00 1563.15 100.139306 50.9281 1.55088 14.9638 1.38848 8.56428 0.170278 7.68344 11.6253 2.81998 0.136627 0.168815
5000.00 1558.15 100.139462 50.928 1.55088 14.9638 1.39004 8.56286 0.170278 7.68342 11.6253 2.81997 0.136627 0.168815
5000.00 1553.15 100.139625 50.928 1.55088 14.9638 1.39165 8.56139 0.170278 7.68341 11.6252 2.81997 0.136627 0.168815
5000.00 1548.15 100.139792 50.9279 1.55088 14.9638 1.39332 8.55988 0.170278 7.6834 11.6252 2.81996 0.136627 0.168814
5000.00 1543.15 100.139965 50.9278 1.55087 14.9637 1.39504 8.55831 0.170277 7.68339 11.6252 2.81996 0.136626 0.168814
5000.00 1538.15 100.139774 50.9279 1.55088 14.9638 1.39314 8.56004 0.170278 7.6834 11.6252 2.81996 0.136627 0.168814
5000.00 1533.15 100.139641 50.9279 1.55088 14.9638 1.39181 8.56125 0.170278 7.68341 11.6252 2.81997 0.136627 0.168815
5000.00 1528.15 100.139696 50.9279 1.55088 14.9638 1.39236 8.56074 0.170278 7.68341 11.6252 2.81996 0.136627 0.168815
5000.00 1523.15 100.139926 50.9278 1.55087 14.9637 1.39465 8.55866 0.170277 7.68339 11.6252 2.81996 0.136626 0.168814
5000.00 1518.15 100.140317 50.9276 1.55087 14.9637 1.39854 8.55513 0.170277 7.68336 11.6252 2.81995 0.136626 0.168814
5000.00 1513.15 100.140000 50.9278 1.55087 14.9637 1.39539 8.55799 0.170277 7.68338 11.6252 2.81996 0.136626 0.168814
5000.00 1508.15 100.138962 50.9283 1.55089 14.9639 1.38506 8.56739 0.170279 7.68346 11.6253 2.81999 0.136628 0.168816
5000.00 1503.15 100.137808 50.9289 1.55091 14.9641 1.37357 8.57784 0.170281 7.68355 11.6255 2.82002 0.136629 0.168818
5000.00 1498.15 100.136635 50.9295 1.55093 14.9642 1.36189 8.58847 0.170283 7.68364 11.6256 2.82005 0.136631 0.16882
5000.00 1493.15 100.135510 50.9301 1.55094 14.9644 1.35069 8.59865 0.170285 7.68373 11.6257 2.82008 0.136632 0.168822
5000.00 1488.15 100.134519 50.9306 1.55096 14.9645 1.34083 8.60762 0.170287 7.6838 11.6258 2.82011 0.136634 0.168823
5000.00 1483.15 100.133677 50.931 1.55097 14.9647 1.33245 8.61524 0.170288 7.68387 11.6259 2.82013 0.136635 0.168825
5000.00 1478.15 100.132956 50.9313 1.55098 14.9648 1.32527 8.62177 0.170289 7.68392 11.626 2.82015 0.136636 0.168826
5000.00 1473.15 100.132345 50.9317 1.55099 14.9649 1.31919 8.62731 0.17029 7.68397 11.6261 2.82017 0.136637 0.168827
5000.00 1468.15 100.131832 50.9319 1.551 14.9649 1.31408 8.63196 0.170291 7.68401 11.6261 2.82019 0.136637 0.168828
5000.00 1463.15 100.131400 50.9321 1.55101 14.965 1.30978 8.63587 0.170292 7.68404 11.6262 2.8202 0.136638 0.168829
5000.00 1458.15 100.131025 50.9323 1.55101 14.9651 1.30605 8.63926 0.170293 7.68407 11.6262 2.82021 0.136639 0.168829
5000.00 1453.15 100.130672 50.9325 1.55102 14.9651 1.30254 8.64245 0.170293 7.6841 11.6263 2.82022 0.136639 0.16883
5000.00 1448.15 100.130287 50.9327 1.55102 14.9652 1.2987 8.64594 0.170294 7.68413 11.6263 2.82023 0.13664 0.16883
5000.00 1443.15 100.129791 50.933 1.55103 14.9652 1.29377 8.65043 0.170295 7.68417 11.6264 2.82024 0.13664 0.168831
5000.00 1438.15 100.129051 50.9333 1.55104 14.9654 1.28639 8.65714 0.170296 7.68422 11.6265 2.82026 0.136641 0.168833
5000.00 1433.15 100.128186 50.9338 1.55106 14.9655 1.27779 8.66497 0.170297 7.68429 11.6266 2.82029 0.136642 0.168834
