Title: Gale2013MORB-5

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 rhm-oxide_0 whitlockite 
5000.00 1573.15 100.139008 100.139008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.139154 100.139154 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.139306 100.139306 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.139462 100.139462 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.139625 100.139625 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.139792 100.139792 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.139965 100.139965 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.139774 97.826664 0.000000 2.313110 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.139641 94.857482 0.000000 5.282159 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.139696 92.019803 0.000000 8.119893 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.139926 89.304032 0.000000 10.835894 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.140317 86.701070 0.000000 13.439246 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.140000 81.157766 0.000000 16.608672 0.000000 0.000000 2.373562 0.000000 0.000000 
5000.00 1508.15 100.138962 73.913763 0.000000 19.962349 0.000000 0.000000 6.262850 0.000000 0.000000 
5000.00 1503.15 100.137808 67.160044 0.000000 23.007243 0.000000 0.000000 9.970521 0.000000 0.000000 
5000.00 1498.15 100.136635 60.940985 0.000000 25.757616 0.000000 0.000000 13.438034 0.000000 0.000000 
5000.00 1493.15 100.135510 55.259164 0.000000 28.240787 0.000000 0.000000 16.635559 0.000000 0.000000 
5000.00 1488.15 100.134519 50.025122 0.000000 29.070331 1.433921 0.000000 19.605145 0.000000 0.000000 
5000.00 1483.15 100.133677 45.241300 0.000000 29.100553 3.474699 0.000000 22.317125 0.000000 0.000000 
5000.00 1478.15 100.132956 40.869835 0.000000 29.141345 5.340756 0.000000 24.781020 0.000000 0.000000 
5000.00 1473.15 100.132345 36.847437 0.000000 29.198371 7.055311 0.000000 27.031226 0.000000 0.000000 
5000.00 1468.15 100.131832 33.124419 0.000000 29.273024 8.639121 0.000000 29.095267 0.000000 0.000000 
5000.00 1463.15 100.131400 29.660666 0.000000 29.363864 10.110573 0.000000 30.996295 0.000000 0.000000 
5000.00 1458.15 100.131025 26.423003 0.000000 29.467582 11.485538 0.000000 32.754902 0.000000 0.000000 
5000.00 1453.15 100.130672 23.383541 0.000000 29.579573 12.777085 0.000000 34.390474 0.000000 0.000000 
5000.00 1448.15 100.130287 20.518363 0.000000 29.694175 13.995274 0.000000 35.922476 0.000000 0.000000 
5000.00 1443.15 100.129791 17.807777 0.000000 29.804764 15.147204 0.000000 37.370046 0.000000 0.000000 
